fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int,geometry
1,8.448,45.276,8.514000000000001,45.342,8.481000000000002,45.30899999999999,1.780350810546875,115.27886325242288,315.7292785644531,0.3826227440527173,2.0,4.0,1838.1453857421875,2.0,0.8426326747652072,0.0819340633004298,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12.0,0.0,0.0165270018621973,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.9561086832604978,0.0438913167395021,0.0,0.0,0.0,0.0,0.0,0.041895837577239,0.0,0.0,0.1434100631493176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2038480203253904,0.0,0.0,0.0,0.0,0.0,8506.859770114943,297.5436953438653,0.0003228030714357,99975.79489474828,-0.9780766831503976,-0.8297794858614603,0.2819107241100735,3.818553940818689e-05,0.0002644974521088,154.5725390680748,220.989504543076,-2.129992223133004,0.0272924667837942,0.0001490323945756,0.1373780434802766,1868.9326758323707,3.683753967285156,0.4416777690251668,207.31807454427084,0.3509511152903239,11.26684824625651,8.738206227620443,7.615139007568359,18.067317962646484,1.3148848215738933,91.1953837076823,,,,,,,,,,,,,,,,,,,,,,,0.2403781448583081,3.64462861293005,8.047751107599238,9.756739979696716,93.4209111246438,19.974108414576488,14.877524567960116,2.1821824106057024,71.8557770243473,0.0049802089459151,302.551480766648,24.76769124951175,2.984410432408819,"MULTIPOLYGON (((8.448 45.275999999999996, 8.448 45.342, 8.514000000000001 45.342, 8.514000000000001 45.27599999999998, 8.448 45.275999999999996)))"
2,8.514000000000001,45.144,8.580000000000002,45.21,8.547000000000002,45.17699999999999,13.64261895263672,102.24767119596598,146.46585083007812,0.5833639975955336,2.0,4.0,1156.989013671875,2.0,0.8521665200820874,0.0830215967946838,0.0012684452262288,0.0421342714746408,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12.0,0.0364920192250637,0.1690796890761289,0.3463478312466623,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0.0,0.0,0.0,0.0,0.1761815552488003,0.0,0.0,0.1827877473213698,0.0,0.0,0.0,0.0,0.2198991271701675,0.4397982543403351,0.0,0.2996432159550808,0.7315685133483922,0.0028097828952666,0.0,0.0,0.0,8322.135552913198,297.74959090399364,0.0002344956155736,100069.22073800224,-0.6654971194645715,-0.7055175389562335,0.2524365224535503,3.896976415345743e-05,0.000246902618016,124.7470238095238,179.6579848722706,-1.950746769289244,0.0278393181096639,7.638284196790727e-05,0.1366290396995868,1860.362191021641,3.7419009738498255,0.2603069411383735,192.2960476345486,0.3315791818830702,9.4264890882704,7.006796518961589,5.331008063422309,12.569783528645834,1.0221489800347223,93.62593587239584,,,,,,,,,,,,,,,,,,,,,,,0.2423178642603909,5.3904870891402,7.440742049139991,8.741437360606493,91.72054417854672,19.02795964615805,15.100175885057348,2.0530476585320607,70.61412340613624,0.0022312921845614,328.6681489240373,24.76944207043253,3.1629737543816083,"MULTIPOLYGON (((8.514000000000001 45.144, 8.514000000000001 45.21, 8.580000000000002 45.20999999999999, 8.580000000000002 45.144000000000005, 8.514000000000001 45.144)))"
3,8.514000000000001,45.21,8.580000000000002,45.276,8.547000000000002,45.243,26.83287937402344,109.31106233959368,39.649070739746094,0.5588384892939049,2.0,4.0,616.2735595703125,2.0,0.877877460673909,0.0595482834913273,0.0,0.0282470952975405,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12.0,0.0006144298858696,0.0514124207001428,0.5920646380239935,7.0,0.0,0.0,0.0,0.0,0.9942895212715332,0.0057104787284667,0.0,4.0,0.0,0.0,0.0,0.4982959877508685,0.0,0.0,0.1933189548724872,0.0,0.0,0.0,0.0,0.5962833796916105,0.2608739786150795,0.0,0.5025776205890428,0.7518143975988552,0.0018782406152851,0.0,0.0,0.0,8445.165279429251,297.69899877993697,0.0002406073046101,100088.80152031514,-0.8051910651784364,-0.7704168191842751,0.2621884486572542,3.8915523234788825e-05,0.0002142173831088,134.80713164386634,193.362319653136,-2.0810955322366174,0.0269924875987404,0.0001339618215441,0.1373703090416386,1872.4771236514816,3.6699959437052407,0.3041366934776306,199.2568155924479,0.3276528318723042,10.089330037434896,7.651283899943034,5.942153930664063,15.32873026529948,1.1754520734151204,92.7101338704427,,,,,,,,,,,,,,,,,,,,,,,0.2416510436397591,4.611878713209307,8.124818045994118,9.862968113364929,91.56372490279844,19.98295238505255,14.643894288269982,2.095317462627581,70.43617474593496,0.0029189595248412,320.07446203698225,24.826460105624136,3.0333791986147443,"MULTIPOLYGON (((8.514000000000001 45.21, 8.514000000000001 45.27599999999998, 8.580000000000002 45.275999999999996, 8.580000000000002 45.20999999999999, 8.514000000000001 45.21)))"
4,8.514000000000001,45.276,8.580000000000002,45.342,8.547000000000002,45.30899999999999,32.66394505834961,121.30177726576218,24.886978149414062,0.4443552417170158,2.0,4.0,3165.40869140625,2.0,0.8628897665927634,0.0312612669932769,0.0,0.0274812672216756,0.0477704200742948,0.0203356483180877,0.0020254077326037,0.0082362230672977,12.0,0.0003359086328518,0.0795108175020838,0.5634680700182884,7.0,0.0,0.0,0.0,0.0,0.9575862733757472,0.0424137266242529,0.0,4.0,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.3005253017603372,0.0,0.0,0.0,0.0,1.3776658000010022,1.8675025288902476,0.0,0.7193634653427169,0.7411102721614005,0.0039324531617189,0.0,0.0,0.0,8474.46896551724,297.6027010811699,0.0002446925500278,100035.95288085938,-0.9451744348283796,-0.8327936416580562,0.2709155158391075,3.921721431824742e-05,0.0002033140514445,162.3115048217089,232.15350975555057,-2.1609083898645496,0.0269892104011102,0.0001158238085789,0.1375179711056026,1877.0860100500431,3.793091244167752,0.4050133228302002,208.49297417534723,0.3465301725599501,11.156454298231337,8.653118557400173,7.56787109375,18.581749810112846,1.4111163881089952,92.18528917100694,,,,,,,,,,,,,,,,,,,,,,,0.2445949177314957,3.786649139648119,8.71346450192561,10.783619719535364,91.57107734141069,20.20813962830187,14.303644386325308,2.157383692874052,70.43035816655323,0.0041247717826298,306.4574175457389,24.735033741131435,2.883994602232282,"MULTIPOLYGON (((8.514000000000001 45.27599999999998, 8.514000000000001 45.342, 8.580000000000002 45.342, 8.580000000000002 45.275999999999996, 8.514000000000001 45.27599999999998)))"
5,8.514000000000001,45.342,8.580000000000002,45.408,8.547000000000002,45.375,3.6660439294433593,127.96299162940028,180.57522583007807,0.1987984564838326,2.0,4.0,2366.263671875,2.0,0.9428088257804926,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12.0,0.0,0.0318167010533174,0.7767401455098274,7.0,0.0,0.0,0.0,0.0,0.9489766777724892,0.0510233222275107,0.0,0.0,0.0,0.0,0.0,0.0905625505371375,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.2727735998929606,0.2727735998929606,0.0,0.4935992788651011,0.5308800770938953,0.0014159072527679,0.0,0.0,0.0,8457.423305588585,297.09869819217266,0.0002955769369662,99453.86173502605,-1.0420694407962616,-0.8406777731955997,0.2626721404847644,3.687598897496896e-05,0.0001498079455953,166.56400444793303,237.6546637885924,-2.250662988728291,0.0272464710094445,0.0001398797333114,0.1375353425211722,1866.861830430949,3.950442843967014,0.546309683057997,216.67738172743051,0.3610210418701172,12.085567050509985,9.51110331217448,9.481393602159288,21.072825113932293,1.5931698481241865,91.59796820746529,,,,,,,,,,,,,,,,,,,,,,,0.2474166258983413,3.0037419730376542,9.00497793195285,11.22726787361048,91.64737437263835,19.66937142183015,14.064076291507677,2.2495064185262765,70.39059164764963,0.0058633407204906,288.099362793727,24.54121973165145,2.7302580804778347,"MULTIPOLYGON (((8.514000000000001 45.342, 8.514000000000001 45.408, 8.580000000000002 45.408, 8.580000000000002 45.342, 8.514000000000001 45.342)))"
6,8.514000000000001,45.738,8.580000000000002,45.804,8.547000000000002,45.77100000000001,8.762770874511718,209.77321612892484,0.0,3.35474891546232,3.0,2.0,20479.97265625,5.0,0.0649574052292945,0.1737131151775972,0.0076770881771018,0.5944698219924567,0.1355464986581811,0.0089717990098197,0.0002674520030027,0.0143968197525461,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.9846285226302306,0.0,0.0153714773697694,0.0,0.0,0.0,0.0,0.2329636025504782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.5863646129625559,0.7171897201500708,0.0,0.3423574623782648,0.1141191541260882,0.7988340788826178,6489.7206896551725,295.4114750302027,0.0006843300450615,96502.30123686844,-0.4452147789282592,-0.1285486257806116,0.2615587619426839,4.227355537794377e-05,0.000119711957347,172.4596590909091,228.9385325558795,-2.2047589022350795,0.0284641464231573,0.0002415596324332,0.1374695848742446,,2.373603396945529,0.3754599889119466,178.83802625868054,0.3506986829969618,9.569758097330729,7.197552151150173,6.043375227186415,15.97323269314236,0.676475101047092,91.40673828125,,0.0053571428571428,,,,,,,,,,,,,,,,,,,,,0.1436470223162313,0.5181322527242112,8.858419397582894,9.96439815859622,100.69984712642776,18.097077769038997,14.732423110480308,2.445564845625852,69.58058651667555,0.0067330765727999,238.93906674962372,23.31914150103141,2.449437986735878,"MULTIPOLYGON (((8.514000000000001 45.738000000000014, 8.514000000000001 45.804, 8.580000000000002 45.80399999999999, 8.580000000000002 45.73800000000001, 8.514000000000001 45.738000000000014)))"
7,8.514000000000001,45.804,8.580000000000002,45.87,8.547000000000002,45.837,1.2120791342773438,193.8804976851852,0.0,0.1405577517397434,3.0,2.0,5331.3681640625,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.8511153601019757,0.0,0.1488846398980242,0.0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7749.07966706302,295.03899975428504,0.00084311833663,95823.13046022446,-0.3511337220263319,-0.0775465558445642,0.2414880436834564,3.5989717723190264e-05,0.0001686422679209,123.11539502164504,172.1348153547133,-2.096610524180094,0.0277907762090612,0.0001718003673517,0.1373317181129214,,2.0354190402560763,0.2859240108066135,167.85910373263889,0.3412863413492839,8.920155843098959,6.678448147243923,4.731317308213976,14.117087470160593,0.5856726434495714,92.68000623914932,,,,,,,,,,,,,,,,,,,,,,,0.141744503561544,0.501345205143829,8.279326936828204,8.991012650093946,103.24582252285867,18.20809258278614,15.162762288466933,2.334832703367624,69.13278825104132,0.0036266368276383,275.656388567525,23.42673944163017,2.5746367392213543,"MULTIPOLYGON (((8.514000000000001 45.804, 8.514000000000001 45.87, 8.580000000000002 45.870000000000005, 8.580000000000002 45.80399999999999, 8.514000000000001 45.804)))"
8,8.514000000000001,45.87,8.580000000000002,45.936,8.547000000000002,45.903,5.774622341064453,,,,3.0,2.0,15305.6982421875,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0277435470441298,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.1168859283930058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4167.669441141498,294.14467970530194,0.0012157303816878,94218.45288085938,-0.2016543339169214,0.005236007864513,0.2463123382083953,3.675713987821894e-05,0.0003722469048846,158.7746432579766,213.15046961966604,-1.866937361558406,0.0264283879347519,0.0001682376549168,0.1372079275951617,,1.6560468673706057,0.2113207181294759,158.41299438476562,0.325621485710144,8.280476888020834,6.193113962809245,3.546630859375,12.41131846110026,0.5098495086034139,91.19627888997395,,,,,,,,,,,,,,,,,,,,,,,0.1466392404650633,0.5815039617126303,7.740873379718411,8.104738109062001,105.42761511515177,18.29048775556869,15.623422510144293,2.209469420751978,69.4283143872022,0.0030380812116352,298.7519665765459,23.391548550439765,2.6815185000439934,"MULTIPOLYGON (((8.514000000000001 45.87, 8.514000000000001 45.93600000000002, 8.580000000000002 45.936, 8.580000000000002 45.870000000000005, 8.514000000000001 45.87)))"
9,8.580000000000002,45.012,8.646000000000003,45.07799999999999,8.613000000000001,45.045,1.9707826494140623,87.09307918410974,172.6531219482422,0.3051894284460411,2.0,4.0,8185.416015625,2.0,0.5856565656565657,0.3005791245791245,0.0047811447811447,0.1043905723905724,0.0045925925925925,0.0,0.0,0.0,4.0,0.0047393364928909,0.1868088467614534,0.0,7.0,0.0,0.0,0.2047429213942553,0.0,0.7776755596442809,0.0175815189614637,0.0,0.0,0.0,0.0,0.0,0.0517017961125235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074126262971272,0.5074126262971272,6089.144827586207,297.5588390865023,0.000121877556432,99402.64038085938,-0.2095220562011477,-0.4521081684127686,0.2123071428329226,3.764073592755764e-05,0.0004209935426976,128.15384615384616,184.47148090005228,-1.7953406201762288,0.027709647218764,0.0001336927603783,0.1368612690883357,1867.7674150811165,3.588104248046875,0.245897822909885,185.15342881944449,0.348474661509196,8.706031799316406,6.329374525282118,5.453855726453993,9.841008504231771,0.938563346862793,95.41628689236111,,,,,,,,,,,,,,,,,,,,,,,0.2626451140780523,6.943075934621888,6.71707271639308,7.313935245910309,91.46733389072826,16.371474840915198,15.93242326315402,1.950090282261433,69.83591120492265,0.0012503299561942,337.4145237627369,24.356573822011136,3.3165386895368725,"MULTIPOLYGON (((8.580000000000002 45.012, 8.580000000000002 45.07799999999998, 8.646 45.07799999999998, 8.646 45.012, 8.580000000000002 45.012)))"
10,8.580000000000002,45.07799999999999,8.646000000000003,45.144,8.613000000000001,45.11099999999999,19.444967447021483,95.54868746383292,62.26390838623047,0.3880172472588858,2.0,4.0,1397.963134765625,2.0,0.8822104549284486,0.0707005802204426,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12.0,0.0159335679811157,0.0986363732164309,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.9984671980380136,0.0,0.0,0.0,0.0,0.0,0.0,0.3343673067454455,0.1696044641391761,0.0,0.0,0.0,0.0,0.0,0.0,0.2057087527093138,3.1884856669943646,0.0,0.2496060399980236,1.0782924717752715,0.0014534527260198,0.1028543763546569,0.2057087527093138,0.4114175054186277,7255.008888888889,297.7671569188436,0.0001260014823582,99832.41815863713,-0.3509976731406317,-0.5535873505804273,0.2080299589369032,3.927509989075285e-05,0.0001812118226752,140.6358488450325,202.16778799431864,-1.8830589176315868,0.0267820957975599,0.0001369640666748,0.1368847991500236,1861.520025678136,3.7046962314181857,0.2401965194278293,188.57954915364584,0.3382848103841145,9.025072733561196,6.616504669189453,5.347094217936198,10.868336995442707,1.003531773885091,94.98256429036458,,,,,,,,,,,,,,,,,,,,,,,0.2453005461365553,6.4973110610627165,7.0342839841003695,7.983672844377814,90.20174992015352,17.30476542320445,15.18647147036507,1.9969437385267736,69.39577333489743,0.0013155671775835,334.7644590606236,24.520310604657077,3.197833143817803,"MULTIPOLYGON (((8.580000000000002 45.07799999999998, 8.580000000000002 45.144000000000005, 8.646 45.144000000000005, 8.646 45.07799999999998, 8.580000000000002 45.07799999999998)))"
