Features,Average Scores
dust_cams,0.957
pm10_int,0.695
nh3_cams,0.596
temp_2m,0.583
pm25_cams,0.583
press,0.571
pm10_cams,0.567
dsf2,0.519
siarl9,0.515
co_s5p,0.507
uvai,0.494
soil_text5,0.481
n_wind,0.47
siarl12,0.462
soil_text7,0.455
o3_s5p,0.434
so2_cams,0.433
clim_zone,0.394
nh3_int,0.392
temp_int,0.392
farms,0.383
siarl2,0.374
nox_int,0.368
soil_text4,0.366
no2_int,0.366
soil_text,0.361
rad_glob_int,0.339
soil_text6,0.335
soil7,0.33
soilSum,0.327
no2_cams,0.321
soilTextSum,0.316
soil2,0.313
soil_text2,0.307
highway,0.306
soil1,0.304
soil5,0.3
dsf12,0.299
no_cams,0.297
so2_int,0.297
co_cams,0.293
farm_poultry,0.292
soil9,0.292
soil_text1,0.29
int_prim_sec,0.286
wind_speed_int,0.286
siarlSum,0.284
int_sec,0.282
dsf5,0.282
nmvocs_cams,0.281
aspect_mean,0.28
dusafSum,0.28
sec_road,0.277
soil4,0.276
prim_road,0.271
farm_pigs,0.27
air_hum_int,0.267
soil8,0.266
aod_047,0.264
pop,0.257
dsf13,0.257
dsf4,0.256
soil_text10,0.255
no2_s5p,0.255
farm_sheep,0.253
int_prim,0.251
dsf14,0.25
dsf11,0.241
co_int,0.22
o3_int,0.218
dsf3,0.212
ndvi,0.211
soil_moist,0.202
soil_text9,0.197
aq_zone,0.194
o3_cams,0.188
prec_int,0.176
e_wind,0.172
soil_text3,0.16
wind_dir_int,0.159
h_mean,0.157
slope_mean,0.149
prec,0.124
