Features,Borda Count Voting
air_hum_int,213
pm10_int,209
press,209
temp_2m,207
nh3_cams,200
pm25_int,189
rad_glob_int,178
pm10_cams,174
temp_int,162
pm25_cams,161
o3_int,144
prim_road,137
int_prim_sec,133
aspect_major,132
so2_int,130
co_cams,119
o3_cams,119
so2_cams,117
nmvocs_cams,114
no2_cams,113
int_sec,113
no_cams,110
ndvi,105
h_mean,104
farm_pigs,102
sec_road,102
farm_sheep,99
farm_poultry,96
highway,95
wind_speed_int,92
e_wind,87
pop,85
nox_int,83
slope_mean,82
aod_047,74
no2_int,73
