Features,Average Scores
pm10_int,1.0
nh3_cams,0.683
soil_moist,0.505
pm25_cams,0.485
pm10_cams,0.477
prec_int,0.46
temp_int,0.436
soil7,0.431
soil_text4,0.427
n_wind,0.404
temp_2m,0.397
co_int,0.384
press,0.376
co_cams,0.373
nmvocs_cams,0.371
siarl9,0.367
no2_int,0.356
no2_cams,0.354
aod_047,0.343
soil_text7,0.332
farms,0.332
nox_int,0.329
co_s5p,0.321
dust_cams,0.319
pop,0.308
nh3_int,0.305
dsf12,0.302
dsf11,0.296
sec_road,0.289
aspect_mean,0.284
soilSum,0.28
e_wind,0.272
int_sec,0.269
no_cams,0.267
siarlSum,0.262
dsf2,0.259
soil_text6,0.258
clim_zone,0.251
o3_int,0.248
dsf14,0.247
soil_text5,0.24
highway,0.237
dusafSum,0.232
o3_s5p,0.232
so2_int,0.23
soilTextSum,0.226
uvai,0.224
soil_text,0.223
farm_poultry,0.217
siarl12,0.212
int_prim,0.211
farm_pigs,0.205
farm_sheep,0.203
soil1,0.197
rad_glob_int,0.195
so2_cams,0.194
prec,0.19
air_hum_int,0.189
h_mean,0.188
aq_zone,0.181
soil_text1,0.177
int_prim_sec,0.172
o3_cams,0.171
soil2,0.17
siarl2,0.163
dsf13,0.161
soil8,0.158
ndvi,0.155
prim_road,0.15
soil_text3,0.149
soil_text10,0.144
dsf3,0.144
dsf4,0.129
soil_text2,0.119
slope_mean,0.11
dsf5,0.104
soil9,0.093
soil_text9,0.086
wind_speed_int,0.083
soil4,0.059
soil5,0.051
wind_dir_int,0.042
