Features,Average Scores
pm10_int,0.825
nh3_int,0.821
nh3_cams,0.668
pm10_cams,0.613
pm25_cams,0.552
temp_int,0.445
aod_047,0.427
clim_zone,0.412
co_cams,0.378
nox_int,0.374
siarl9,0.352
no2_int,0.351
soil_moist,0.342
farms,0.31
press,0.31
no2_cams,0.299
temp_2m,0.282
soil_text4,0.281
co_int,0.275
nmvocs_cams,0.271
soil7,0.259
dsf2,0.245
o3_s5p,0.24
dsf12,0.24
soil_text7,0.236
sec_road,0.234
int_sec,0.225
aspect_mean,0.223
dsf11,0.221
pop,0.211
no_cams,0.209
ndvi,0.206
rad_glob_int,0.203
dsf14,0.2
farm_poultry,0.199
soilSum,0.191
int_prim,0.189
highway,0.186
siarlSum,0.185
soil_text5,0.183
farm_pigs,0.181
co_s5p,0.18
soil_text10,0.178
e_wind,0.175
soil_text3,0.168
farm_sheep,0.167
dusafSum,0.166
aq_zone,0.165
soil1,0.159
dust_cams,0.158
soilTextSum,0.157
soil8,0.156
siarl2,0.153
dsf4,0.151
soil2,0.148
wind_dir_int,0.147
dsf13,0.144
int_prim_sec,0.142
soil_text,0.137
so2_int,0.132
dsf5,0.13
soil_text1,0.129
soil_text2,0.12
soil_text6,0.12
prim_road,0.113
air_hum_int,0.105
soil4,0.089
prec,0.079
wind_speed_int,0.074
o3_cams,0.074
soil9,0.073
soil5,0.069
dsf3,0.063
siarl12,0.06
uvai,0.058
prec_int,0.057
o3_int,0.054
h_mean,0.05
slope_mean,0.042
so2_cams,0.042
n_wind,0.03
soil_text9,0.026
