Features,Average Scores
pm10_int,0.56
soil_text4,0.503
temp_int,0.437
nmvocs_cams,0.436
no2_int,0.401
no2_cams,0.393
aod_047,0.38
nox_int,0.368
soil7,0.36
pm25_cams,0.338
co_cams,0.331
nh3_cams,0.329
temp_2m,0.321
pm10_cams,0.302
dsf2,0.298
int_prim_sec,0.253
soil_text7,0.25
prim_road,0.245
pop,0.238
int_sec,0.211
soil,0.208
sec_road,0.194
highway,0.184
int_prim,0.183
press,0.181
soilTextSum,0.168
farm_pigs,0.154
farm_poultry,0.142
soil_text,0.106
nh3_int,0.1
soilSum,0.086
rad_glob_int,0.051
farm_sheep,0.03
soil_text3,0.015
clim_zone,-0.014
ndvi,-0.019
soil_text10,-0.033
air_hum_int,-0.035
aq_zone,-0.038
o3_int,-0.046
soil9,-0.048
soil_text5,-0.05
soil_text6,-0.081
dsf3,-0.124
o3_cams,-0.125
soil_text9,-0.191
soil_text1,-0.213
soil1,-0.214
soil8,-0.22
soil2,-0.23
soil_text2,-0.246
soil4,-0.264
soil5,-0.338
wind_dir_int,-0.407
