Features,Average Scores
pm10_int,0.82
nh3_int,0.742
nh3_cams,0.664
pm10_cams,0.649
pm25_cams,0.615
nox_int,0.514
co_cams,0.493
aod_047,0.492
no2_int,0.472
temp_int,0.451
nmvocs_cams,0.411
clim_zone,0.409
no2_cams,0.396
dsf2,0.356
ndvi,0.347
farm_poultry,0.341
soil_text4,0.302
farm_pigs,0.298
press,0.288
no_cams,0.283
temp_2m,0.281
int_sec,0.222
int_prim,0.22
soilTextSum,0.197
soil_text3,0.167
soil7,0.162
sec_road,0.159
soil,0.154
soil_text5,0.142
farm_sheep,0.132
pop,0.107
int_prim_sec,0.094
highway,0.087
soil_text7,0.08
soilSum,0.075
soil_text10,0.058
rad_glob_int,0.05
air_hum_int,0.047
prim_road,0.033
soil8,-0.019
wind_dir_int,-0.027
soil4,-0.069
soil_text2,-0.069
soil_text6,-0.078
soil_text1,-0.088
soil1,-0.098
aq_zone,-0.128
soil_text,-0.144
soil2,-0.15
soil_text9,-0.167
soil5,-0.172
soil9,-0.255
o3_cams,-0.288
dsf3,-0.337
o3_int,-0.413
