Features,Average Scores
temp_2m,0.583
dsf2,0.547
soil_text7,0.513
pm25_cams,0.491
press,0.478
pm10_int,0.469
nh3_cams,0.446
pm10_cams,0.43
no2_int,0.352
nox_int,0.334
temp_int,0.33
rad_glob_int,0.291
soil_text4,0.27
no2_cams,0.264
co_cams,0.215
int_prim_sec,0.213
soil_text5,0.211
nmvocs_cams,0.209
soil8,0.197
clim_zone,0.161
soil7,0.159
aod_047,0.157
highway,0.14
nh3_int,0.139
soilTextSum,0.139
prim_road,0.137
farm_poultry,0.118
sec_road,0.113
soil9,0.094
int_sec,0.092
soil5,0.079
soilSum,0.077
soil_text6,0.038
soil_text2,0.026
soil_text,0.021
soil2,0.018
int_prim,-0.027
soil4,-0.059
farm_pigs,-0.076
pop,-0.088
soil_text10,-0.091
soil_text1,-0.1
soil,-0.151
soil1,-0.158
o3_cams,-0.177
aq_zone,-0.248
air_hum_int,-0.248
soil_text3,-0.264
ndvi,-0.347
farm_sheep,-0.35
dsf3,-0.35
soil_text9,-0.464
wind_dir_int,-0.541
o3_int,-0.554
