Features,Average Scores
pm10_int,0.863
dsf2,0.706
pm25_cams,0.695
aod_047,0.677
aod_055,0.653
no_cams,0.649
pm10_cams,0.641
nmvocs_cams,0.623
no2_cams,0.605
co_cams,0.603
press,0.581
nh3_cams,0.556
no2_int,0.546
temp_2m,0.525
soil_text7,0.52
nox_int,0.491
temp_int,0.468
int_prim_sec,0.371
sec_road,0.369
clim_zone,0.368
highway,0.361
soil_text4,0.349
int_sec,0.342
farm_poultry,0.328
rad_glob_int,0.321
int_prim,0.299
nh3_int,0.295
soil_text5,0.254
prim_road,0.242
air_hum_int,0.213
soil7,0.207
soil8,0.164
soilSum,0.159
soilTextSum,0.133
pop,0.105
farm_pigs,0.058
soil5,0.054
soil9,-0.006
soil_text10,-0.012
soil2,-0.028
soil_text,-0.036
soil_text6,-0.047
soil4,-0.069
soil,-0.085
soil_text3,-0.095
soil_text2,-0.105
soil_text1,-0.156
soil1,-0.182
o3_int,-0.287
aq_zone,-0.308
farm_sheep,-0.315
wind_dir_int,-0.395
ndvi,-0.459
dsf3,-0.464
o3_cams,-0.472
soil_text9,-0.516
