Features,Average Scores
rad_glob_int,0.267
soil_text4,0.245
air_hum_int,0.236
soil9,0.199
nox_int,0.193
soil_text7,0.192
soil_text,0.185
soil7,0.17
soilTextSum,0.133
ndvi,0.13
no2_int,0.127
temp_2m,0.111
dsf3,0.105
dsf2,0.094
aq_zone,0.057
pm25_cams,0.049
pm10_int,0.048
no2_cams,0.035
nmvocs_cams,0.029
soilSum,0.02
highway,0.009
prim_road,0.003
co_cams,-0.002
press,-0.006
int_prim_sec,-0.01
pm10_cams,-0.016
nh3_cams,-0.018
aod_055,-0.023
temp_int,-0.04
soil,-0.064
aod_047,-0.066
wind_dir_int,-0.07
soil8,-0.072
soil2,-0.076
soil_text2,-0.078
soil_text5,-0.092
soil_text10,-0.095
sec_road,-0.098
soil_text9,-0.101
soil5,-0.109
int_sec,-0.117
pop,-0.118
soil_text1,-0.13
farm_poultry,-0.154
soil_text6,-0.163
farm_sheep,-0.164
soil4,-0.172
farm_pigs,-0.178
clim_zone,-0.194
soil1,-0.196
soil_text3,-0.199
int_prim,-0.206
nh3_int,-0.216
o3_cams,-0.275
o3_int,-0.37
