Features,Average Scores
o3_int,13.697
soil8,12.056
nox_int,11.691
clim_zone,9.564
rad_glob_int,8.526
soil_text4,8.479
nh3_int,7.807
nmvocs_cams,6.397
no2_int,6.356
farm_poultry,5.415
o3_cams,4.5
soil_text,4.192
soil7,4.191
soil_text7,4.027
soil2,3.709
pop,3.373
soil_text3,3.256
soil1,2.982
int_prim,2.445
soil9,2.251
press,2.006
farm_pigs,1.832
prim_road,1.816
soil4,1.439
soilSum,1.439
dsf3,1.181
temp_int,1.124
pm10_cams,1.003
ndvi,0.987
no2_cams,0.976
wind_dir_int,0.929
temp_2m,0.921
aod_047,0.897
int_prim_sec,0.675
soilTextSum,0.647
soil_text10,0.641
aq_zone,0.621
dsf2,0.54
nh3_cams,0.506
soil_text2,0.375
highway,0.34
soil_text9,0.324
air_hum_int,0.302
co_cams,0.301
pm10_int,0.248
int_sec,0.222
soil_text5,0.191
sec_road,0.141
farm_sheep,0.032
soil5,0.031
aod_055,0.014
soil_text1,0.008
soil_text6,0.006
soil,0.0
pm25_cams,0.0
