Features,Average Scores
pm10_int,57.148
o3_int,54.324
dsf2,47.373
pm25_cams,36.132
dsf3,33.596
wind_dir_int,31.97
pm10_cams,29.722
temp_2m,28.444
nh3_cams,27.447
press,26.065
soil_text7,22.639
ndvi,19.094
soil_text9,18.905
temp_int,16.153
no2_int,15.066
soil_text3,11.971
farm_sheep,11.707
rad_glob_int,11.682
soil_text4,10.818
soil_text5,10.53
nox_int,9.353
co_cams,8.559
no2_cams,8.222
air_hum_int,6.929
nmvocs_cams,6.272
aq_zone,5.789
o3_cams,5.404
clim_zone,5.218
aod_047,4.913
int_prim_sec,3.174
int_prim,3.118
soil1,2.641
soil2,2.633
nh3_int,2.576
soilTextSum,1.722
soilSum,1.666
soil_text1,1.165
farm_pigs,1.035
soil_text,1.029
soil7,1.02
prim_road,0.8
farm_poultry,0.518
sec_road,0.387
highway,0.378
soil_text2,0.227
soil8,0.149
soil_text10,0.122
soil_text6,0.067
int_sec,0.036
pop,0.025
soil5,0.013
soil,0.008
soil4,0.006
soil9,0.001
