Features,Average Scores
pm10_int,52.6
soil_text4,36.774
nmvocs_cams,26.564
no2_int,25.362
no2_cams,22.045
co_cams,21.371
pm25_cams,19.585
wind_dir_int,17.919
pm10_cams,16.698
nox_int,16.299
temp_2m,15.471
aod_047,14.226
temp_int,13.402
soil7,13.138
nh3_cams,12.395
soil4,11.856
soil_text9,11.768
press,11.72
soil8,11.236
dsf2,9.235
dsf3,6.974
pop,5.999
soil9,5.974
sec_road,4.907
int_prim_sec,4.759
int_sec,4.568
prim_road,4.158
highway,3.97
o3_cams,3.897
soil,3.212
soil_text1,3.132
int_prim,2.728
soil_text2,2.662
soil2,2.475
soil5,2.3
air_hum_int,2.12
soil1,1.857
soil_text7,1.684
farm_pigs,1.634
nh3_int,1.505
rad_glob_int,1.414
soil_text3,1.255
soilTextSum,1.155
ndvi,0.829
farm_poultry,0.783
soil_text10,0.562
soil_text,0.382
soilSum,0.228
aq_zone,0.177
o3_int,0.135
farm_sheep,0.131
soil_text5,0.086
soil_text6,0.061
clim_zone,0.004
