Features,Average Scores
pm10_int,260.574
nh3_int,228.439
nh3_cams,103.926
pm10_cams,77.139
pm25_cams,64.619
co_cams,42.717
o3_int,31.531
nox_int,31.259
aod_047,24.912
clim_zone,23.07
no2_int,22.969
ndvi,16.917
temp_int,16.401
press,15.718
dsf2,15.205
no2_cams,14.0
dsf3,12.85
farm_poultry,11.216
temp_2m,10.834
farm_pigs,10.815
soil_text4,10.369
o3_cams,9.877
soil_text9,9.759
soil9,9.178
nmvocs_cams,8.816
soil_text,7.303
soil_text5,4.222
int_prim,3.885
rad_glob_int,2.96
int_sec,2.84
soil7,2.244
no_cams,1.671
soil4,1.555
soil_text6,1.425
soil5,1.417
soil2,1.259
soilTextSum,1.238
soil,1.165
sec_road,1.165
soil1,0.983
soil_text7,0.828
soil_text1,0.662
soil8,0.616
aq_zone,0.601
soil_text2,0.546
air_hum_int,0.514
int_prim_sec,0.25
soil_text10,0.199
wind_dir_int,0.145
soilSum,0.098
highway,0.061
prim_road,0.05
farm_sheep,0.036
pop,0.009
soil_text3,0.0
