Features,Average Scores
pm10_int,339.221
dsf2,142.937
pm25_cams,128.464
pm10_cams,107.473
press,92.805
dsf3,92.161
co_cams,81.01
aod_047,78.265
temp_2m,73.508
aod_055,66.269
no2_cams,64.963
nmvocs_cams,58.949
temp_int,56.789
soil_text9,54.859
no2_int,40.696
ndvi,36.886
o3_cams,35.557
no_cams,33.17
soil_text7,33.033
nox_int,32.387
nh3_cams,30.856
clim_zone,24.803
soil_text4,23.408
o3_int,21.281
wind_dir_int,16.284
int_prim_sec,15.869
sec_road,12.68
farm_sheep,11.585
air_hum_int,8.751
rad_glob_int,8.475
nh3_int,8.397
highway,7.588
farm_poultry,6.608
int_sec,6.462
aq_zone,6.406
prim_road,5.95
soil_text5,5.492
soil_text,5.242
soil_text3,2.711
soilSum,2.454
soil9,2.202
soil2,1.979
soil1,1.705
soil7,1.506
soilTextSum,1.492
int_prim,1.478
pop,1.47
soil_text2,1.018
soil8,0.695
farm_pigs,0.537
soil_text10,0.217
soil5,0.19
soil,0.133
soil_text6,0.092
soil_text1,0.036
soil4,0.009
