Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
dusafSum,0.26150924726679764,0.3294187369384568,0.24441843342497474,16.256722903127976,1.1204839514201866e-05,57,1,183
dsf2,0.7748480981142102,0.7971992426097273,0.5920144503334288,357.2147890158931,5.372000111405587e-05,55,6,322
dsf3,-0.6922970066152112,-0.5846688067275984,-0.40597073258516203,228.49132347282293,3.027147803293223e-05,54,2,150
aq_zone,-0.47808976102122663,-0.6378567470960267,-0.49545486770153574,76.51830386210194,3.256121536192609e-06,53,2,118
clim_zone,0.7566877673604848,0.7513446896884338,0.5726364900431675,323.38724368772614,7.462523915285029e-05,52,6,323
soil,-0.10828199759542068,-0.05743418355584416,-0.04464368603075717,2.836443015881308,6.046604637005427e-07,51,1,108
soilSum,0.15953446693894907,0.18212036086046388,0.13051036846604305,5.148195722907894,3.5214420364711456e-05,50,1,165
soil1,0.029015590704410135,0.06134665034885418,0.046698267134246116,0.19398327891821568,4.0340023484305e-06,49,1,113
soil2,0.038622418318892106,0.07802774470004745,0.05819650429463554,0.32279402570175914,9.285041283400526e-06,48,1,121
soil4,0.10454387232468759,0.14312480460956692,0.1068260515313951,3.6125703541036773,8.192145030251751e-05,47,2,180
soil5,0.1136021897070283,0.14745110895590796,0.10515618563013157,3.410790740023094,2.0580765391521002e-05,46,1,141
soil7,0.021284585903200884,0.21037402951283088,0.13966699076802744,0.016945246053187535,0.00021219408816199848,45,2,176
soil8,0.22234178287110365,0.4596382360955654,0.33871342219331674,10.606057411264347,8.745691981484725e-05,44,4,221
soil9,-0.3438890926209696,-0.5272552611213123,-0.39674833017990685,30.83218970969512,1.0051191849457315e-05,43,1,102
soil_text,-0.17620798415430433,0.009509449673974789,0.027031132936412447,8.922213844782757,1.6454767448013476e-05,42,1,118
soilTextSum,0.11478138152595788,0.036274480612219114,0.029418891252065663,5.4796714376940585,7.080924916306131e-06,41,1,120
soil_text1,0.06517423833778387,0.03024701206258209,0.026979386125322965,0.9855396968558748,3.722702911933869e-05,40,1,120
soil_text2,0.08123139277431912,0.08141397397338541,0.06243041501765078,2.00762547793078,4.506036901738631e-06,39,1,114
