Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
h_mean,-0.3104926527883223,-0.5111617630431556,-0.41238515322085073,15.411452244038868,0.0008510746680901312,32,4,80
aspect_major,-0.0816108059551949,-0.10279030884841603,-0.07684929010535332,2.0400140008768286,7.754724347266513e-05,31,6,109
slope_mean,-0.20830561634866268,-0.1122129099925611,-0.060008019674734424,7.263461696479827,5.287623128721561e-05,30,6,96
pop,-0.26363379417431065,-0.4004581699684231,-0.2788077730987285,15.271779969975942,4.643292180087106e-05,29,6,84
int_prim_sec,0.041020256780003414,0.07194756820239852,0.058083692808385906,4.022176546973309,2.340481766860204e-05,28,6,113
int_sec,-0.27793694381145817,-0.35212548636597973,-0.2736995788245703,14.344422869931346,2.4940844373761708e-05,27,6,82
highway,-0.14508903191621428,-0.20586375121571238,-0.16404699342310855,3.5443737798220654,6.935598736705018e-06,26,6,75
prim_road,0.08199740991139778,0.14798227897118885,0.11865257793906037,5.498263719041611,2.424228530229918e-05,25,6,125
sec_road,-0.38251492120737135,-0.395241027020673,-0.28782652234704165,31.123958929422134,2.8506652315509983e-05,24,5,72
farm_pigs,0.16678620336598146,-0.001372531802024233,0.004129855566653514,2.244633020257823,7.969073125782835e-06,23,6,107
farm_poultry,-0.06793711242945394,-0.09750576984118259,-0.07995555279346149,0.2645194867942782,1.3954889736409616e-06,22,4,65
farm_sheep,-0.0571228342930573,-0.09766282526172983,-0.07059487884861952,0.8221982693360849,3.0562387250819782e-06,21,5,71
ndvi,0.35949089898658626,0.34296053011363237,0.2549600754714274,25.85639238110436,7.360800730427282e-05,2,5,127
temp_2m,0.24782683018171198,0.32422021330634404,0.1565324626475774,9.309948851771242,0.07392620046048733,3,6,147
press,0.3469645057740387,0.4421286200545451,0.303265708992572,19.424828193597943,0.011394934217579124,4,6,163
aod_047,0.1748830433802516,-0.010589235369975716,-0.032271012027747625,5.1866197456416865,0.00030834271617223634,5,6,108
nh3_cams,0.7361886636791038,0.6199100678831229,0.4841701534170154,163.5279419405236,0.8771826719298225,11,6,201
co_cams,-0.06289659904602961,0.0550330734908592,-0.05669456066945608,1.2415016618521049,0.0029409126669863277,6,6,108
pm10_cams,0.34740129196604064,0.3046085869546346,0.20020920502092054,17.796823450120495,0.0010500830371677865,7,6,153
pm25_cams,0.3125698455901619,0.27661764961197244,0.14337517433751745,14.374431443654279,0.002861364153642148,8,6,152
no2_cams,-0.15218935153947166,0.016300630219274637,-0.017085076708507674,5.082232065884997,0.002305566176249788,9,6,115
nmvocs_cams,-0.28008317348151696,-0.04522734769700862,-0.11052998605299862,14.342354563311428,0.007418399921884106,10,6,113
so2_cams,-0.1077075903592531,0.08872115835344362,0.02740585774058578,2.6923483036392977,0.0012583647843695805,16,6,124
o3_cams,-0.08801543947983029,-0.14452507856039162,-0.04009762900976291,0.8785179886016655,0.0028949184657261332,12,6,84
no2_int,0.08112539612638303,-0.1527196652719665,-0.13312412831241285,0.0515440758286594,0.0033419657615933345,13,5,80
nox_int,0.21951968584527162,0.09374207885553566,0.03451882845188285,4.596429705982922,0.00045722467242595557,14,6,136
o3_int,-0.46901827374589433,-0.5315647841108352,-0.3348675034867504,37.013923350327616,0.00043981505449502576,15,3,63
pm10_int,0.4954826979000573,0.44287487629993566,0.36227336122733617,41.881794552441356,0.0016261238644592843,17,6,175
pm25_int,0.10910123242813533,0.22783208041806274,0.100278940027894,1.547686840420629,0.0018805441823340862,18,6,129
air_hum_int,0.6359717191831605,0.6564133057865587,0.4219665271966528,100.38738761661061,0.003202415746463109,19,6,188
rad_glob_int,0.43867316191297245,0.6375848539037134,0.41087866108786614,34.09210333234572,0.0036143082959208253,20,6,182
temp_int,-0.21833894227112127,-0.10460858695463461,-0.09672245467224548,9.892000556266618,0.0006738538210448013,1,5,69
