Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
area,0.011331846067201761,0.2011243384154691,0.1485046171112438,0.7451115081245548,0.005779662102510572,25,6,90
pop,-0.06906144657149083,0.18133133563810674,0.12346735101226121,0.6508307428159996,0.0016175827029167947,23,6,59
int_sec,0.2052728744008333,0.34043086692466723,0.2263494956069373,5.858695884580085,0.004796538142521017,21,6,78
sec_road,0.22152504353348135,0.32446766821921635,0.21721146845737813,6.8553559355241935,0.0064288544853070085,22,6,82
farm_sheep,0.0039346143361192135,0.16471696065856786,0.13187693287974223,0.0008420409528694748,0.002562385758839369,11,6,39
ndvi,0.3364446857401132,0.2588972519879936,0.17636156258910754,15.131837043718463,0.007446335674287986,2,6,71
temp_2m,0.5478048244653111,0.3593168692201397,0.24964357000285145,45.21888890075188,0.004310773984531473,3,6,88
press,0.6096086475059654,0.564645856216561,0.3934987168520103,63.69029002714059,0.021133789564987383,4,6,116
aod_047,0.3998501957871583,0.1279798135844542,0.05861798846549593,20.694748564996175,0.009671142012584398,5,6,71
nh3_cams,0.8580714588630378,0.8659527943268156,0.6686626746506987,335.7601129993297,0.6482405571821681,6,6,150
no_cams,0.15642546016551298,0.3807153233684787,0.2569147419446821,3.15475276215774,0.0005926491515720697,7,6,66
co_cams,0.6434966194800438,0.6412930689761644,0.46278870829769037,78.2726343774564,0.0018157934986502038,8,6,115
pm10_cams,0.7938383921376355,0.8183371211929481,0.6228970630168236,190.33285788011784,0.044020545918254037,9,6,150
pm25_cams,0.7762642957316723,0.7909455813647431,0.594810379241517,171.26499084652048,0.06457365809381387,27,6,167
no2_cams,0.33357362058162815,0.43688784729779667,0.2911320216709438,14.613533551655841,0.001524353764234304,10,6,99
nmvocs_cams,0.33595553007401757,0.512661912017048,0.3692614770459082,14.77140614679118,0.002954315798582512,12,6,99
so2_cams,0.35433428541057566,0.33151532944255196,0.2475049900199601,14.021674344214993,0.014626634128626503,20,6,111
o3_cams,-0.6352697115562576,-0.6187405408962295,-0.4224408326204734,74.28003901064373,0.00239519047921562,13,6,60
no2_int,0.023129734170393518,0.08348054524931542,0.044482463644140297,0.3034584888365828,0.0087494155967815,14,6,61
nox_int,0.06720142828857469,0.1232733181144052,0.06144853150841175,0.3625751224647923,0.005575107656408163,15,6,63
o3_int,-0.5136432391637744,-0.4909622850663847,-0.32820074137439414,39.329757858735015,0.007171623896300247,16,6,72
pm10_int,0.6568865281850101,0.6099407271678116,0.4405474764756202,85.49444829685396,0.017716192338682206,24,6,157
pm25_int,0.2932671534447712,0.25995768395584157,0.1732249786142002,10.938866205260407,0.020673950928252388,26,6,112
so2_int,0.5066605201244813,0.31128613440911923,0.1936127744510978,41.256529287455145,0.036384680333564214,17,6,124
air_hum_int,0.49264649311088593,0.5787554223758739,0.39720558882235535,28.004621257838217,0.040272679146362504,18,6,142
rad_glob_int,0.24703131628489022,0.21237744291636512,0.13387510692899915,5.78480251904448,0.009247329020250768,19,6,95
temp_int,0.583824115882027,0.6679152261833055,0.48531508411747937,56.9611639415794,0.009718258639794882,1,6,109
