Features,Pearson,Spearmanr,Kendall,Fisher,RF Importance,RFS,Final Score,Borda Count Voting
h_mean,-0.3722620956152305,-0.8482744596856177,-0.6498369916781089,26.371450761107752,0.01990642487565062,36,3,104
aspect_major,-0.1162483120581813,-0.15154274180991983,-0.10192940076797596,3.80975175124443,4.2929103591934024e-05,35,6,132
slope_mean,-0.26204098906451107,-0.4798582613974013,-0.33741871376665017,13.527966923570984,8.120213594409517e-05,34,3,82
pop,-0.18222786296556093,-0.33073872962416145,-0.21413748518117032,6.648048773619138,2.402335577824396e-05,33,4,85
int_prim_sec,0.025500899566806536,0.08268724504424121,0.06646881197185163,3.8054030181977256,1.0945831303086592e-05,32,5,133
int_sec,-0.15080814280981125,-0.16438859638534323,-0.13046879017185523,3.8165681888674805,2.3770137039545477e-05,31,6,113
highway,-0.07130602443195663,-0.05174117976079674,-0.0415029820636544,0.5811976912934944,3.750996328649976e-06,30,4,95
prim_road,0.028511813901440905,0.10945920765491919,0.09048816201869068,4.00547119305058,7.618228094342632e-06,29,5,137
sec_road,-0.2720462078586165,-0.24487657625147533,-0.17216413557383228,13.921752991433896,4.310595867522092e-05,28,5,102
farm_pigs,0.15294164994698684,-0.08621630426029779,-0.06591546517980033,0.9432069188838282,3.0263524196805124e-06,27,4,102
farm_poultry,-0.014193940990560462,0.01203169233131375,0.006726824995403044,0.09226752621241498,1.5381752120643283e-07,26,4,96
farm_sheep,-0.05925195238456081,-0.1509274146089199,-0.11430919444148155,1.157063326624117,1.831079562524561e-06,25,5,99
ndvi,-0.12358832683063105,-0.2613370023785135,-0.16429567642956766,3.4889664155492635,4.459603034348975e-05,24,6,105
temp_2m,0.37682653195978855,0.6757637910705787,0.48654086614384423,26.295147768935788,0.0079291479284402,23,6,207
press,0.37701970399505746,0.7695051739147141,0.6000391249776094,25.417397038625822,0.004446666243470633,22,6,209
e_wind,-0.29417970902652946,-0.6266776479241002,-0.4437512207132597,16.762848529337,0.004604220215204816,21,3,87
aod_047,-0.06622736598357096,-0.14103213491342684,-0.14370194437004588,0.8597917607340323,0.0003751332611938303,2,4,74
nh3_cams,0.893444516334199,0.8277348565079253,0.6793584379358439,521.0751078602628,0.9159789497590186,3,5,200
no_cams,-0.21653559188094954,-0.23796506883800062,-0.20348675034867506,8.804458321290136,0.0004222039004567051,11,6,110
co_cams,0.15839926654254455,-0.004523516033264466,-0.0027894002789400282,2.2024611335083533,0.0005514407569873006,4,5,119
pm10_cams,0.5240608484956586,0.4341056268337991,0.3066945606694561,53.32861848764187,0.0020868008875260225,5,5,174
pm25_cams,0.45456190152697723,0.31820170489070987,0.23145048814504887,36.13929592675795,0.0014430938388032793,6,5,161
no2_cams,-0.07223544674607375,-0.0968801541693432,-0.07831241283124128,1.3951282182955937,0.00037946531219130455,7,6,113
nmvocs_cams,-0.13174933663005592,-0.1932984947655341,-0.17336122733612275,3.5534741436592174,0.002390908285665112,8,6,114
so2_cams,0.04779694962488187,0.2396144030278303,0.1591352859135286,0.12142197573106052,0.0005072720050704673,9,5,117
o3_cams,-0.11980768355743016,0.15328825153214462,0.11736401673640169,0.9537967195708472,0.00046041507521343275,10,6,119
no2_int,-0.24209354514949427,-0.31080487508463683,-0.2583682008368201,12.2351251668849,0.00028651569962711036,18,3,73
nox_int,-0.20005114476814986,-0.2875093317592319,-0.23500697350069735,8.643636205950406,0.0004643003399556644,12,4,83
o3_int,0.06793593507488725,0.1730724491744648,0.18047419804741982,1.5171453918811504,0.000295622185379606,13,6,144
pm10_int,0.5081516649218805,0.6263537561415995,0.43054393305439337,53.32854715340738,0.027210219006155795,14,6,209
pm25_int,0.4980166313460165,0.5693293286341775,0.41638772663877277,49.793788584108626,0.0001453453654330894,15,6,189
so2_int,0.09098703346902001,-0.010142537196826331,0.032357043235704326,0.7894580951953795,0.0011089140291443693,16,5,130
air_hum_int,0.630507556720943,0.7512682511849164,0.5663179916317993,95.08224249546268,0.005089461748502205,17,6,213
rad_glob_int,0.35995305687274,0.36006527891109213,0.2767085076708508,22.68717234767541,0.0006308643478152994,19,6,178
temp_int,0.09907207109049779,0.4022760811819649,0.24232914923291496,1.3562616728913193,0.002114214341109697,20,6,162
wind_speed_int,-0.22745882828106628,-0.11274848521675722,-0.06324965132496514,4.974434023388511,0.000885447565382764,1,4,92
