fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
1,0.9862813692145932,0.07969723985871609,0.3686019268056756,0.007708932897894134,0.09058071167584807,0.016433738119969173
2,0.9914838772813028,0.06515334181699976,0.35614538833503584,0.04471898093489639,0.10022009483477815,0.036902248781766775
3,0.9903188674333331,0.0714398717386034,0.3621587132261156,0.028763694070337062,0.08924500431041509,0.022174088307847718
4,0.9883158915600695,0.08101628089051047,0.3680959120070999,0.008847791477118004,0.0869381230587369,0.016527093835888202
5,0.9868971740681414,0.08737275818062279,0.37395184981570345,0.005447745303723934,0.08955776495448578,0.017730815976696263
6,0.16203994136965474,0.30315866651846685,0.40718775203521457,0.0077977993369463365,0.022207356858488604,0.4071575867991721
7,0.14494749622295922,0.2823880207252482,0.41239101769821324,0.004297724425542102,0.02013478196511949,0.3923174760473965
8,0.12362976254473523,0.26997812510039776,0.4174956398757158,0.0024150796547285952,0.015188853892438573,0.4026418898831718
9,0.9796560764705363,0.06461791107393257,0.3423608018978699,0.08536563804480125,0.16528655637083384,0.09575810758684017
10,0.9882668076101708,0.06546081718664105,0.3487657381820071,0.06883432832574005,0.13893018884654104,0.06838379051257427
11,0.9898470832622028,0.07065936709621953,0.3551034724653158,0.05015377923748538,0.11143367026225731,0.04074067255454601
12,0.9885496989795007,0.07955276458288815,0.36136597509462415,0.028789993243257206,0.09629673033608506,0.025615270575120672
13,0.9880425961463881,0.08759020469121226,0.36754639004522094,0.010763603801834758,0.08920047424228196,0.020537477825068335
14,0.9861318076818104,0.09462567657728016,0.37363892598891313,0.006131234384749256,0.08979403575365294,0.021687709461624072
15,0.17997781938310475,0.36085484963121955,0.40264292198611035,0.02240124791626607,0.02339896326285283,0.38921868909278995
16,0.16869523859183247,0.32098884079217055,0.4081341403570311,0.009813755568023353,0.021859222936825063,0.43517184123806274
17,0.14768436956590936,0.2918524382194927,0.41351899909449363,0.004422781647212042,0.0184690506469928,0.4539226226947685
18,0.11894994362665476,0.26798040202567613,0.41879709779449603,0.0020866902895557093,0.013430318419058646,0.4415828247419092
19,0.09507368926595451,0.24672967200723864,0.42396841342980807,0.0007533980760855192,0.00914096008821464,0.43073957732084633
20,0.9581415343056084,0.07222097376784321,0.3339823484774457,0.12106635471073948,0.1745812725244625,0.10126955056647136
21,0.9690385765896247,0.07018912581731566,0.34067174827412844,0.10561749759186856,0.17046629870554697,0.09442974323056583
22,0.982124736977901,0.07245333840985614,0.3473571554435921,0.08179246150025231,0.15411516313599977,0.07069401222948991
23,0.9824084529470452,0.08326477329179222,0.35397085382253013,0.051061348583998564,0.13575791986303323,0.04719312968051209
24,0.9753107651664247,0.09898090798859185,0.36050363049951284,0.026018098885976695,0.12431337045235659,0.0347970485923196
25,0.959967837000917,0.11332776037178517,0.3669476629108919,0.013423392238345863,0.11944522099277277,0.03389811236002069
26,0.2733874975102364,0.4997635454358443,0.39172130732917326,0.11929777453251779,0.07299783239893322,0.17316350954112186
