rfuid,fid,Target,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK
0,1.0,1,0.07759197959583314,0.05003382252804565,0.026991657080721928
1,1.0,1,0.07602963273038602,0.04786688282050654,0.02749972266761305
2,1.0,1,0.08030398355840597,0.04965172980686163,0.024980870762535766
3,1.0,1,0.08080088431418042,0.04757256944626178,0.027712896671720534
4,1.0,1,0.08219721601007111,0.049714448535662,0.024981239323247896
5,1.0,1,0.0761615940518381,0.049329200126802246,0.027760144326362066
6,1.0,1,0.08306437720248494,0.04808150017958345,0.025790126781366683
7,1.0,1,0.08217017540183343,0.05029768716549093,0.025491959002025933
8,1.0,1,0.0824411475734575,0.049199440978726285,0.027321491302300712
9,1.0,1,0.08175286766993577,0.04657439018538058,0.025257741408241805
10,1.0,1,0.07750360512612914,0.0509050367519362,0.025853743832600033
11,1.0,1,0.07804397190024932,0.04956355383880801,0.026565044135271422
12,1.0,1,0.07571113496337918,0.04660400047397356,0.025124527378232585
13,1.0,1,0.07672242186272533,0.048291560087599016,0.026882414645593065
14,1.0,1,0.08105772879086796,0.04921751066464965,0.026996869451960864
15,1.0,1,0.07703649517217827,0.05052726946171893,0.027587530269697107
16,2.0,1,0.06348344319948505,0.037222596512329974,0.039841604542303295
17,2.0,1,0.060242773777538255,0.037067509045670625,0.03852520394315448
18,2.0,1,0.06221751327676095,0.03937801142029426,0.03723671320777516
19,2.0,1,0.062462990250118845,0.039703244206082795,0.03938635557560886
20,2.0,1,0.06540346875585461,0.04054834267460205,0.039932576841679654
21,2.0,1,0.06467920191456011,0.038471522590026036,0.03963666415923682
22,2.0,1,0.05993347889865609,0.03693200510016564,0.039626636246371826
23,2.0,1,0.061361248427931295,0.03890175229985254,0.036375979875819926
24,2.0,1,0.063988175183674,0.040599938261123805,0.03845127811905996
25,2.0,1,0.06449147714060942,0.03945907073116446,0.03615852317663786
26,2.0,1,0.062389173284568264,0.038301822009330085,0.037485882186880856
27,2.0,1,0.06311029686172731,0.03685855517756513,0.037439565959400005
28,2.0,1,0.060928920135361914,0.03739795716161536,0.038387503011997205
29,2.0,1,0.06211993940219964,0.038525461767652355,0.03927905506031118
30,2.0,1,0.06151278766379576,0.0398076958499566,0.03789208104774254
31,2.0,1,0.06031401999122658,0.04017794123871827,0.0368688878319582
32,3.0,1,0.07010727085212866,0.04540307123870113,0.0316489862941183
33,3.0,1,0.0710039437358989,0.04437134740171937,0.029816413475329213
34,3.0,1,0.07360884604983074,0.0443497816881139,0.03286854775899244
35,3.0,1,0.07333013461065784,0.04299785435504841,0.033164170354279016
36,3.0,1,0.07149812556558952,0.04318575814798071,0.03016611973610142
37,3.0,1,0.0679743477359614,0.04206538748479874,0.032827629274364695
38,3.0,1,0.07085061314641766,0.044531925852104345,0.030968163726954566
39,3.0,1,0.07410678147361428,0.04418083607339218,0.029802445799878355
40,3.0,1,0.07404018774291123,0.045661283590611314,0.031969375199026526
41,3.0,1,0.07158066720306148,0.04268973608265858,0.030718448723259784
42,3.0,1,0.07422958104109441,0.0415275950734075,0.03153678448047961
43,3.0,1,0.0684243080277361,0.04184640162070894,0.03060153055243537
44,3.0,1,0.07233633616793088,0.041911961435870594,0.032259096672929324
45,3.0,1,0.06897588029367495,0.041689917706357174,0.031057438258157113
46,3.0,1,0.07019419403339092,0.04143331933708186,0.029671289128223276
47,4.0,1,0.0838811609197618,0.0526113709095419,0.024827008921492262
48,4.0,1,0.07861099689583363,0.053075727764528895,0.02527714986726734
49,4.0,1,0.07856412297538133,0.0508566558258157,0.022684065817073492
50,4.0,1,0.07898161787433132,0.04965574753760833,0.024945993681800706
51,4.0,1,0.08539420798661686,0.05216498693708484,0.02237099960699432
52,4.0,1,0.0799103550001091,0.051528141197790686,0.024164628802249434
53,4.0,1,0.08375774004773996,0.05182748122819486,0.025172058222851665
54,4.0,1,0.08175010527635079,0.05242535924152231,0.022964445500132956
55,4.0,1,0.07810862440400847,0.051665838542221794,0.023466600692864367
56,4.0,1,0.08083537345008944,0.05294758401933667,0.025067366281735476
57,4.0,1,0.07970102459972749,0.04856933113316076,0.024712020129826026
58,4.0,1,0.07819723418084215,0.05075124023890509,0.022883028670092526
59,4.0,1,0.07871707886644462,0.052640690897596085,0.023605300190388517
60,4.0,1,0.08343437031640501,0.05093748969282897,0.024091555089929304
61,4.0,1,0.08250742382442075,0.049757611942273926,0.02234832235871675
62,4.0,1,0.08072541585928643,0.05100461860877073,0.023235162304898315
63,5.0,1,0.08657713474284548,0.05814694222039629,0.02133910232352338
64,5.0,1,0.08541007600255188,0.05563552742085746,0.019727089182333513
65,5.0,1,0.0855749944722313,0.057035242528500535,0.02163063266338082
66,5.0,1,0.08480924333726175,0.05365832641585482,0.020035436401592333
67,5.0,1,0.08526998207506772,0.05917892653623572,0.021759920445544183
68,5.0,1,0.08491151513494986,0.05608256087476295,0.0207821546759786
69,5.0,1,0.08835701754925557,0.05885551206669975,0.02039007797977409
70,5.0,1,0.08620860519902115,0.053863604405026314,0.020172503231242946
71,5.0,1,0.08556873852898422,0.05823314985463039,0.019602676941368375
72,5.0,1,0.09074805643912014,0.05459886348415317,0.020961831325160125
73,5.0,1,0.088617393893004,0.05430738464978215,0.02021993135662189
74,5.0,1,0.08667148087239056,0.05451215537922524,0.020769797969165234
75,5.0,1,0.0905685865279017,0.058007932516137284,0.020634655420603484
76,5.0,1,0.0852747561328284,0.05684554417485437,0.020329482276691135
77,5.0,1,0.08987384827747225,0.05901106935777689,0.02067636696296991
78,5.0,1,0.08323698685748453,0.05445936057099728,0.02021720066693119
79,5.0,1,0.08745456581980639,0.057060800590166307,0.020524063072185402
80,6.0,1,0.32069991925582286,0.16883115484057698,0.3796266992146019
