fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,1.08257430912816,0.07371326790173686,0.04129845252776948,0.03959870294714681,0.39680193511007955
2,8.547,45.177,1.0833825705424225,0.05054711287593816,0.0535243573903947,0.024787974896780855,0.4012346837940466
3,8.547,45.243,1.0593091939361552,0.07332752299783828,0.03848931876782355,0.04874505266452755,0.4041784697575748
4,8.547,45.309,1.0872510728064135,0.07825567252157122,0.03208679112010832,0.04132998199733206,0.37156450097164834
5,8.547,45.375,1.130182003884078,0.098471028268474,0.020587060457966554,0.06636075486902668,0.3941540513010002
6,8.547,45.771,0.65806930419789,0.2758375039470284,0.33310985854226965,0.13753769047318082,0.43646266079297374
7,8.547,45.837,0.6010554042039342,0.24654925262993893,0.32558486192618585,0.09702646493799508,0.36552981619148694
8,8.547,45.903,0.5303801956336928,0.23962243319263857,0.25095013631485896,0.1089870928697137,0.3360045213292075
9,8.613,45.045,1.1057697803641766,0.05912828683977411,0.055298689043417885,0.03581187936202383,0.3446437968823063
10,8.613,45.111,1.113720640481033,0.061042480058022534,0.052608597456321016,0.036877985343161224,0.36723481832599375
11,8.613,45.177,1.1242640472832106,0.058972213046709875,0.044390847012166945,0.03620083570499736,0.36241135884961767
12,8.613,45.243,1.1017420728473029,0.07335716992265554,0.0364606554176921,0.0457740549936657,0.3896536106212116
13,8.613,45.309,1.1395328024314062,0.0757802756204338,0.03018302780196633,0.04055932632564046,0.36771526624338396
14,8.613,45.375,1.1966343209287649,0.09481292779930957,0.018263895687516626,0.05964360224075433,0.3954606578886763
15,8.613,45.705,1.0003104411965258,0.31799955762378107,0.48589828897055776,0.2053015891762102,0.5311482915663536
16,8.613,45.771,0.863805736615604,0.33805206062472504,0.41942967146969656,0.20916169107514526,0.5533923586285218
17,8.613,45.837,0.6166396927438695,0.2863387874766246,0.43378782045687647,0.13355228859175408,0.46161894803098985
18,8.613,45.903,0.594464440208953,0.27768508808549414,0.4001893440536249,0.13685873322026912,0.43958542016583024
19,8.613,45.969,0.3983362635523583,0.22534490684141767,0.4389805831861551,0.07944405901288408,0.3752565575493133
20,8.679,44.979,1.1093389886171356,0.05862535551962705,0.0902678238009741,0.03321273804281259,0.3074651322327063
21,8.679,45.045,1.1239439312717094,0.06923185181031176,0.05919668893293218,0.03721182767680273,0.35957034594641263
22,8.679,45.111,1.1319674755939104,0.0648063190038384,0.04915453837078417,0.0326756238232839,0.3760637642182384
23,8.679,45.177,1.156457707463152,0.08445335701383522,0.0355922427411169,0.06117236477827058,0.40223600924451164
24,8.679,45.243,1.17767555952239,0.10071436167129787,0.03071883655450558,0.07470698307757596,0.42063084805956624
