rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.8670379007429916,0.08071904696885651,0.039217797136079834,0.02270758793722681,0.31576094319800746,0.008416488573777112,0.0847892228093769
1,1.0,1,0.8499696293637302,0.07204063450585561,0.04004973168483914,0.027884450501945525,0.32262446726344685,0.009848997868154817,0.08586951934279678
2,1.0,1,0.8960738197410959,0.06873189323975135,0.04453925936564417,0.026861862793692032,0.3716263644843079,0.009651511414783666,0.0867160567909565
3,1.0,1,0.9162033589442888,0.07249291636755159,0.04473600908668961,0.02244337546971934,0.3355033235911352,0.009374936886875218,0.09857139830092528
4,1.0,1,0.9231275457749417,0.077372302261473,0.038302094169808724,0.024698349796615376,0.3141545588107058,0.009748719019998043,0.09719148687513114
5,1.0,1,0.8561914766156631,0.07183065853581116,0.040177774495650465,0.027712906449860394,0.36051505909993814,0.008571787144339467,0.09846973781100046
6,1.0,1,0.9598512019600796,0.08051006657236738,0.045458513395074514,0.027513218648105058,0.3310567151098418,0.00862123890838275,0.09850758287510931
7,1.0,1,0.9745504932305225,0.06684704481495156,0.038467289197279333,0.02805670892171785,0.32908226242447863,0.008680941956784302,0.09727163074808245
8,1.0,1,0.8327854427507327,0.06734546542881972,0.039901164584510734,0.025894680332570374,0.37109463923705416,0.008860063768336235,0.0846151907100532
9,2.0,1,0.8243959383245218,0.06310714595352135,0.029943601628559715,0.03297778517265881,0.32991604231074284,0.04098711050833432,0.10335751449841929
10,2.0,1,0.992888559996583,0.05399693473739545,0.02871754999572201,0.038867378444815325,0.33508781131954335,0.04316782207191533,0.10780531698991391
11,2.0,1,0.8776904564053621,0.05916248216011862,0.03353471212400236,0.0326858805308278,0.3246070095751265,0.04012434361468534,0.10556337582130049
12,2.0,1,0.9073669238358899,0.053193651904993394,0.03176382373270949,0.040120000379568456,0.3191896962540898,0.04446067343900094,0.10566402327166861
13,2.0,1,0.9830500166403107,0.054107135799052956,0.03066541163872433,0.035533920187362907,0.34307145977023445,0.04109065703959877,0.10850802781979844
14,2.0,1,0.9212579510390846,0.05893197187478336,0.034799876550456965,0.03452871296225266,0.3752367581867059,0.045873269660807764,0.09211433671592754
15,2.0,1,0.8846369507104982,0.060407714905019526,0.03153919824052994,0.036261132826841916,0.31473676006837686,0.04418712658060518,0.10561149567069313
16,2.0,1,0.8691120766650918,0.0612579186844446,0.035003357160751966,0.03575824446678622,0.3230264097120159,0.04216857593437993,0.09272644888324334
17,2.0,1,0.8584535673146968,0.06312847227507386,0.0342873838794957,0.03421306504651204,0.34426084042440236,0.04340965598075356,0.09402913572393953
18,3.0,1,0.9539989425586322,0.06707119721932439,0.040390143251664457,0.03197063153780141,0.3362971419945305,0.031072898256910283,0.09076094619741765
19,3.0,1,0.9911351108423831,0.06960580965114678,0.04097175203220765,0.030896409152006584,0.337750644123726,0.030509731386519433,0.08269553834428985
20,3.0,1,0.881647339278764,0.06280972314267688,0.04297005976590754,0.03075456004568007,0.3782979000350482,0.030069991623874855,0.09466693234178232
21,3.0,1,0.9966734864920566,0.06629384037098479,0.039889832844094766,0.027537417015578526,0.32148974076180054,0.028868392892528034,0.09644061713677865
22,3.0,1,0.8985639375648519,0.0708783382577513,0.03792841881464406,0.02957153862709505,0.36677694976972924,0.030990572198372132,0.08175063761596638
23,3.0,1,0.8338379856403412,0.0644093516361974,0.03595583117640577,0.026523764482704756,0.3152149478838076,0.03192291671804651,0.08449882795853851
24,3.0,1,0.8841358182571971,0.06729632849379767,0.03623313799889629,0.03309225009626129,0.33678005844308323,0.032524787783974454,0.09207496105388835
25,3.0,1,0.925361151921904,0.06940596758683878,0.035864776293544225,0.033673503665615244,0.31322100867629177,0.030306440196074667,0.08030377301945898
26,3.0,1,0.8364724296610954,0.06141561691902782,0.03873793865389628,0.027288341141277574,0.34886829486519316,0.029277937009962656,0.09483504526297616
27,3.0,1,0.9350571838207159,0.05956820189252694,0.03990169587005107,0.02973471851629127,0.3294981552354814,0.030219031407730225,0.09020787760394143
28,4.0,1,0.8161259309404116,0.07636132000355932,0.041705726437950064,0.0217220539005525,0.342295756460709,0.010645220026090722,0.08604110783408521
29,4.0,1,0.8500144789505085,0.07242507598457318,0.04596485461783431,0.023379979930162977,0.36489037337490365,0.009513151878665568,0.07559985060449566
30,4.0,1,0.925663260085034,0.08048993030444247,0.04472081515742679,0.02444348130534752,0.35129918016953215,0.011170387137305922,0.08576775133024564
31,4.0,1,0.8727162288912437,0.07831714279697638,0.04625435117968785,0.021375654891730763,0.3613214929761547,0.010395115136405673,0.0807665919090975
32,4.0,1,0.8964605374455519,0.0779473411508403,0.04486704085180907,0.025665263394163335,0.3331609193546285,0.00998517539323425,0.0823947771516378
33,4.0,1,0.8698835004228344,0.07818196909224488,0.042030940258671774,0.02185778780207396,0.3171832503837425,0.01051419664050337,0.08030058319072025
34,4.0,1,0.8798511982611947,0.07991535245830264,0.0431813873706854,0.024918879199130217,0.36095977441000665,0.01054252083205219,0.07340328093692146
35,4.0,1,0.98389585207184,0.07773517501255885,0.04777752423796006,0.025075893347713877,0.3071042327335379,0.010577510035547204,0.0831181919732474
36,4.0,1,0.9389459042648695,0.07279099283822447,0.042325953053436824,0.025480916337801925,0.3038267254984574,0.009666637731370583,0.07467256395527272
37,4.0,1,0.993618773359372,0.0800671054453667,0.04794037077215808,0.022174591862484182,0.35542194601501254,0.009838516129238105,0.0866365475308822
38,5.0,1,0.921735057940924,0.08252089451471151,0.05439436781852014,0.01750600742438259,0.3352665958244493,0.0055770646220661465,0.0840629242202126
39,5.0,1,0.8682878717375545,0.08785241627316738,0.05300239073731888,0.01985648511988581,0.32566666298152885,0.006033530890770239,0.09105696241904446
40,5.0,1,0.8848972543201897,0.08179468744336998,0.052754300242550824,0.01737802211953493,0.30732909632070965,0.006122638984487087,0.08707329774595361
