rfuid,fid,Target,BUILT_AREA_SURR,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR
0,1.0,1,0.07774494704540177,0.05049145893625433,0.023439908052940186
1,1.0,1,0.0840921142629934,0.0475550301467464,0.02219225504883661
2,1.0,1,0.07019920317422676,0.04572750358611751,0.02511370841842013
3,1.0,1,0.08259885301323193,0.046146832727547264,0.02736127945369197
4,1.0,1,0.07841946667134282,0.04695870565080035,0.025817668527750155
5,1.0,1,0.07571470233795621,0.04694317758577609,0.02247673512046253
6,1.0,1,0.07392407323707709,0.046016587388350745,0.026393825627661033
7,1.0,1,0.06987858614712948,0.05074285670902279,0.026232355988268584
8,1.0,1,0.08057721322495591,0.04960825699228731,0.027176931125704802
9,1.0,1,0.07699697874684422,0.048810365374033673,0.024137917769251362
10,1.0,1,0.07362847072891499,0.04587037657046444,0.022153258267287063
11,1.0,1,0.0755453429615533,0.05106257481080858,0.024326176989010018
12,2.0,1,0.05880501973696902,0.03913533725051031,0.0378191396143257
13,2.0,1,0.0665056743622621,0.03895946821232129,0.03554133286568134
14,2.0,1,0.06750322208965692,0.036453649167792895,0.036797973325815615
15,2.0,1,0.06947998683653911,0.03464148767780439,0.03314747873458326
16,2.0,1,0.06820031001107209,0.04053864932564544,0.03082991529192014
17,2.0,1,0.06838355652823364,0.03571949577698197,0.03709144144517573
18,2.0,1,0.06730251631990822,0.03590356991416059,0.03758526632495174
19,2.0,1,0.06713472081409187,0.03405948103710732,0.0321857056584914
20,2.0,1,0.06641465702197702,0.03491113264647065,0.037823314435217255
21,2.0,1,0.06618335352323458,0.03714517259287307,0.03280431431676443
22,2.0,1,0.06023956616436201,0.037306810464585345,0.031205252411160796
23,2.0,1,0.059141073254582635,0.03812343896568193,0.03125718520971879
24,2.0,1,0.06619975401255133,0.034157267770904866,0.037538275543393285
25,2.0,1,0.06123770930155842,0.04081082845914728,0.031501358350874434
26,3.0,1,0.06346444756467133,0.04436144686704795,0.02597517934460717
27,3.0,1,0.06561388356790077,0.037561552643006715,0.027174361720220516
28,3.0,1,0.07653782921035991,0.03892333764964276,0.03199704584573844
29,3.0,1,0.06433277109157128,0.03936934680101708,0.027228566544536693
30,3.0,1,0.07484154089674878,0.03847280653598964,0.027119904182985172
31,3.0,1,0.06843296260671208,0.0430130246988407,0.030097355617157852
32,3.0,1,0.07597726251388574,0.03861489697394143,0.03152184741225498
