fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,0.9794176804661872,0.07861482874601958,0.03512867287226168,0.04468487999239267,0.008856474482424544,0.09421480477339333,0.3887268503652491
2,0.9896099065115594,0.06040595394915357,0.046633052442480505,0.033523025369375105,0.041273933031424535,0.10539006791328986,0.3874685993494711
3,0.9871718644630322,0.07078143474825463,0.039432725786990724,0.040971503751083445,0.03050458033517214,0.09191462502033282,0.3945771735328006
4,0.9863725512000081,0.07928934831608067,0.03236312805976241,0.04677508384875014,0.010207764076735371,0.082710404501575,0.3864711014417203
5,0.987040019192066,0.08749529788956317,0.026343555301421403,0.0527238985869459,0.005949763336791482,0.09038090278299282,0.385594258711634
6,0.16764545455284408,0.28790869807191155,0.3741341248884063,0.13973887074593183,0.008192764487080662,0.024824357947110017,0.4504243176363132
7,0.1410062400010143,0.2671357899859025,0.3460483209885799,0.11716548285820355,0.004546122236075948,0.019993380314910165,0.39834586149941553
8,0.10965559977116589,0.252352447842732,0.3342439058338313,0.10455748647035165,0.002592668319149741,0.012789864166370067,0.364352330528537
9,0.9776433438394093,0.06219638761584219,0.05830276384837164,0.0347773324918732,0.08967354224363172,0.16640311074759118,0.3488559358462028
10,0.9874561236972575,0.06101096272456966,0.051325494599812865,0.033853158956510414,0.06855533733196036,0.14137001151212594,0.36580813062945045
11,0.9923999011841564,0.06316112234494363,0.044468655147335494,0.03730650457395813,0.04759851403602649,0.1090665342200441,0.3816284525376174
12,0.9897799984109149,0.07527788201250558,0.036203081424388814,0.04640279080104708,0.030262994090183667,0.08762636230401469,0.39003388040369275
13,0.990205405835267,0.08329092180756317,0.029234680031957803,0.05306563124061833,0.011405466700596945,0.08305956015397917,0.384860852799274
14,0.9894355889390262,0.09203364844093528,0.023400863488856807,0.05794409627643724,0.006476729284900856,0.09157378588705158,0.38647691064179135
15,0.17921165284526944,0.34683215840289067,0.45356890692867113,0.237369126643078,0.022672888217752478,0.02261116768922107,0.5347520531881145
16,0.17430463678236052,0.3202026709798484,0.42353819680147214,0.17296319668860638,0.01017883829667064,0.021469927395236125,0.5062093830203936
17,0.15059915095055063,0.28547635167211644,0.42260391966119404,0.13425133617907417,0.004461536596768347,0.01879907948379849,0.4418382870888524
18,0.11399329669158659,0.266216550549037,0.40358915407812884,0.1144284966954024,0.0023887611667256854,0.011198739992472178,0.4067154947919496
19,0.09065133638049731,0.23705675585308575,0.45121159418879725,0.08816295264121006,0.0008946860010251562,0.008236580915467017,0.39775696632859003
20,0.950101433132315,0.06694231171277669,0.07577047315244131,0.04077833114136692,0.12275546762408161,0.17364039120998584,0.34451380571673607
21,0.9702166811893589,0.06760403490326333,0.06122471333145114,0.038480711078814726,0.11182742417416008,0.17748028892881434,0.35411692355995544
22,0.9846951053497159,0.06836334970514234,0.0501616957867539,0.038451413955390576,0.08239241922759573,0.14765798639839844,0.37196033921950494
23,0.9882603714948178,0.08167445918464053,0.03866931017598942,0.054846290645786486,0.051025671100517804,0.12841705051570998,0.39542026914619965
24,0.9787099160563935,0.0994708259168309,0.03339556319518783,0.07170958594529461,0.027059981965482628,0.10956924239408423,0.4117606992640442
25,0.9688878398014727,0.11298487302557067,0.030838618952225512,0.08629514158734074,0.013986324141313962,0.1149809766725143,0.4164739548713627
26,0.2606211180249738,0.4781996516017012,0.3922533922890768,0.48748540819646186,0.1207531943052056,0.06583027283347832,0.6287162927304268
27,0.2009111822340544,0.46437332614223253,0.45048032765541846,0.4464925407189102,0.0709703990184187,0.03135347892987424,0.6152687664637213
28,0.18613540272066206,0.402418458566852,0.46554716902317556,0.3177318897863772,0.0319056025778721,0.02442021551212016,0.5650774095534561
29,0.1789625907251819,0.345961961527381,0.4593452832198255,0.19877461423674436,0.011512245582907938,0.022069087509597306,0.5159845153779815
30,0.15230512415585384,0.2896697822344314,0.49406244399168336,0.1377243564270436,0.00450714596567253,0.01876670520471975,0.45282800524006556
31,0.11535014850420498,0.26671730207351096,0.512180091299519,0.1114559111834825,0.0017971772675011786,0.011888385145151186,0.4393015861871511
32,0.08374194225910275,0.22010719619807792,0.5515813491368348,0.07466318999424086,0.00020589150920701367,0.008204705030157158,0.42565871840053265
33,0.05944851628242162,0.17983430493545588,0.5418837419548755,0.04874583652254467,0.0,0.002880670356452333,0.4243956979937286
34,0.04182561890872522,0.13118847921817575,0.5909362369402538,0.025645889651706378,0.0,0.0008901201728046684,0.37693902609539887
35,0.9372466969456945,0.07659605022309787,0.07930562815568759,0.054352484986727,0.12928337344873422,0.177823401735474,0.36260851324840254
