fid,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,0.03569325018969934,0.05192045920280854,0.4017933284680464
2,0.04134276513067363,0.04365262965875783,0.39266416499781887
3,0.03673802692532777,0.04851918588986298,0.39653238121089834
4,0.03558659106921526,0.054884832510149535,0.4058560038843831
5,0.03873287425510028,0.06377115950202226,0.4245598288118068
6,0.4183553390127149,0.1777370895955722,0.5012153980561991
7,0.4212075687095873,0.14421504097716367,0.47409933326165493
8,0.4310982667091905,0.12058089943619421,0.4498659174496536
9,0.05567183591708967,0.045583546245427514,0.38675251712872255
10,0.04897628486087082,0.04221854105125447,0.3884339061988959
11,0.04248325840090809,0.04701521509362877,0.3951149420615373
12,0.03721697913440147,0.054251421666374186,0.40014147634666913
13,0.03545748126342143,0.06137440580369238,0.4092982720334525
14,0.04652397201725192,0.0789512696013797,0.44125679583996225
15,0.43587918567503675,0.26350366920742085,0.5594838687398103
16,0.4334887478533736,0.19167622822036665,0.5149396624076747
17,0.4370561224320754,0.14644204743604938,0.48048501366803464
18,0.4549883033325573,0.1165028201946371,0.4601286311463602
19,0.488794143730507,0.09163395280475718,0.43605890656114826
20,0.06390488998737341,0.05756100613787764,0.4061538898472436
21,0.059590899364099906,0.04990463843916035,0.3982624156841165
22,0.05158780524574627,0.05231795123041818,0.39196551810275293
23,0.04426339132037135,0.0589103850810559,0.3998779663562224
24,0.04173283185589114,0.07098587783300986,0.41007904811325185
25,0.04641777924541465,0.08357388657101425,0.4237890857700116
26,0.36101859188110386,0.4513871474062646,0.6422962434837569
27,0.3991104996847806,0.4026092373443809,0.6329795595623153
28,0.4328725299229199,0.3164117380614132,0.5948964822525683
29,0.45707588097243673,0.22544626009201282,0.5480658320704934
30,0.48599439695488195,0.15128303241335697,0.5020714831155649
31,0.5194566054984142,0.11412924013478158,0.465535145536208
32,0.5605510789132453,0.0824612823062514,0.4377494912836867
33,0.5973573238019774,0.055750617027339126,0.42040192754431044
34,0.6275486545442721,0.04519256363367132,0.4090545518000332
35,0.06889371678420392,0.07489841152634384,0.43394002170053464
36,0.06305871086500739,0.07048783472252844,0.41117517688711314
37,0.05530537088888103,0.07150133149495193,0.40746816554902054
38,0.04733226245300189,0.07787083923955586,0.4124875996452808
39,0.05714696690284674,0.09512142105386501,0.4260411615054302
40,0.07210339362930418,0.11507101793457841,0.4441287556850707
41,0.10354151496550798,0.1578525911225222,0.48507018893875253
42,0.24493701334942344,0.39997288133385467,0.6285660584560551
43,0.30762219317292344,0.4589665735133384,0.6713644265842791
44,0.35908312674020376,0.44214050602986266,0.6714479073359289
45,0.40892749649715826,0.3596508760856829,0.6443637405302646
46,0.4595236884846699,0.2589174063037102,0.5939883666428104
47,0.5250635381063304,0.16482242616981818,0.5355558058612518
48,0.5934902980947351,0.11135386060922187,0.48387077332771455
49,0.629141646197867,0.0741250276985068,0.44350243479042817
50,0.659396931230017,0.04730273840703608,0.4227304403123934
51,0.6727046720177314,0.039990162971915634,0.40356817490014224
52,0.06838700030021826,0.10240602764809684,0.4513689421592413
53,0.0645386475583616,0.099277748068721,0.4326133121775305
54,0.06510010469941563,0.1008035952391567,0.4326518257354079
55,0.08053663595988687,0.11320756235836174,0.44312405541818384
56,0.10382107768879613,0.1363136078527775,0.4643643081957265
57,0.126561848972721,0.18490813367749362,0.506941262260074
58,0.15494338121326298,0.27844496864221546,0.5781171602241166
59,0.1943231865465549,0.39314851412024276,0.65359383085509
60,0.2472028754999948,0.4595274997454271,0.7010180623288917
61,0.301699023638884,0.4760715125488345,0.7101999111237667
62,0.3683199443969393,0.3962400228689596,0.6854634474874385
63,0.4455315276557916,0.2817997863675981,0.6432504529839599
64,0.5363361014690772,0.1801957006616027,0.574182123339322
65,0.6293752816703821,0.1145395568730195,0.5041825130005133
66,0.683814014708609,0.06981126817267316,0.4485344968236928
67,0.7132225937779221,0.04235744943520059,0.4145830661583959
68,0.7218569331501569,0.0301859512188712,0.3922100330526723
69,0.0886598969499409,0.1449332911384544,0.5347402149057662
70,0.0760679233128216,0.13382727945225897,0.5023553894463538
71,0.07754438335710852,0.1202784611637271,0.4694106436926632
72,0.09148871815505226,0.11212937970243571,0.45414752655603474
73,0.11664100988383377,0.11719505956448255,0.45471094328343087
74,0.1369056594529709,0.1385197958049084,0.480759147599373
75,0.1300285548193107,0.20066918633913458,0.5280805719855238
76,0.13166016256087076,0.2964419086137553,0.5984945812985891
77,0.14843573435805585,0.405135960586957,0.6703372231937756
78,0.17900744273213817,0.48859652558326994,0.7191885502281838
79,0.2520424921960363,0.4831463514739064,0.7434809482382182
80,0.33490666571326094,0.39932230954926035,0.7205663920833182
81,0.4244858103239847,0.2876194240012446,0.671523701563276
82,0.5214758688826618,0.19164087621033207,0.5935701265151437
