fid,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR
1,0.07824431295118686,0.047534631913160895,0.05192045920280854
2,0.06172441014587789,0.06542495929276679,0.04365262965875783
3,0.07003063369738388,0.04946132069706795,0.04851918588986298
4,0.08053141135315806,0.04333923682563571,0.054884832510149535
5,0.08590091042841211,0.04741913223288969,0.06377115950202226
6,0.29256385074726843,0.3115997994499822,0.1777370895955722
7,0.26967733362655605,0.2849008038840383,0.14421504097716367
8,0.2582864159040865,0.26016517073835255,0.12058089943619421
9,0.06251686632292482,0.19512957861861016,0.045583546245427514
10,0.06310757895727909,0.11677459871573566,0.04221854105125447
11,0.06755545873715897,0.05885152317479339,0.04701521509362877
12,0.07754427407975394,0.04221820541856912,0.054251421666374186
13,0.0870530068358188,0.03675086662421034,0.06137440580369238
14,0.09286199875184913,0.04977486943779194,0.0789512696013797
15,0.349809730400285,0.40555419955586836,0.26350366920742085
16,0.3118845976260245,0.3619576203418549,0.19167622822036665
17,0.28348609255465285,0.33489881358736584,0.14644204743604938
18,0.25918634764953213,0.31245371425590673,0.1165028201946371
19,0.23718794957831169,0.27375615206200804,0.09163395280475718
20,0.0699456180789299,0.25059477818678777,0.05756100613787764
21,0.06808614640016268,0.21618377875049327,0.04990463843916035
22,0.07041432126383022,0.11372536856476352,0.05231795123041818
23,0.08079677129342373,0.04985344400838486,0.0589103850810559
24,0.09764837777817373,0.037916321761200106,0.07098587783300986
25,0.11155557207824615,0.035702365773101284,0.08357388657101425
26,0.4782257946780839,0.4382830082868114,0.4513871474062646
27,0.4659179835797438,0.4476818826291991,0.4026092373443809
28,0.4116781202567621,0.44330066967494347,0.3164117380614132
29,0.35530000322189825,0.44063446063934575,0.22544626009201282
30,0.3043292305578483,0.4818951390500355,0.15128303241335697
31,0.26399873166238097,0.4488717436231045,0.11412924013478158
32,0.22331846859439589,0.4202471412096208,0.0824612823062514
33,0.17244796395577316,0.39579386534265065,0.055750617027339126
34,0.1441820833039829,0.46138406347237804,0.04519256363367132
35,0.07844486333393265,0.2399507366598259,0.07489841152634384
36,0.0821834673440863,0.1811250859159423,0.07048783472252844
37,0.08537023170265684,0.09054029726323684,0.07150133149495193
38,0.09957970915660865,0.04599437221774416,0.07787083923955586
39,0.12553492559504356,0.04626875810112983,0.09512142105386501
40,0.15238979935232153,0.06001425714272443,0.11507101793457841
41,0.18781313501113966,0.11017117652530266,0.1578525911225222
42,0.4385901153075606,0.29282857642116916,0.39997288133385467
43,0.5119509390455972,0.35561696402324466,0.4589665735133384
44,0.540308988329879,0.3955393905409187,0.44214050602986266
45,0.5030567296369849,0.4193877093921164,0.3596508760856829
46,0.42045217077597963,0.45573623490762166,0.2589174063037102
47,0.3366945270471579,0.5403084813951662,0.16482242616981818
48,0.2682874590105825,0.6449630416896598,0.11135386060922187
49,0.2084587225231691,0.5893522535533566,0.0741250276985068
50,0.1554770335170285,0.575328036926549,0.04730273840703608
51,0.1204356926862265,0.5812741902856612,0.039990162971915634
52,0.1110655812082426,0.12317495364323902,0.10240602764809684
53,0.10882050737222702,0.07415291392916958,0.099277748068721
54,0.12061124522710168,0.05538053409774261,0.1008035952391567
55,0.14930193678516626,0.06317671207483413,0.11320756235836174
56,0.182529940827148,0.10819635220467785,0.1363136078527775
57,0.22384861693911343,0.1414324435650556,0.18490813367749362
58,0.31407114057017077,0.1751113535940609,0.27844496864221546
59,0.45115999932251877,0.20841182596770255,0.39314851412024276
