fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,0.9830678375588773,0.22785173512974946,0.3686019268056756,0.17311888194621008,0.007708932897894134,0.09184561051660141
2,0.9917476990251451,0.22990956260155396,0.35614538833503584,0.1754494796743535,0.04471898093489639,0.09887187624864029
3,0.9906755838371082,0.22882680731121177,0.3621587132261156,0.17434254801678317,0.028763694070337062,0.08979025701117957
4,0.991911388042548,0.22772840112582907,0.3680959120070999,0.17322953545054676,0.008847791477118004,0.07581362684833715
5,0.9877944778744999,0.22661762258029208,0.37395184981570345,0.1721129983668763,0.005447745303723934,0.08721095483217964
6,0.1685141813832713,0.21984230560893298,0.40718775203521457,0.1654536197905671,0.0077977993369463365,0.024706879617497436
7,0.1449830791012781,0.21871453869966456,0.41239101769821324,0.1643651622845646,0.004297724425542102,0.02057885534808061
8,0.11570828875398322,0.21759165409835318,0.4174956398757158,0.1632860477531346,0.0024150796547285952,0.013776794770312815
9,0.9810458356908598,0.23203406657493436,0.3423608018978699,0.17792924146419145,0.08536563804480125,0.16701502181125527
10,0.9880987598515961,0.2309579124265325,0.3487657381820071,0.1768003055784545,0.06883432832574005,0.13904337996861732
11,0.9926901751818589,0.2298562443715432,0.3551034724653158,0.17565800946844798,0.05015377923748538,0.10801622844592004
12,0.9882675602724746,0.22873349755856817,0.36136597509462415,0.17450588183522758,0.028789993243257206,0.09537634232735377
13,0.9906613931107856,0.2275937186834099,0.36754639004522094,0.173347113534967,0.010763603801834758,0.08555755969467475
14,0.988527445113042,0.22644059009700718,0.37363892598891313,0.17218458075493384,0.006131234384749256,0.08928384363212548
15,0.17888376450965365,0.220581045810866,0.40264292198611035,0.16639687530771638,0.02240124791626607,0.0228303916185317
16,0.16641551532631033,0.2194076821111041,0.4081341403570311,0.16525728285776822,0.009813755568023353,0.018106260040524427
17,0.15102696912184319,0.21823846931686275,0.41351899909449363,0.16412704180478935,0.004422781647212042,0.018397651870891183
18,0.12159178913346948,0.2170749747446319,0.41879709779449603,0.1630072499968696,0.0020866902895557093,0.012503658771875073
19,0.09457556247398861,0.215918587050855,0.42396841342980807,0.16189885983659347,0.0007533980760855192,0.009078441210948198
20,0.9532019030792729,0.23310322785011617,0.3339823484774457,0.17937935868470445,0.12106635471073948,0.17752277364501093
21,0.9733888588501863,0.23205262486273337,0.34067174827412844,0.1782467582823742,0.10561749759186856,0.18228403423413173
22,0.9834502743482082,0.2309384198686704,0.3473571554435921,0.17707159793238658,0.08179246150025231,0.14642126986195975
23,0.9854652457892833,0.22979598187455627,0.35397085382253013,0.17588150609736072,0.051061348583998564,0.13730274267152318
24,0.9770658471344763,0.2286303518164211,0.36050363049951284,0.17468050438317925,0.026018098885976695,0.11400075817020544
25,0.9680609850823165,0.22744611305408033,0.3669476629108919,0.1734722152300093,0.013423392238345863,0.11856811176242749
