rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.8676237061727472,0.07457954910090339,0.04199994862645566,0.02644414631368236,0.3082755868313015,0.00986764876697128,0.08923104854376165
1,1.0,1,0.8714429307266018,0.08020183566442465,0.04263742867670271,0.03104468556622901,0.3755495407839407,0.009262431648975986,0.08269349767626814
2,1.0,1,0.914367295645829,0.07674117401066177,0.04188640937750677,0.030910541575624662,0.308009187829737,0.008856207691062871,0.08715369457908495
3,1.0,1,0.9424228457816121,0.08097576726536218,0.04418291154331297,0.027784515341160023,0.37502079382058107,0.008276380637802571,0.09323126542223523
4,1.0,1,0.8816801565071706,0.07414128108943893,0.043512425142814434,0.02890742994128028,0.3440261335746176,0.008521082372302478,0.09198534505536961
5,1.0,1,0.8115693231490135,0.0673924018197023,0.04383735675317486,0.02722016494675274,0.362183010890789,0.009537067697167119,0.09524378116299888
6,1.0,1,0.8250629972331633,0.06836673014639723,0.043162828108603085,0.03172948119458822,0.3699894213381098,0.009408693466198608,0.09165510350773823
7,1.0,1,0.8457670058883242,0.07482311175711927,0.042048918546520146,0.03154271407851853,0.3080309930561808,0.009014726874291255,0.08785810315862673
8,1.0,1,0.9549634259443517,0.0799016878231909,0.04133436583004891,0.03034177285335473,0.3744220654996898,0.008775120654817217,0.0857916039034685
9,1.0,1,0.95687115824854,0.07445116605283444,0.04524304808402948,0.03032678266452163,0.3275240229742581,0.00860210968601624,0.08858669919986158
10,1.0,1,0.8781957409985892,0.07556856912253558,0.04634927632926656,0.028833412596035068,0.3533569593631316,0.00816734301936652,0.08179495772953994
11,1.0,1,0.9028838506290384,0.0684289318752086,0.042072899047268436,0.025670755659239992,0.3405680645825545,0.009461501595726958,0.08254603403893568
12,1.0,1,0.9105157571559587,0.06705855948013172,0.039577319064372334,0.029168547426881266,0.35832944406807443,0.009039203238383885,0.09143009140968213
13,1.0,1,0.8762933909340095,0.08056670732875287,0.041049555328590705,0.02742265190596038,0.3078611575267007,0.008500267340396411,0.09107729839809754
14,1.0,1,0.9295467069829996,0.0736740819298039,0.040611754540579116,0.03166109983804907,0.3397943292548769,0.009837484058677117,0.09706586366334599
15,1.0,1,0.8300115757830043,0.07317218655853472,0.0425307691556435,0.030833061807708704,0.3719074462384195,0.009726047447002333,0.08214208901491957
16,2.0,1,0.8416479838011117,0.0593052279413066,0.032530236335512296,0.03769303907712014,0.309383032875145,0.040097567478445076,0.10549657550048382
17,2.0,1,0.8842410941621803,0.053778861103236326,0.032720836436502615,0.043345288370236046,0.36121426824209596,0.03997517443689355,0.09239024439314333
18,2.0,1,0.853556083844566,0.05770958896604555,0.03022989435612432,0.03578111307621865,0.3553498894475435,0.0453242851290427,0.09950476631011747
19,2.0,1,0.8713329803377208,0.058837353068952054,0.03192665113586908,0.03645110404636759,0.342081111916759,0.04296619289167091,0.11090760341438922
20,2.0,1,0.9915282019108861,0.059480012315751014,0.03169782734355217,0.038469062258883725,0.3115715216707244,0.039057730078067746,0.09541057396827128
21,2.0,1,0.9937446961415782,0.05785463864104148,0.031235330209771275,0.03528364279999284,0.34668450229427417,0.04006015216882137,0.1092973697246385
22,2.0,1,0.981138724046617,0.05252561282974704,0.03475134657787151,0.04365439896911078,0.3642730262096549,0.04430911845022375,0.10014403268737994
23,2.0,1,0.8145918989931773,0.0573352926747719,0.030234271330345376,0.03800205950924568,0.3728998081546338,0.0406330747324871,0.09209174802723465
24,2.0,1,0.9029806410417969,0.06030868344655831,0.031394696967667876,0.04030937433070686,0.3324551729887055,0.042824507065814955,0.10814515331058251
25,2.0,1,0.8575006521563093,0.05861314384979342,0.03435132936422331,0.03715969188461191,0.30681647846356785,0.04068586947883164,0.10496250969567684
26,2.0,1,0.9948765838301662,0.05829530657158348,0.0341262742336545,0.035668132031206466,0.32922291553016486,0.04142817836773385,0.10597087064256715
27,2.0,1,0.860192799360349,0.0560161226315967,0.03280157657054097,0.041870995495914706,0.33303997901101207,0.040565437493867734,0.10977457937460829
28,2.0,1,0.8538737507663968,0.05519169805409173,0.029080320301730248,0.03643532552903603,0.35804696541521613,0.040177735115492635,0.10721029954205748
29,2.0,1,0.9487018468678798,0.060979677516950305,0.030359113817798884,0.03968156253886077,0.3637276741349395,0.040098150039222985,0.1104276992581763
30,2.0,1,0.8248960046365493,0.059730982350383544,0.03342755029560888,0.03979807512901761,0.31062188102592436,0.03995513206318621,0.10858100513292203
31,2.0,1,0.8999860192744953,0.0545621576385148,0.03230894557938756,0.03812991823961471,0.31566305822332436,0.04249682319829356,0.09852559471447836
32,2.0,1,0.9859296014333944,0.05207883466281032,0.0339237800544767,0.043576026924346575,0.36828410789514054,0.04179537326074061,0.10307219637517781
33,2.0,1,0.9335365800606518,0.05475812846816204,0.02943265630357885,0.03613713602804859,0.3289371350645735,0.042042677584770635,0.1107129840068707
34,3.0,1,0.9250248767597021,0.06828685259612477,0.03804313373619296,0.03494718829772767,0.3760723965959217,0.02828287073778346,0.08188350095170163
35,3.0,1,0.851100779072699,0.0647919110644841,0.04199383704863533,0.02925207822973465,0.3657498277626963,0.0313259951981266,0.08529952767107198
