rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA,ROADS_SURR
0,1.0,1,0.048013635759589876,0.039920538076844446,0.3275731924557425
1,1.0,1,0.043102419960709196,0.036526503094044684,0.33567335978269763
2,1.0,1,0.04446479272786174,0.039661270049345325,0.3932240443255456
3,1.0,1,0.0447422362773231,0.03684305946032166,0.4080610257318728
4,1.0,1,0.046471776167806136,0.03439845332661344,0.3675508878904376
5,1.0,1,0.04598067667693885,0.032938610438207845,0.3621695217634153
6,1.0,1,0.048122225036668825,0.03656579908508179,0.34923112002215767
7,1.0,1,0.04369878204723219,0.03631811799444593,0.37078812265062056
8,2.0,1,0.035474954040766914,0.05017842252033122,0.3569971807973059
9,2.0,1,0.03814589005403665,0.054814013572581886,0.313369510135328
10,2.0,1,0.03694123035312365,0.05139400460937889,0.36169646628638663
11,2.0,1,0.03460638413957876,0.05784477517060815,0.32433901710839297
12,2.0,1,0.033457675000024084,0.05559877898739874,0.360336991456478
13,2.0,1,0.035174866568266946,0.05921968515238705,0.3107112678644565
14,2.0,1,0.03525931699288673,0.052069164935024156,0.3334609452925274
15,2.0,1,0.035236672264612016,0.0591015526484794,0.3703864854014655
16,2.0,1,0.03911534932993672,0.060700979784951856,0.3501235417941887
17,3.0,1,0.04285088353977988,0.03633901621182406,0.3960856351915326
18,3.0,1,0.03758327101183759,0.03563966725254298,0.3584622671327484
19,3.0,1,0.03944159066042824,0.03927494667224738,0.389565270507233
20,3.0,1,0.043990339398245024,0.03622560333004054,0.33519203018419635
21,3.0,1,0.04221870047352064,0.036966704366256715,0.34602878783712027
22,3.0,1,0.044301470295472954,0.0393163214859901,0.3616069735713188
23,3.0,1,0.045671328754460346,0.0369402740395295,0.3362980118065459
24,3.0,1,0.041926106444840044,0.03538824421448923,0.36812824841929304
25,3.0,1,0.04108939830300342,0.03683442614742113,0.35491180370449626
26,4.0,1,0.051395819632404104,0.03135000040371837,0.36201593475455623
27,4.0,1,0.05308124602884515,0.03448035268039869,0.41331571801591405
28,4.0,1,0.04475850881061672,0.03320596003491406,0.34274601863911286
29,4.0,1,0.044122757426564005,0.032419188970493784,0.33145702199107885
30,4.0,1,0.053621874404062395,0.02792006372479321,0.32316899760458795
31,4.0,1,0.049519673138238705,0.029499072271299793,0.3661945103471172
32,4.0,1,0.052476405179315164,0.02905971994757959,0.40660885638807803
33,4.0,1,0.045075490287008406,0.02971595512081928,0.36506682908057414
34,4.0,1,0.05190408456493541,0.035676112060716095,0.3816113507933184
35,5.0,1,0.05188454909901199,0.04029687062385119,0.39320367237373843
36,5.0,1,0.052553615392346965,0.03489187210340388,0.36549155465124655
37,5.0,1,0.05800430494569296,0.03770286351869343,0.40066414034221287
38,5.0,1,0.05743905584729956,0.03531044373968657,0.34791674345042906
39,5.0,1,0.058978697202279,0.03873691597064554,0.38128930197189076
40,5.0,1,0.055089665790341046,0.03966547728111237,0.3492061386346566
41,5.0,1,0.05235498901729845,0.03367475941339567,0.4108155010275772
42,5.0,1,0.05057620304819446,0.0378896370892597,0.3715002050446181
43,5.0,1,0.05484092226827859,0.04042037638474245,0.3850105440776153
44,6.0,1,0.16539111220345606,0.2879834071551751,0.4960763350321302
