rfuid,fid,Target,AGRI_AREA_SURR,FARMS_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.912213668071217,0.0033126967194399637,0.6085488171506422,0.027003908298161624,0.007795553352261302,0.08975479001454639
1,1.0,1,0.8554789535501574,0.001904210748654494,0.8592851044915994,0.02306785324427279,0.008068079309270648,0.09499942008281208
2,1.0,1,0.9055253599842064,0.004863909895076536,0.5623280466097204,0.02284851856162478,0.007878683227536248,0.08730486017299652
3,1.0,1,0.835121339451068,0.003222068619295996,0.5511556921714433,0.025327207341769967,0.007028534191496572,0.09369860063516727
4,1.0,1,0.9809752433654714,0.003922701502594029,0.8037694288155192,0.026239752547537513,0.008264377059186622,0.08686592910878489
5,1.0,1,0.9434271318439915,0.0032465447970970395,0.8256791066601586,0.026252670518385805,0.007412885959040119,0.08240797280192194
6,1.0,1,0.8730098500225988,0.004150730143718314,0.6884821887507914,0.022133424647190775,0.008369588290549335,0.08515930536046619
7,1.0,1,0.9228288282629998,0.004726912505604045,0.8614466830737347,0.022250653970521964,0.007139184169629867,0.08051285840152048
8,1.0,1,0.8161459015412527,0.0032553381849424537,0.5638592550350173,0.02609853518173917,0.007226529957355952,0.09417100497285154
9,1.0,1,0.9376519683796526,0.002370275708922083,0.8268663210804437,0.02300583574056772,0.006998847630577435,0.0912058557342278
10,1.0,1,0.8368237902870833,0.0037417230255221445,0.7485189857153185,0.023542187774189607,0.008235290456065296,0.08311100242365725
11,1.0,1,0.905238341969632,0.003547505579184843,0.5886302028776761,0.02678693364855986,0.006933812207333558,0.082027383372278
12,1.0,1,0.8489071153952539,0.0033342460967924928,0.5487464299589843,0.023477622990168152,0.008257392827600834,0.09233803992422755
13,1.0,1,0.943592554588116,0.004744037548595847,0.5996108469099825,0.028378100474022727,0.008394760258633737,0.0953964665293842
14,1.0,1,0.8220313080079479,0.002776254772191921,0.5876951168948924,0.026759530550120453,0.007968281721449555,0.09133128902039048
15,1.0,1,0.81241992187877,0.0034445259246211287,0.5612009912954091,0.027166955327575133,0.006985055649042196,0.08153147380753857
16,2.0,1,0.9468122918585512,0.020690929351119724,0.8416902206887472,0.035137490525112905,0.04782744541980399,0.08968267362226669
17,2.0,1,0.9206740789470556,0.021359168287995625,0.7063529017640688,0.035168904004394194,0.04186672938760376,0.10577767726106799
18,2.0,1,0.8616908536231683,0.023167369009432316,0.6412291803119635,0.034371311181836575,0.04460937894522008,0.09619649997457157
19,2.0,1,0.9796341118949495,0.021294489188859803,0.6986925521415587,0.03633359478640776,0.04770126896293724,0.09868690752789379
20,2.0,1,0.8477515881911452,0.025860686100760033,0.692373311003711,0.03450236846532737,0.044512535697013945,0.09865472188074646
21,2.0,1,0.8815520739984147,0.02782833462149831,0.6898898657902175,0.03500294409056835,0.044001619073284634,0.09581647626833265
22,2.0,1,0.9142526020578559,0.026201301303026506,0.7205161996449408,0.035854867658191715,0.04424991857277328,0.10274768099836121
23,2.0,1,0.8942812197429405,0.024154428355372605,0.7795395975135259,0.03816256063514926,0.04410012648012075,0.09653163917475173
24,2.0,1,0.8396798536060188,0.026743326417999414,0.6309005970416112,0.03567344417755467,0.042681499917551144,0.09482091156482246
25,2.0,1,0.9489197964808922,0.025409799877493356,0.7748534706310348,0.04053516043038679,0.04078498433894798,0.08827446132038647
26,2.0,1,0.9241958162471711,0.02397379036670353,0.8225436996512692,0.038739570622231975,0.04261488430955367,0.09748021440142238
27,2.0,1,0.8444925839535036,0.02655734101167982,0.657689978177036,0.03711987383955949,0.04229844428750726,0.09521676214257525
28,2.0,1,0.9809810382500685,0.02255798941523543,0.749049487828275,0.0385413288876354,0.047103671255142844,0.09184726522962701
29,2.0,1,0.9256926904984948,0.020925688812130708,0.5687825338203162,0.033762764897725735,0.04226512104274924,0.09442950228632015
30,2.0,1,0.9923387646058578,0.027875725505447004,0.8651135437656204,0.036410899339848334,0.042748318146925694,0.10442694032366934
31,2.0,1,0.9704340297675487,0.022777348772888558,0.7619911720291729,0.03513838670868276,0.04710798204130229,0.0996503356300217
32,2.0,1,0.8763632827653384,0.026866802889701297,0.6015608372947562,0.03922727233467521,0.04346005864727156,0.0884950426706576
33,2.0,1,0.9049790492282948,0.0234216021391898,0.6268873173220396,0.03369041425794766,0.042323268210976206,0.10516182508504267
34,3.0,1,0.8571433966349263,0.011005276244074496,0.7636573894132873,0.027007719746678472,0.02721221219947832,0.08483946536921112
35,3.0,1,0.8683969883646185,0.010478017878296664,0.747532305743976,0.03301283602160407,0.028523049630687906,0.08259844586803901
36,3.0,1,0.8920379856844631,0.009199005999147412,0.5665797176861622,0.03346472433219681,0.02751939226179145,0.08761710787397428
37,3.0,1,0.9945014153406868,0.007142105557928613,0.6291429459855363,0.03186268318512316,0.02570433122041795,0.09533782624069116
38,3.0,1,0.8375507785520144,0.008889655772289635,0.734042503154569,0.03217481377719446,0.02697414714453862,0.08511402892680008
39,3.0,1,0.9908625314314721,0.010112051026676417,0.8282492869202635,0.03304889537668963,0.028101748510310824,0.07914832951584065
40,3.0,1,0.8665988657147121,0.010243657336324137,0.7981344708846317,0.029525592816408097,0.027702136668340108,0.08552416033209762
41,3.0,1,0.8941764937486099,0.00895072179023939,0.6148936533583425,0.028789508141647657,0.031092061116167868,0.09413795261451867
42,3.0,1,1.0,0.011204201094982564,0.5695290298366649,0.033136186403535876,0.02774285377125524,0.08981917599688045
43,3.0,1,0.8454594898554695,0.010735058447770673,0.764577304119132,0.030746827575049207,0.030823427133910723,0.08028373958000627
44,3.0,1,0.9062587970024455,0.00791325556918781,0.8675746068606128,0.02852249262974279,0.026764763253121347,0.08824474855093742
45,3.0,1,0.8907294042637308,0.01060446491699077,0.5613183202105189,0.02733563652217834,0.026624357405179867,0.08644861901021707
46,3.0,1,0.9532546888605111,0.007956591984420445,0.6827851022083226,0.029019449085556998,0.0305057939894206,0.086013623564771
47,3.0,1,0.8889519777794993,0.011368490568384224,0.7992984703535644,0.03338073616107134,0.031235301578128843,0.0794987431499378
48,3.0,1,0.8683691624135516,0.00784422373542512,0.8652363104693253,0.028456759345096234,0.030396850664840148,0.08191552150999765
49,3.0,1,0.8536272421123665,0.011359811236832468,0.568165814561222,0.028237135417584675,0.02901371499670338,0.0904513036838555
50,3.0,1,0.840649545280437,0.011033506897190085,0.666503507507846,0.02898140985828997,0.02781887267283211,0.08758812164358735
51,4.0,1,0.8778001211116374,0.004355608550183454,0.8049870317317649,0.02029251565873942,0.008143888527030367,0.07786191992346361
52,4.0,1,0.8450730680487701,0.002312038858448027,0.6468607986393614,0.02473404247187876,0.008108959971342408,0.07893799659121807
53,4.0,1,0.8830039886418602,0.00264909937314862,0.7461508684166225,0.023894246859556805,0.007971236570487074,0.0921486226422213
