rfuid,fid,Target,AGRI_AREA_SURR,FARMS_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.9988361918098877,0.003579846630340562,0.6923254882829182,0.02607887208586609,0.008171381849197194,0.08078850796412657
1,1.0,1,0.9262284372690108,0.0030847769254698978,0.7085991558614302,0.0227628965846541,0.007742210172557433,0.0826083047511776
2,1.0,1,0.8967754902323604,0.0032865733277099383,0.5795653062514703,0.027608143402596933,0.007983024089253613,0.09279180169643804
3,1.0,1,0.890257608642922,0.0031132144216037797,0.8111255120429463,0.023456321578226327,0.007353541390340061,0.08363811883470182
4,1.0,1,0.845365910442619,0.004455315716005045,0.8024941055728935,0.02572319938426438,0.007790261983778628,0.09561686977712269
5,1.0,1,0.9498996153654524,0.0042388650502957195,0.8219143612054618,0.02301438915658365,0.006868153443039795,0.08142752115822874
6,1.0,1,0.9686939011137136,0.004013084323581858,0.7013492700869239,0.02550953285017932,0.007905618123536962,0.09480851655437658
7,1.0,1,0.9674664926839157,0.0018848833722535522,0.8662074779732535,0.02694679338404273,0.007457305255433052,0.09066026750730573
8,1.0,1,0.9575515122661286,0.0037802999349475074,0.8099783139325126,0.024067996815884937,0.008284950146983746,0.08324547594754748
9,1.0,1,0.9344514062046265,0.0022112939800702203,0.7529080776741567,0.023606161544870254,0.007230258770581726,0.0966187352075343
10,1.0,1,0.9790262929960694,0.004503655892847056,0.8254860826111942,0.02438101908616288,0.007550419040003807,0.09611358503694306
11,1.0,1,0.9158523492822818,0.003775650527733517,0.740258681554241,0.028292720391148905,0.008129289405865273,0.08964903102458971
12,1.0,1,0.9581617913505424,0.0031523305552153334,0.7711986944326535,0.026441435386269144,0.0075930832040386805,0.08050120637367543
13,1.0,1,0.8169277289712044,0.004482933812228172,0.5460573612148347,0.027929020943089626,0.007943514096692316,0.08553178514022611
14,1.0,1,0.9349637936285781,0.0017745692165423244,0.5427369132320486,0.028435992834952663,0.0073955077163182815,0.07979085732646653
15,1.0,1,0.8961174724190628,0.002464262645282219,0.847885360211474,0.023867895802168814,0.007431208924522176,0.09065148778268887
16,2.0,1,0.8915550266586116,0.026190831512854774,0.8379877159734006,0.039552461978990476,0.040997617186135024,0.08883287727113741
17,2.0,1,0.8400702595020966,0.027264190600175108,0.6971197162565398,0.033700113642183276,0.04125272739454356,0.10176049363544304
18,2.0,1,0.8796938555091366,0.02714215358407596,0.8526931143815303,0.03212640213039289,0.040493163318881864,0.09553149811602116
19,2.0,1,0.8699531402805771,0.02125120275417175,0.7497741096459647,0.033053749324657274,0.04691522455589555,0.09588885246329061
20,2.0,1,0.8758883433804613,0.025904364655332277,0.66284732495224,0.03936741341890534,0.04443240138499728,0.09347670858359601
21,2.0,1,0.9501957673404996,0.024024450962410043,0.5905845960433933,0.039020843556391765,0.04523166710321443,0.08873397300486222
22,2.0,1,0.9823480614946699,0.026326242424248202,0.6581490698253137,0.03778975999020208,0.04797228485371895,0.09095538141318235
23,2.0,1,0.8532042684826149,0.022275387503419453,0.8457553562493808,0.03433575755441613,0.0450096696509299,0.09114004491817461
24,2.0,1,0.9626634075708818,0.023366426168805934,0.8145392203559858,0.039626705685309335,0.04667300631141667,0.09083637727943948
25,2.0,1,0.9502284673503146,0.022493129210247896,0.6790472164867538,0.03342643590575599,0.047582977572616904,0.10636781181589096
26,2.0,1,0.9435652271735316,0.022301105026725554,0.7219468862516403,0.0405429165656484,0.047352259006251216,0.10236894194537265
27,2.0,1,0.9597403597231873,0.02637327808532674,0.8523231867884378,0.0332480149632933,0.04039635575590859,0.09201088880445178
28,2.0,1,0.8707279963606726,0.02261907933980919,0.6379907627878951,0.03822294840425685,0.04228903099168528,0.10411790697772076
29,2.0,1,0.9882613316927445,0.021683839478098578,0.5982409673576238,0.03637505209412167,0.04423672998838667,0.08769457305901183
