fid,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
1,0.9862813692145932,0.03413287690726361,0.04545071670837935,0.007708932897894134,0.09058071167584807,0.016433738119969173
2,0.9914838772813028,0.045889530359288444,0.0346257784465487,0.04471898093489639,0.10022009483477815,0.036902248781766775
3,0.9903188674333331,0.03930920228563016,0.04038629242305123,0.028763694070337062,0.08924500431041509,0.022174088307847718
4,0.9883158915600695,0.031774998596450804,0.047812644064605454,0.008847791477118004,0.0869381230587369,0.016527093835888202
5,0.9868971740681414,0.028466451204122067,0.052247268777696955,0.005447745303723934,0.08955776495448578,0.017730815976696263
6,0.16203994136965474,0.3913401432704905,0.14890405415809269,0.0077977993369463365,0.022207356858488604,0.4071575867991721
7,0.14494749622295922,0.3511112436168934,0.11965828702154051,0.004297724425542102,0.02013478196511949,0.3923174760473965
8,0.12362976254473523,0.3747419422816106,0.1089586339818689,0.0024150796547285952,0.015188853892438573,0.4026418898831718
9,0.9796560764705363,0.05881602377120999,0.03497205884362065,0.08536563804480125,0.16528655637083384,0.09575810758684017
10,0.9882668076101708,0.05024782594719451,0.03582266904940562,0.06883432832574005,0.13893018884654104,0.06838379051257427
11,0.9898470832622028,0.04355276545490055,0.04041701701125326,0.05015377923748538,0.11143367026225731,0.04074067255454601
12,0.9885496989795007,0.036287621741969193,0.049221162325042186,0.028789993243257206,0.09629673033608506,0.025615270575120672
13,0.9880425961463881,0.02906902005348716,0.056132882922861484,0.010763603801834758,0.08920047424228196,0.020537477825068335
14,0.9861318076818104,0.025087883747785724,0.05914634314812516,0.006131234384749256,0.08979403575365294,0.021687709461624072
15,0.17997781938310475,0.4492789341231987,0.24005787825957636,0.02240124791626607,0.02339896326285283,0.38921868909278995
16,0.16869523859183247,0.4272966476993084,0.1718207522428887,0.009813755568023353,0.021859222936825063,0.43517184123806274
17,0.14768436956590936,0.4108246866805375,0.1326656079938315,0.004422781647212042,0.0184690506469928,0.4539226226947685
18,0.11894994362665476,0.4203452577103011,0.10883081190249305,0.0020866902895557093,0.013430318419058646,0.4415828247419092
19,0.09507368926595451,0.4524471155448523,0.08887834495776945,0.0007533980760855192,0.00914096008821464,0.43073957732084633
20,0.9581415343056084,0.07019455930075273,0.044680459701609686,0.12106635471073948,0.1745812725244625,0.10126955056647136
21,0.9690385765896247,0.06318169290707347,0.040725072593529275,0.10561749759186856,0.17046629870554697,0.09442974323056583
22,0.982124736977901,0.050461090892463416,0.04225168546782509,0.08179246150025231,0.15411516313599977,0.07069401222948991
23,0.9824084529470452,0.041784457169933245,0.05379744907825949,0.051061348583998564,0.13575791986303323,0.04719312968051209
24,0.9753107651664247,0.03614433059397073,0.07064911166634345,0.026018098885976695,0.12431337045235659,0.0347970485923196
25,0.959967837000917,0.03764512160728007,0.08255128875742802,0.013423392238345863,0.11944522099277277,0.03389811236002069
26,0.2733874975102364,0.38739236463732835,0.47871849607778105,0.11929777453251779,0.07299783239893322,0.17316350954112186
27,0.2164865893475473,0.4296494386394976,0.4240339741212123,0.07174770540493225,0.039883896522222524,0.2722998229604641
28,0.18856832023724593,0.4535257606803096,0.3094184149341886,0.030949560434320792,0.02455586581819817,0.3890746460789254
29,0.1724552666133706,0.46257082461742727,0.21006165896104526,0.011180294742339045,0.02075128535944475,0.4715458368865551
30,0.14945839657596946,0.4866815910557682,0.1457201233804024,0.004527982689364106,0.017355304056422407,0.5026580097153661
31,0.11693114075243587,0.5194118543645362,0.10954282115300619,0.0016342720983691084,0.012411783985917484,0.49355137859817905
32,0.08669316289493414,0.5486325273906876,0.07793620832053749,0.00017763490790717655,0.00801231913247138,0.4522121234950723
33,0.06094801051459629,0.5761211897555076,0.04701948634569808,0.0,0.004017995447960517,0.36778168958841023
34,0.050124317524559314,0.6058382879731476,0.03312273453676981,0.0,0.0022287582369625537,0.31791823483424847
35,0.9405484112683987,0.07789834497973386,0.05692311758185494,0.13269207868823768,0.1828162715919508,0.10352565756375554
36,0.9531516130251277,0.06625408779170043,0.06056000423726132,0.11774144000436253,0.18124124148172127,0.09141522783096279
37,0.9647443647107926,0.053899541737994765,0.06291271789592201,0.08415825042178418,0.17687027754974263,0.07351622338931758
38,0.9632034404057473,0.04611886055145346,0.07489137126007987,0.04819983625517514,0.17538091234750736,0.05738243986197992
39,0.9420971290207947,0.04666083832044997,0.09647754242136129,0.024703152447101476,0.17237204607338846,0.048783503131897714
40,0.8955795584247163,0.06429433548298587,0.11711884646296344,0.02044601935563275,0.16925002994768945,0.054462121353113506
41,0.8231257850696586,0.09814475056427158,0.144843170689215,0.04039127525106123,0.17783572592478514,0.07623761881437911
42,0.4345276117344376,0.2686218273049677,0.3997756570284757,0.1847373651698867,0.15175156356239575,0.13785868707272417
43,0.3223237440476246,0.3212211012191607,0.4689802954417284,0.15282439943010648,0.09741818981164227,0.18780511133050173
44,0.2430258839268895,0.37100815857459346,0.4652016927514732,0.08819008530691134,0.05045134408342045,0.29202246118249625
45,0.20187637398228783,0.41022464709165507,0.3710657884400388,0.03532825455649659,0.0280527511901176,0.4260285406163596
46,0.18018956462717464,0.45811513130353176,0.2484040641269457,0.012130968016880022,0.024221666896090763,0.5036531658193416
47,0.15113345418099694,0.5289197833682703,0.15951549899132306,0.004263169481147134,0.019622307025821992,0.5131458777637543
48,0.11259457473059423,0.6021823821854485,0.10785908509436727,0.001126883144406986,0.012955588974598855,0.48766376092830543
49,0.07951329272168792,0.6465490699251926,0.06779730322780567,9.393155426920584e-05,0.007572545228630399,0.44416874584017624
50,0.05608698664113436,0.6535510551551573,0.038768275726653596,0.0,0.0032546923891598038,0.3637827334992689
51,0.042632860337010026,0.6552898185776878,0.02259448938775576,0.0,0.0008384237700957458,0.28976495484215925
52,0.9216169150656257,0.0699622920888495,0.10648071402770368,0.14470409628628067,0.19141389056761593,0.08950138683169802
53,0.9338977918450043,0.06250931109977849,0.09813597474865461,0.09165130318500282,0.1995859156244264,0.08320756268846621
54,0.9248881460922055,0.06172904965464132,0.09836820145787747,0.04463583279097525,0.20884795065576542,0.07454574288214967
55,0.8857925943044387,0.07649541630512012,0.11354864794104959,0.027855905437595686,0.21067358398022895,0.06733486053808874
