rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA,ROADS_SURR
0,1.0,1,0.04290069467934607,0.03566360188402184,0.3646785148060236
1,1.0,1,0.046636360639747715,0.031627299819974315,0.3363690475197967
2,1.0,1,0.048951829084711115,0.03270011433667483,0.33698894730577283
3,1.0,1,0.04891361042432477,0.03616097214712494,0.36713790478048214
4,1.0,1,0.05085924646630735,0.03843480333717585,0.3314410838380945
5,1.0,1,0.04778519578562937,0.033248623390714695,0.32413816931845413
6,1.0,1,0.04875275791826403,0.03744598821672388,0.35666859898049075
7,1.0,1,0.04981310398589929,0.03483943874913895,0.3523403870963598
8,1.0,1,0.05002726804319445,0.03670370970226333,0.38529872505245727
9,2.0,1,0.03584082943797287,0.05214472618571387,0.3107552988677015
10,2.0,1,0.035946746180689076,0.060511260292652976,0.36165077646230076
11,2.0,1,0.03377078083836213,0.05193180838952117,0.3710405492135109
12,2.0,1,0.03763083444270565,0.053825134145333915,0.35901930291952344
13,2.0,1,0.033435023197460015,0.05964063323537857,0.35818619253743
14,2.0,1,0.03529680789315859,0.06067322653659917,0.37686987897756125
15,2.0,1,0.03612446895969367,0.05784028552727675,0.3230519723481657
16,2.0,1,0.03472258055982288,0.05897225681528033,0.3772264844465723
17,2.0,1,0.03542794901075548,0.059231851123908615,0.373775712510156
18,3.0,1,0.04319873813845437,0.04086110922434756,0.35586180382468374
19,3.0,1,0.044114010829881506,0.03521400161749206,0.3238483189801956
20,3.0,1,0.04198278449297152,0.03744718602995055,0.3051354891671667
21,3.0,1,0.045571033770522615,0.042880794091729686,0.3466991149987463
22,3.0,1,0.040280749706449716,0.035432451628109034,0.31039623030886293
23,3.0,1,0.042399685536729466,0.03774555311189412,0.35610242793572977
24,3.0,1,0.03968493815464236,0.04086005162562039,0.36150159087388367
25,3.0,1,0.03920799832673513,0.03507240869869349,0.30653294135735604
26,3.0,1,0.04137071421836355,0.040561192485777456,0.3514676431913531
27,4.0,1,0.05219834315894923,0.030340449569255027,0.31705153835096006
28,4.0,1,0.04884972205904001,0.0321261981440601,0.38788222866452937
29,4.0,1,0.05352823010701894,0.03182173547742068,0.37024942130169386
30,4.0,1,0.05252389930328064,0.030523512264005723,0.3742457893081494
31,4.0,1,0.05330286628817609,0.02994002647981719,0.3634260674434007
32,4.0,1,0.050043669210742645,0.02968830972647393,0.3146096224185646
33,4.0,1,0.05038141742408604,0.03181645197737484,0.3146570591764363
34,4.0,1,0.050657947726201816,0.033318656032358236,0.3344251026643805
35,4.0,1,0.04471963212857993,0.028502778719671353,0.37956358520640887
36,4.0,1,0.05178729371963619,0.02848243574623101,0.3299066210484067
37,5.0,1,0.05141701046180885,0.04037938826047915,0.35329447299094163
38,5.0,1,0.04923638414158784,0.03531039408524237,0.3265442864437283
39,5.0,1,0.05407581220455836,0.03456078042284054,0.37510605472177155
40,5.0,1,0.05775890726837672,0.03979191027117209,0.3906635334304682
41,5.0,1,0.049448863774681724,0.042332580836140915,0.3532494401613135
42,5.0,1,0.056807024169888434,0.0369635183500928,0.3496038193070944
43,5.0,1,0.05665568538648676,0.042020363950512375,0.31472395833309486
44,5.0,1,0.05320568131558238,0.034821578639610856,0.3170884535008117
45,5.0,1,0.05623407258733239,0.03932462527398399,0.38709520328022284
46,5.0,1,0.05523710187958797,0.034403336567876905,0.32888914721627266
47,6.0,1,0.177551960503983,0.27591015090025534,0.4325846499028561
48,6.0,1,0.1464590122890136,0.312419847788978,0.3868989763602698
49,6.0,1,0.1658170783187801,0.28693007665249465,0.4331072333855687
50,6.0,1,0.17348474709872133,0.28637581816768326,0.41570568365932425
51,6.0,1,0.14867589015490465,0.2802665984455516,0.47831065057768696
52,7.0,1,0.13375319972446287,0.24731057179972002,0.38179802326828877
53,7.0,1,0.1296959455413365,0.25259358175865243,0.40902590257168014
54,7.0,1,0.1441384384374831,0.23933308765842054,0.37945094928160683
55,7.0,1,0.13830408238313893,0.2558381395296752,0.4017785334925643
56,8.0,1,0.1100186935664631,0.23985912962509115,0.36097741375631864
57,8.0,1,0.10807923071680126,0.24260955895700398,0.4063414246560535
58,9.0,1,0.03611444900262004,0.15619725113805286,0.33619746298416553
59,9.0,1,0.03768806666921955,0.17835863941541225,0.29404544178707803
60,9.0,1,0.03285299105149842,0.1882792604695813,0.357663999962003
61,9.0,1,0.03464816085640864,0.1741620073599304,0.331811609280533
62,9.0,1,0.03750988204778852,0.17443850615580794,0.3099990918108387
63,9.0,1,0.03521829369990981,0.16935332484028945,0.3585714600813028
64,9.0,1,0.038588865455669294,0.16375942865982798,0.3011075702021647
65,9.0,1,0.03947399847705033,0.18388047740905153,0.30234957131100443
66,9.0,1,0.03362283859618732,0.1546389051611747,0.35425144269840825
67,10.0,1,0.03558853696241753,0.10876836765070197,0.35219480400506753
68,10.0,1,0.03702341401204904,0.10827605392073796,0.31957762957215075
69,10.0,1,0.038814137079779217,0.10363544180108869,0.30170759447253404
