fid,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,0.0475346319131609,0.04619358299565549,0.43310111004042456
2,0.06765290688281062,0.03669096601925013,0.41785529298895085
3,0.05075856503057799,0.04114898125585094,0.42553923483526035
4,0.043408109958096616,0.04797101053563338,0.4351068477312482
5,0.050154728962913966,0.05303054329644009,0.4587394052939348
6,0.3174396303473046,0.1570640325622637,0.5292169438534429
7,0.29154537613367937,0.12761367016733355,0.5150948430830422
8,0.26712168929648045,0.11539341506428322,0.49887196707395354
9,0.19121867702392686,0.03600220445259425,0.4259570626168588
10,0.12233701819666283,0.03720955675760509,0.4233848874044699
11,0.05913568827146674,0.04251930427503434,0.41966448822539715
12,0.04253201061794389,0.0505109555316549,0.4276535431021682
13,0.03904406351785083,0.056395772360079074,0.44170558577803515
14,0.0497748694377925,0.0601708426576899,0.4675114995566793
15,0.4012649692047587,0.250501659674241,0.5668203144814966
16,0.3619576203418553,0.17918243752194404,0.5449922122767491
17,0.3348988135873669,0.13770199204031972,0.5205067596336166
18,0.3124537142559072,0.11355155746742204,0.5018562156570933
19,0.30724623056366807,0.09452768663917552,0.4809552652725032
20,0.2505947781867849,0.04621230368224155,0.4440981739824742
21,0.19786206708554455,0.041979654270808145,0.43371769349262
22,0.11754364202536838,0.043813654866177255,0.42932919595028723
23,0.04985344400838486,0.05552960156911104,0.4264919432880535
24,0.03791632176120059,0.07099082811492044,0.43080286191542294
25,0.035702365773101284,0.08375090540678107,0.4489312876147598
26,0.40797031076365703,0.4900594484164602,0.6083515109389022
27,0.44768188262919817,0.4278494879321602,0.6093318697371595
28,0.4370097651546277,0.31693622700535845,0.5905330723562521
29,0.4373951136942915,0.21778921850799038,0.5607714210984484
30,0.4522015010698204,0.14815233753853604,0.5305787289188686
31,0.4443136772919888,0.11218766209859656,0.5039186420193337
32,0.4252225517254974,0.08032236918682044,0.47819269396290753
33,0.43693591390685016,0.04849758965983924,0.4588705893729271
34,0.4824193021353501,0.03460149503322848,0.4398586878039993
35,0.2143242640516082,0.05948695819778222,0.4592452076543615
36,0.18112508591594173,0.06325084529739147,0.44862392939154744
37,0.09054029726324032,0.06620150117915552,0.4387699405642241
38,0.0488212509087771,0.07732011346435222,0.43383754234702626
39,0.04626875810113016,0.09584886096605488,0.44083496871591077
40,0.06358140621088788,0.11791397764688825,0.4583470990085342
41,0.11017117652530266,0.1524494852633337,0.49996480911874824
42,0.29282857642116833,0.41645898463208814,0.6094421782909425
43,0.3505089981483166,0.47515417750915473,0.6432598892957665
44,0.3901526932070556,0.46132325928471385,0.6460009889546412
45,0.41938770939211495,0.3743479017787263,0.6218151286454853
46,0.45850812495198384,0.25803139187343044,0.5826705540637217
47,0.5324434491559102,0.1634880391821539,0.541038080668829
48,0.584979736619863,0.11122200658824963,0.5037599588966013
49,0.5893522535533562,0.06965153787795711,0.4765345469165393
50,0.5792239328861355,0.0403439236577682,0.450438497057793
51,0.5812741902856616,0.024471295472615312,0.4290373249735287
52,0.12317495364323902,0.108338439338551,0.46902549047185
53,0.07415291392917009,0.09874544734058478,0.4575651262682329
54,0.061838414946748056,0.10208450697669266,0.44778036903295515
55,0.07692878531386314,0.11412844731053612,0.4520694242261697
56,0.11005736621077274,0.13587691195392418,0.47717082839871344
57,0.13992628915347077,0.17940310184402816,0.5248687255071106
58,0.17300429197371697,0.26510127769223496,0.5836573410577117
59,0.20848868084272892,0.39142444788723196,0.6389325026225029
60,0.2515874063530527,0.48104889547328955,0.6734243875414985
61,0.3036264107320284,0.47952669863527914,0.6780681803610031
62,0.3637477832740994,0.40311585469833916,0.6555168893448438
63,0.4347071342442447,0.2808233261623983,0.6146764307477431
64,0.540637926056737,0.17798089722621876,0.5601675839579547
65,0.6427002555001038,0.11455267839992624,0.5084182310092654
66,0.7081911272591027,0.0626742476629006,0.4715311838709528
67,0.7089211710544705,0.03252289735388324,0.43838147007490813
68,0.6765097277839014,0.019991529272733767,0.4134505887081065
69,0.0944998264960855,0.16244626748948807,0.5116184508703061
70,0.08175557796679485,0.14416684011395448,0.49826606467090157
71,0.07802022520527736,0.12171231608507038,0.481608577215449
72,0.09246945029749705,0.11188824251075473,0.47091640636313536
73,0.12622581681796918,0.11662030002759251,0.47682682770742035
74,0.15142861563265128,0.1364306464898763,0.5045721201157332
75,0.1524542957455492,0.18908697533129462,0.5531228578341679
76,0.13911332660420386,0.27977479239731945,0.6121283413290349
77,0.13839407584609978,0.40206395056442124,0.6661356783042325
78,0.17121052019648425,0.4931869961998668,0.7005129446003363
79,0.2505084195945828,0.48463481287518584,0.7075018790403266
80,0.3410282740691919,0.400955990573572,0.6857671167931314
81,0.42774722832447576,0.2849514462932935,0.6394330233768284
82,0.5299595273416953,0.1901682667590779,0.577629228338712
83,0.6260446329282416,0.11947981077188717,0.5135544278914281
84,0.7129222763583508,0.0598698611649435,0.46324916953494283
85,0.769895495510415,0.027661990673648888,0.42304681990775683
86,0.7851747567320119,0.0201737716396444,0.3918903856732616
87,0.16971092038638513,0.17415750585907921,0.5454654928769969
88,0.09691465033003463,0.16252577780039318,0.5410321608538584
89,0.0755654664879153,0.14944916249844084,0.530899320416767
90,0.08694034022582989,0.12574177882521398,0.5140338924463228
91,0.11957533931384101,0.10790910308136702,0.5006986155079786
92,0.15140493038593542,0.11071590130980957,0.5052401971026705
93,0.1585279713529297,0.13283366872336752,0.5347046840669565
94,0.13343767813790378,0.20431923396968538,0.5850343683056837
95,0.09986697988926381,0.3239335236091437,0.6441230934285335
96,0.09454516927501998,0.45255621488885234,0.6975519417812955
97,0.1400268371631765,0.5188017825589959,0.7323362832352402
98,0.22684498080191734,0.4854812384626765,0.7390841817275052
99,0.3224575169940188,0.39505862275587467,0.7129158266141418
100,0.42121480559589275,0.29415579420528304,0.6573840977092015
101,0.5308458979688447,0.2052497860135568,0.585303603056871
102,0.6191231109907207,0.11929060313400479,0.5102015405756951
103,0.6905561725688842,0.052877213106770085,0.4469813115511215
104,0.2574085023419352,0.13472354657003438,0.5638829269679223
105,0.14417404693156557,0.13951349165639348,0.5678006219083047
106,0.08903392077103771,0.13601468375696513,0.558474311373647
107,0.09153354997307693,0.12365341461936091,0.5408191242058784
108,0.12065852928353539,0.11059577264998915,0.5280849975739336
109,0.13897100972374868,0.11836927327036667,0.5347259591936567
110,0.12749346422595176,0.157837839469028,0.5673221814620184
111,0.09256635226938298,0.26874686630157013,0.6205399360769323
112,0.06701947381162306,0.42811860257774653,0.6816070900230211
113,0.07989878889686682,0.5547987068674962,0.7360253374573217
114,0.12695131991282585,0.5817979706064615,0.7700895560449877
115,0.20135826430717388,0.5088858505060488,0.7727328758824359
116,0.2903157926976805,0.40094421794839735,0.7375394327142534
117,0.4033243433253812,0.3000788469219551,0.6696954989207985
118,0.5451717447722004,0.20415294472941925,0.5852075382544144
119,0.6442347397304782,0.10296688144153865,0.49821264546233296
120,0.6965394341599441,0.03457958300793836,0.4202597984468625
121,0.7480856881923303,0.01642141411046694,0.3672587308691609
122,0.6390448082071624,0.02870482430220485,0.550205701666225
123,0.5504109331059168,0.04726447375156247,0.5579585600368675
124,0.3709770644896626,0.08500955745171387,0.5655374715985636
125,0.2111035140082702,0.10744852688234667,0.5743019283400662
126,0.11585415157701161,0.12154681510319472,0.5721759601229539
127,0.0896333351312604,0.127932969402237,0.5581651876139104
128,0.09957221721561546,0.12993675525031761,0.5498021222908069
129,0.10085217981936362,0.15086896995038018,0.5615621852971826
130,0.08163849356556623,0.2195414850186848,0.5988733704644256
131,0.055172128324320856,0.3789499239190299,0.6562853695775772
132,0.05035376197757918,0.5759903107524287,0.7207681693517514
133,0.06983392855319652,0.6948307966878653,0.7763393718532213
134,0.108009476638846,0.680257712313786,0.8080749602494653
135,0.17024025984925337,0.5643916672571836,0.8043028962950993
136,0.25867944450501723,0.43040617996578173,0.7593253175489264
137,0.3956611973316003,0.3099838474264581,0.6798392771377209
138,0.5677954545169955,0.19101434973722464,0.5828338900915001
139,0.6860184803286067,0.08100166493494337,0.4841850629279762
140,0.7302776284750544,0.02152690976471385,0.39703516146500073
141,0.7749110921462309,0.012713292529445667,0.3316052773512101
142,0.8424744417501489,0.010931540197327894,0.2863164937839128
143,0.7116242726699078,0.017037834560243797,0.5484435025125264
144,0.6079330349870367,0.026598708420375494,0.553680443154454
145,0.44185782429096704,0.05290765848421937,0.5623308397597999
146,0.26213640603645194,0.0814128402044212,0.5718202853881256
147,0.1395423428172184,0.111877714453285,0.5744705377673303
148,0.08884347409810042,0.1352368922225036,0.5668745111522921
149,0.07722751392675431,0.14899120947860683,0.564885980129457
150,0.06893575789514104,0.18191017687351924,0.5821075877638306
151,0.054270042632947664,0.2825438731139642,0.6242010974888509
152,0.04310639794819214,0.490048900030439,0.6853489690961253
153,0.04195952470909842,0.7195495910163101,0.7523802371128838
154,0.054332556297621855,0.8311475340952773,0.8081923614159574
155,0.08838426675853282,0.7753713066956429,0.8370711235783588
156,0.14948307845427142,0.6182157724603091,0.8274235677351046
157,0.24902626854779986,0.45917622269679087,0.774978774578393
158,0.40705274659256296,0.31677628095440546,0.6871414787955605
159,0.5851207550503309,0.179008792252757,0.5803483631965118
160,0.6918671363519301,0.06813790863992358,0.47237746780416584
161,0.7185346707860701,0.018565607327782237,0.37893352680534775
162,0.7544563687830764,0.01244176026179152,0.3113266802541158
163,0.8234119466049754,0.01058852015488967,0.26064465913193097
164,0.8750683096970499,0.007493933307511235,0.21959776281281246
165,0.7667067017034613,0.011322215851595551,0.5412956945861042
166,0.714686770789615,0.014086567529960497,0.5448466902306913
167,0.6189045670676485,0.018159063550634555,0.549336744925188
168,0.4426598427466668,0.03555494143817268,0.5552879966264251
169,0.2706190201259939,0.06575792311084991,0.5650096063098305
170,0.14888107275135473,0.10470697081169345,0.5695094512003124
