rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA,ROADS_SURR
0,1.0,1,0.04826605344884466,0.033224961406984735,0.43722046517393465
1,1.0,1,0.043511343288748276,0.03163138784307638,0.42014287163707276
2,1.0,1,0.047894446082422895,0.039047063900895636,0.4142618990439659
3,1.0,1,0.050701745918974875,0.03981750801368004,0.35957703707963184
4,1.0,1,0.046017826629532875,0.0349522204811234,0.380637400860333
5,1.0,1,0.04389517889647486,0.035419880293282476,0.35706241305931136
6,1.0,1,0.04398986188266077,0.03289254858688228,0.4424734053571125
7,1.0,1,0.04716600102471444,0.03702865844726848,0.44666619444644673
8,1.0,1,0.044018365212569556,0.038771037489130494,0.3832301088452281
9,1.0,1,0.043939269316231454,0.03957826658966014,0.39609137244023473
10,1.0,1,0.043112683159499406,0.03574839546245779,0.4111833160564647
11,1.0,1,0.04397126354550313,0.036813099488562054,0.4143310444385192
12,1.0,1,0.04660756725113595,0.03981494378143822,0.4177635917615584
13,1.0,1,0.04907772727806147,0.0358869480040128,0.43666006125050727
14,1.0,1,0.04656200565113983,0.03606195634047228,0.4565412898260605
15,1.0,1,0.051437117791896955,0.039064128670648485,0.40636535352019615
16,1.0,1,0.047635005064745176,0.03498250190983747,0.42404005627562125
17,1.0,1,0.0491593855934419,0.034174531516218264,0.42645080976019123
18,1.0,1,0.042977418260272765,0.035603536102819903,0.42598417252904097
19,1.0,1,0.046553237876144175,0.03123961485633579,0.36156972575049007
20,1.0,1,0.04944254535508363,0.032545430677221064,0.40973206160051123
21,1.0,1,0.04962193078009189,0.03396251172126774,0.4103973900238799
22,1.0,1,0.05073199148157683,0.03433378390477255,0.39543798008724634
23,1.0,1,0.04683842533005903,0.037723883764945926,0.40491488970322487
24,1.0,1,0.04315561178792932,0.03537230282061125,0.37701119600093663
25,1.0,1,0.043698922279693714,0.03162045721685381,0.4219716484700223
26,1.0,1,0.04439978145682579,0.032978998709134136,0.3770975461821251
27,1.0,1,0.04531862347722602,0.039815354217947865,0.4457989589982996
28,1.0,1,0.05023471046830462,0.033725297462979816,0.4503346397124008
29,2.0,1,0.033740882713899065,0.06028046392886505,0.3404353763879718
30,2.0,1,0.034258651727738634,0.05859403892133691,0.3682653520575452
31,2.0,1,0.033738191019504385,0.05715584706375351,0.39138932806790044
32,2.0,1,0.03763460054758068,0.05521118495035324,0.4299741418369001
33,2.0,1,0.03822461423446318,0.05444011102305431,0.3951474058598022
34,2.0,1,0.038503366856042776,0.05458540799986934,0.41690552967757155
35,2.0,1,0.034993349434824225,0.04977268409312335,0.3677031686191521
36,2.0,1,0.0403043207021335,0.05006716328829126,0.3998824763336935
37,2.0,1,0.03586526549701984,0.0576935040616779,0.4356975052637361
38,2.0,1,0.036000751915550445,0.05701394635509282,0.3721335839684354
39,2.0,1,0.03727176717213626,0.05785335778901436,0.4321354744027858
40,2.0,1,0.035191104892629076,0.055975338767634594,0.3793113633261648
41,2.0,1,0.03588513591556991,0.05688816422668392,0.3572152798388484
42,2.0,1,0.040791521061190286,0.05579066950003182,0.3473292314400038
43,2.0,1,0.03609203671949683,0.05956047217849045,0.40181131105350726
44,2.0,1,0.03556859193582256,0.0527806754064776,0.34410578251078333
45,2.0,1,0.039113946950014154,0.059750157518683705,0.4157515190411937
46,2.0,1,0.03758513450363951,0.048442341306513814,0.3472640823673472
47,2.0,1,0.04091605584632896,0.04855622746034006,0.37513356231461115
48,2.0,1,0.03561214784378972,0.06061282067283757,0.36353613223787334
49,2.0,1,0.035506865491812006,0.05090285701575734,0.36566327466959325
50,2.0,1,0.037429344319395166,0.050255818301108306,0.404409434884761
51,2.0,1,0.038408139201110116,0.05996249719646877,0.38542358948225625
52,2.0,1,0.04086154013439016,0.05829259936371133,0.3471408380273422
53,2.0,1,0.033585790232294806,0.048704980009463626,0.4251946778147061
54,2.0,1,0.040375167590123856,0.054183860591634755,0.345708600137329
55,2.0,1,0.03997562941526384,0.060599609068564146,0.3664207026420399
56,2.0,1,0.03589542235999928,0.05631980457225286,0.3776053803124863
57,3.0,1,0.04232135424347302,0.03822940020540764,0.3605807733174886
58,3.0,1,0.04438084903723767,0.03547418392520836,0.3481854601700553
59,3.0,1,0.041470519459592896,0.042995954467625074,0.4260204421281906
60,3.0,1,0.03959620257689061,0.039653833434337434,0.3702926418224589
61,3.0,1,0.03817377984452882,0.041546810418227866,0.4327699723375804
62,3.0,1,0.04003514501917582,0.04092206458812336,0.4321493106741218
63,3.0,1,0.04133732915761798,0.03565737319950956,0.3664045773143576
64,3.0,1,0.04566900501987829,0.03784219630870176,0.43428179076354995
65,3.0,1,0.04196249642610984,0.034632978552442364,0.38322835319554344
66,3.0,1,0.04285786844929668,0.043183926338895604,0.4228916293834413
67,3.0,1,0.043847135092352704,0.034364838326602164,0.39200936360734656
68,3.0,1,0.044920048761890055,0.03771855584198303,0.4175303015686844
69,3.0,1,0.04506407272688674,0.04121538223287546,0.39464004050990864
70,3.0,1,0.043717457355142646,0.038173690456539525,0.37535690539948297
71,3.0,1,0.040927913551033625,0.036080295657181294,0.37063669672970806
72,3.0,1,0.04579323559771167,0.043090955934516006,0.3574284055647416
73,3.0,1,0.043580351052728436,0.03701109451186517,0.40593188304908473
74,3.0,1,0.041516002239949945,0.03627106301157972,0.44417025306047553
75,3.0,1,0.045506835481502965,0.03671594065275679,0.3461389980768537
76,3.0,1,0.04244518254561157,0.03532055232355043,0.3966440839138103
77,3.0,1,0.04424761983800541,0.03533476490637004,0.4342586397010402
78,3.0,1,0.038755793953117526,0.03728080645687473,0.4006764947633653
79,3.0,1,0.04066104557785643,0.04294852062366982,0.368944320378722
80,3.0,1,0.04254421453594343,0.039713360487515816,0.36708287262241335
81,3.0,1,0.0432107474396195,0.04036098652959098,0.43010593242665346
82,3.0,1,0.040194757293888,0.0420023754259354,0.34720802361348674
83,3.0,1,0.03948895033916382,0.03664324366137377,0.4337227229652598
84,3.0,1,0.03805762320461186,0.033969072538688604,0.4409052994055621
85,4.0,1,0.04777268010218734,0.034325912891865776,0.42323806131381514
86,4.0,1,0.05004508084238683,0.030614801836807592,0.38908930827785715
87,4.0,1,0.044649658576175345,0.0306303315802622,0.40533522261010807
88,4.0,1,0.050174084798669596,0.03348300627902905,0.39839457812880413
89,4.0,1,0.04970257691057401,0.03177549392690876,0.36178402055107134
90,4.0,1,0.05227587570160967,0.029595963392936683,0.4243092414783352
