fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,0.9827147359422826,0.07858712368071553,0.03512867287226168,0.04542472474201341,0.011883344759325504,0.09421480477339333,0.38840828571073877
2,0.9895499629480227,0.0617244101458776,0.046633052442480505,0.03462577844654846,0.041636578865139356,0.10539006791328986,0.38704230321157146
3,0.9875848231273258,0.06957350879713023,0.039432725786990724,0.03995780524793047,0.026706978060969413,0.09191462502033282,0.3896469698005167
4,0.9860956946814491,0.08027333361275546,0.03236312805976241,0.04748778540819316,0.012015667860027968,0.082710404501575,0.3869683257243251
5,0.9862151465641247,0.08600281350382674,0.026343555301421403,0.05212236824204577,0.008356598050109673,0.09038090278299282,0.3870104629282231
6,0.1658744946231191,0.2890579677038788,0.3741341248884063,0.1419256223816583,0.008361687440081188,0.024824357947110017,0.45244767000278185
7,0.1414371975452253,0.2696773336265552,0.3460483209885799,0.11965828702153965,0.004653521844963792,0.019993380314910165,0.40329823101815726
8,0.11222165874580248,0.2535972347159221,0.3342439058338313,0.1052180822254565,0.0026297941114216293,0.012789864166370067,0.37053765091682533
9,0.9767233173974119,0.06251686632292472,0.05830276384837164,0.034972058843620576,0.09090469406924948,0.16640311074759118,0.34966834909033023
10,0.9872614888229235,0.06254127924826854,0.051325494599812865,0.03532149981523613,0.06880796103019067,0.14137001151212594,0.3681500269425603
11,0.9900656334545584,0.06755545873715886,0.044468655147335494,0.04041701701125317,0.04738905314549585,0.1090665342200441,0.3859218807271026
12,0.9897799984109148,0.07527788201250578,0.036203081424388814,0.04640279080104739,0.030262994090183536,0.08762636230401469,0.39003388040369275
13,0.9878081225638267,0.08705300683581871,0.029234680031957803,0.05613288292286143,0.013985696844749507,0.08305956015397917,0.39068582686374653
14,0.9869684474284328,0.09286199875184893,0.023400863488856807,0.059146343148124926,0.007250579279044608,0.09157378588705158,0.38827236815212873
15,0.17970537038796328,0.3498097304002842,0.45356890692867113,0.24005787825957575,0.023001044564316998,0.02261116768922107,0.5337163586555459
16,0.17100488998068594,0.31211440883178854,0.42353819680147214,0.17148634384120562,0.01083586255400043,0.021469927395236125,0.48671524184122444
17,0.1505991509505504,0.28547635167211627,0.42260391966119404,0.13425133617907403,0.004461536596768406,0.01879907948379849,0.44183828708885164
18,0.11432450950815339,0.259342638257851,0.40358915407812884,0.10902162664958878,0.002281581805961308,0.011198739992472178,0.40139015142016254
19,0.09125644302990005,0.23718794957831163,0.45121159418879725,0.08887834495776942,0.0009831388921088184,0.008236580915467017,0.39986973623742034
20,0.9501014331323155,0.06694231171277676,0.07577047315244131,0.040778331141366975,0.12275546762408106,0.17364039120998584,0.3445138057167366
21,0.9676328078825246,0.06742407011839413,0.06122471333145114,0.039599156574854674,0.10445995212474593,0.17748028892881434,0.35612051508829673
22,0.9846951053497153,0.0683633497051427,0.0501616957867539,0.03845141395539111,0.0823924192275958,0.14765798639839844,0.3719603392195054
23,0.9882603714948177,0.08167445918464043,0.03866931017598942,0.054846290645786416,0.051025671100517804,0.12841705051570998,0.39542026914619954
