fid,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR
1,0.0784730186470499,0.0475346319131609,0.05192045920280854
2,0.06600230622207169,0.06765290688281062,0.04365262965875783
3,0.07003063369738419,0.05075856503057799,0.04851918588986298
4,0.08101229151885332,0.043408109958096616,0.054884832510149535
5,0.08598180583708603,0.050154728962913966,0.06377115950202226
6,0.2937109045965938,0.3174396303473046,0.1777370895955722
7,0.27437297069884004,0.29154537613367937,0.14421504097716367
8,0.259313780153697,0.26712168929648045,0.12058089943619421
9,0.06466017569945398,0.19121867702392686,0.045583546245427514
10,0.06310757895727931,0.12233701819666283,0.04221854105125447
11,0.06857427815011788,0.05913568827146674,0.04701521509362877
12,0.07827455125922402,0.04253201061794389,0.054251421666374186
13,0.0877175322476671,0.03904406351785083,0.06137440580369238
14,0.09592783546253456,0.0497748694377925,0.0789512696013797
15,0.3498097304002856,0.4012649692047587,0.26350366920742085
16,0.31188459762602466,0.3619576203418553,0.19167622822036665
17,0.2832654109037239,0.3348988135873669,0.14644204743604938
18,0.2591863476495321,0.3124537142559072,0.1165028201946371
19,0.23718794957831166,0.30724623056366807,0.09163395280475718
20,0.07074081471887628,0.2505947781867849,0.05756100613787764
21,0.06808614640016271,0.19786206708554455,0.04990463843916035
22,0.07107984414825715,0.11754364202536838,0.05231795123041818
23,0.08079677129342369,0.04985344400838486,0.0589103850810559
24,0.09742241213056117,0.03791632176120059,0.07098587783300986
25,0.11165648363595622,0.035702365773101284,0.08357388657101425
26,0.4805260903384817,0.40797031076365703,0.4513871474062646
27,0.46591798357974373,0.44768188262919817,0.4026092373443809
28,0.4148221749356982,0.4370097651546277,0.3164117380614132
29,0.3553000032218985,0.4373951136942915,0.22544626009201282
30,0.3043292305578495,0.4522015010698204,0.15128303241335697
31,0.2639987316623809,0.4443136772919888,0.11412924013478158
32,0.22331300148477976,0.4252225517254974,0.0824612823062514
33,0.17244796395577328,0.43693591390685016,0.055750617027339126
34,0.14620443442854,0.4824193021353501,0.04519256363367132
35,0.0835056503737441,0.2143242640516082,0.07489841152634384
36,0.08222361329191741,0.18112508591594173,0.07048783472252844
37,0.08537023170265735,0.09054029726324032,0.07150133149495193
38,0.09957970915660891,0.0488212509087771,0.07787083923955586
39,0.12553492559504376,0.04626875810113016,0.09512142105386501
40,0.1524710807452799,0.06358140621088788,0.11507101793457841
41,0.1878131350111398,0.11017117652530266,0.1578525911225222
42,0.4385901153075612,0.29282857642116833,0.39997288133385467
43,0.5119509390455972,0.3505089981483166,0.4589665735133384
44,0.5380980006701739,0.3901526932070556,0.44214050602986266
45,0.5030567296369838,0.41938770939211495,0.3596508760856829
46,0.4204521707759795,0.45850812495198384,0.2589174063037102
47,0.3366945270471581,0.5324434491559102,0.16482242616981818
48,0.2682874590105822,0.584979736619863,0.11135386060922187
49,0.20845872252316955,0.5893522535533562,0.0741250276985068
50,0.15562457609339145,0.5792239328861355,0.04730273840703608
51,0.12854515625302113,0.5812741902856616,0.039990162971915634
52,0.1105162649093878,0.12317495364323902,0.10240602764809684
53,0.10936136051341333,0.07415291392917009,0.099277748068721
54,0.12061124522710169,0.061838414946748056,0.1008035952391567
55,0.14930193678516562,0.07692878531386314,0.11320756235836174
56,0.1825299408271475,0.11005736621077274,0.1363136078527775
57,0.22405841704930665,0.13992628915347077,0.18490813367749362
58,0.31686202705182764,0.17300429197371697,0.27844496864221546
59,0.4541395949280735,0.20848868084272892,0.39314851412024276
60,0.5683044263326967,0.2515874063530527,0.4595274997454271
61,0.6139385953891602,0.3036264107320284,0.4760715125488345
62,0.5709799224181408,0.3637477832740994,0.3962400228689596
63,0.47466530656706213,0.4347071342442447,0.2817997863675981
64,0.3710290953399294,0.540637926056737,0.1801957006616027
65,0.27864445426867734,0.6427002555001038,0.1145395568730195
66,0.19704414289706368,0.7081911272591027,0.06981126817267316
67,0.13844007854408666,0.7089211710544705,0.04235744943520059
68,0.11548301039347743,0.6765097277839014,0.0301859512188712
69,0.17320357333584055,0.0944998264960855,0.1449332911384544
70,0.14299674829645445,0.08175557796679485,0.13382727945225897
71,0.12949434614734698,0.07802022520527736,0.1202784611637271
72,0.13363507154970067,0.09246945029749705,0.11212937970243571
73,0.1570069823902579,0.12622581681796918,0.11719505956448255
74,0.1901104673305318,0.15142861563265128,0.1385197958049084
75,0.2417511813851259,0.1524542957455492,0.20066918633913458
76,0.34206866925221835,0.13911332660420386,0.2964419086137553
77,0.486380062697805,0.13839407584609978,0.405135960586957
78,0.612848891086334,0.17121052019648425,0.48859652558326994
79,0.637558817858749,0.2505084195945828,0.4831463514739064
80,0.5789607280315424,0.3410282740691919,0.39932230954926035
81,0.48524079145452437,0.42774722832447576,0.2876194240012446
82,0.392138399794541,0.5299595273416953,0.19164087621033207
83,0.2894671360801633,0.6260446329282416,0.12206971663474393
84,0.19790783808557158,0.7129222763583508,0.06870566885239614
85,0.12987410431270083,0.769895495510415,0.039367670921043
86,0.10928453922442563,0.7851747567320119,0.026637812645546616
87,0.2066693872567138,0.16971092038638513,0.15218195756875014
88,0.1960804343524062,0.09691465033003463,0.15253070456182005
89,0.16039228735718725,0.0755654664879153,0.14120749293500973
90,0.13750104524805387,0.08694034022582989,0.12543707702275456
91,0.13394599202627802,0.11957533931384101,0.10878942845651751
92,0.15207015578918762,0.15140493038593542,0.11123837683854172
93,0.18417435983932226,0.1585279713529297,0.13568611227372937
94,0.24949121416122422,0.13343767813790378,0.2093045480436318
95,0.3698628601341966,0.09986697988926381,0.3271603131977585
96,0.5259035496199176,0.09454516927501998,0.45304775573637085
97,0.6307362908060149,0.1400268371631765,0.5139788483438364
98,0.6254654869142507,0.22684498080191734,0.48393986344446777
99,0.5526330716639504,0.3224575169940188,0.39352623648557894
100,0.47481820334024605,0.42121480559589275,0.29506871832726594
101,0.3956590671869428,0.5308458979688447,0.20385606150546878
102,0.28425300901818035,0.6191231109907207,0.12212061526089799
103,0.18395585810034365,0.6905561725688842,0.06423604950775152
104,0.19433303935241508,0.2574085023419352,0.11987113144750713
105,0.18876439091026054,0.14417404693156557,0.13608539284064491
106,0.16464695351202102,0.08903392077103771,0.13564327823291064
107,0.1440956431832372,0.09153354997307693,0.12472381684471118
108,0.1403792179786227,0.12065852928353539,0.11345563400381427
109,0.156531631260785,0.13897100972374868,0.12112377601344258
110,0.19496180458233578,0.12749346422595176,0.1638216528492439
111,0.2888553539320299,0.09256635226938298,0.27445148762145233
112,0.44046809845457396,0.06701947381162306,0.4278787856735777
113,0.5941996458864162,0.07989878889686682,0.5527455735978616
114,0.6665048725081565,0.12695131991282585,0.5782450000914628
115,0.6333750162172761,0.20135826430717388,0.5112419253701175
116,0.554753452744093,0.2903157926976805,0.40208271754666836
117,0.4735266933154545,0.4033243433253812,0.301717129036213
118,0.3782581148099714,0.5451717447722004,0.20132971703184355
119,0.2486135274123409,0.6442347397304782,0.11165192428892591
120,0.1443151755780982,0.6965394341599441,0.051477655627095546
121,0.09120596600697194,0.7480856881923303,0.023254027348916226
122,0.07013269900726234,0.6390448082071624,0.04012587239074959
123,0.09076447991408997,0.5504109331059168,0.059253489809484874
124,0.13354707610015062,0.3709770644896626,0.08465961657756604
125,0.15781415605253138,0.2111035140082702,0.1072348348042693
126,0.16407939019212553,0.11585415157701161,0.12100104411617207
127,0.16465661494043368,0.0896333351312604,0.1265407022437381
128,0.16945663089035665,0.09957221721561546,0.13072899033516663
129,0.185250749531995,0.10085217981936362,0.15129564805878826
130,0.23962767295820087,0.08163849356556623,0.22434203873452835
