fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,0.9862813692145932,0.08012423532069808,0.034207333146173524,0.04545071670837935,0.007708932897894134,0.09184561051660141
2,0.9914838772813028,0.06868203897096085,0.045889530359288604,0.0346257784465487,0.04471898093489639,0.09887187624864029
3,0.9903188674333331,0.0714398717386037,0.03959935716825076,0.04038629242305123,0.028763694070337062,0.08979025701117957
4,0.9883158915600695,0.08253411925046135,0.03178845980438932,0.047812644064605454,0.008847791477118004,0.07581362684833715
5,0.9868971740681414,0.08757362891946906,0.0281308577270617,0.052247268777696955,0.005447745303723934,0.08721095483217964
6,0.16203994136965474,0.30400801306748754,0.3796609781051312,0.14890405415809269,0.0077977993369463365,0.024706879617497436
7,0.14494749622295922,0.2858383915685606,0.35111124361689117,0.11965828702154051,0.004297724425542102,0.02057885534808061
8,0.12362976254473523,0.27068483187068915,0.3451740809815585,0.1089586339818689,0.0024150796547285952,0.013776794770312815
9,0.9796560764705363,0.06681299833196537,0.05881602377120993,0.03497205884362065,0.08536563804480125,0.16701502181125527
10,0.9882668076101708,0.06546081718664122,0.050447043228276874,0.03582266904940562,0.06883432832574005,0.13904337996861732
11,0.9898470832622028,0.0717582441617363,0.043552765454900576,0.04041701701125326,0.05015377923748538,0.10801622844592004
12,0.9885496989795007,0.0801189994915012,0.03620308142438877,0.049221162325042186,0.028789993243257206,0.09537634232735377
13,0.9880425961463881,0.08875002285493448,0.029069020053487157,0.056132882922861484,0.010763603801834758,0.08555755969467475
14,0.9861318076818104,0.09828185751486034,0.025087883747785387,0.05914634314812516,0.006131234384749256,0.08928384363212548
15,0.17997781938310475,0.3608548496312205,0.4492789341231993,0.24005787825957636,0.02240124791626607,0.0228303916185317
16,0.16869523859183247,0.32098884079217066,0.4267831467858465,0.1718207522428887,0.009813755568023353,0.018106260040524427
17,0.14768436956590936,0.2920252368625452,0.4226039196611927,0.1326656079938315,0.004422781647212042,0.018397651870891183
