fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,0.983918134487226,0.07824431295118686,0.03413287690726361,0.04545071670837935,0.013339559767935154,0.09299512747357135,0.388180215793654
2,0.9895499629480226,0.06172441014587789,0.045889530359288444,0.0346257784465487,0.041636578865139356,0.10714458299741245,0.38704230321157135
3,0.9875115288441595,0.07003063369738388,0.03930920228563016,0.04038629242305123,0.02582195283332365,0.09173430335192366,0.38900556159079996
4,0.9860767274513065,0.08053141135315806,0.031774998596450804,0.047812644064605454,0.012566580455160615,0.09172478405580098,0.38733704619134524
5,0.986012654009695,0.08590091042841211,0.028466451204122067,0.052247268777696955,0.008984857428567765,0.09141711301610975,0.3875311621500737
6,0.16101528093196582,0.29256385074726843,0.3913401432704905,0.14890405415809269,0.008813924041818357,0.02182292793070445,0.4528831051421246
7,0.14143719754522552,0.26967733362655605,0.3511112436168934,0.11965828702154051,0.004653521844963825,0.01887275693851039,0.4032982310181589
8,0.1192951037693241,0.2582864159040865,0.3747419422816106,0.1089586339818689,0.0029748424590127142,0.014702620612445627,0.38918436707893683
9,0.9767233173974118,0.06251686632292482,0.05881602377120999,0.03497205884362065,0.09090469406924961,0.1578616775130709,0.34966834909033045
10,0.9870024731061559,0.06310757895727909,0.05024782594719451,0.03582266904940562,0.06872740089803055,0.14055323988399784,0.36924114744683123
11,0.9900656334545583,0.06755545873715897,0.04355276545490055,0.04041701701125326,0.047389053145495845,0.11237194906213141,0.3859218807271027
12,0.9886140470560036,0.07754427407975394,0.036287621741969193,0.049221162325042186,0.029069154289026105,0.09509953709905906,0.3924808525936387
13,0.9878081225638264,0.0870530068358188,0.02906902005348716,0.056132882922861484,0.013985696844749578,0.08997108733542392,0.3906858268637467
14,0.9869684474284324,0.09286199875184913,0.025087883747785724,0.05914634314812516,0.007250579279044763,0.09624945928072373,0.3882723681521291
15,0.1797053703879634,0.349809730400285,0.4492789341231987,0.24005787825957636,0.023001044564317043,0.023023539452710608,0.5337163586555461
16,0.1700572588569599,0.3118845976260245,0.4272966476993084,0.1718207522428887,0.01087692891373094,0.022267623649519844,0.4840761031623182
17,0.14744360606257723,0.28348609255465285,0.4108246866805375,0.1326656079938315,0.004846189312362279,0.018527527759310373,0.4347024935743108
18,0.11523185977112915,0.25918634764953213,0.4203452577103011,0.10883081190249305,0.002328483488792545,0.012730835200906485,0.4029418595466244
19,0.09125644302990012,0.23718794957831169,0.4524471155448523,0.08887834495776945,0.000983138892108823,0.008344590134387667,0.3998697362374204
