rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR,ROADS_SURR
0,1.0,1,0.050771773937831825,0.025023320161465242,0.3524189100054025
1,1.0,1,0.05199155527200353,0.022458899842428538,0.34883583780956817
2,1.0,1,0.04908769014846283,0.027905420210773944,0.3668018178471189
3,1.0,1,0.05349198229987967,0.0262390664410263,0.3522955502544892
4,1.0,1,0.05206693369870712,0.02762647555751483,0.385129881376665
5,1.0,1,0.058656109474890965,0.023926066022380347,0.3604070869258953
6,1.0,1,0.056219788432663356,0.02254366610845632,0.4161846641949008
7,1.0,1,0.05562123513064011,0.025301915727903437,0.39400866233861875
8,1.0,1,0.05383403826675795,0.024758557942550653,0.42853296067305013
9,1.0,1,0.05577192410816017,0.02209105210230877,0.4158849180298857
10,1.0,1,0.048983543832894896,0.02392612792438102,0.4055926538272031
11,1.0,1,0.050430216619980595,0.028425632707223106,0.4111869467650929
12,1.0,1,0.04819524630814256,0.025569057452921547,0.42641159361926656
13,1.0,1,0.04819790280998269,0.026868539378241473,0.3787490443142427
14,1.0,1,0.050304875056778726,0.02344919547790091,0.4296895942005768
15,1.0,1,0.05827955210206761,0.027623689282041283,0.3611453175535387
16,2.0,1,0.042862690191904904,0.03267846456241962,0.33994158293633747
17,2.0,1,0.04656865974147647,0.028323829832170924,0.3322058110192797
18,2.0,1,0.048950879368614995,0.0312632468373796,0.4190758666729678
19,2.0,1,0.044747780490859375,0.03374839830899014,0.35634014390555796
20,2.0,1,0.04921413831870296,0.028481994254027254,0.3628104249583004
21,2.0,1,0.04654348839743657,0.030817047975436742,0.3917490395630621
22,2.0,1,0.04861494540976617,0.028303493771915593,0.4068597963925743
23,2.0,1,0.04717674061434477,0.028930024822264425,0.3848456916577312
24,2.0,1,0.0480235789876658,0.027264158576101816,0.3900719540046779
25,2.0,1,0.04480471296256988,0.03265306297532304,0.36504290464999783
26,2.0,1,0.048472993702810774,0.030188580419276623,0.3551058358502802
27,2.0,1,0.046978118290952844,0.03463154881452129,0.37716506665208677
28,2.0,1,0.04357308500820772,0.027963825201788944,0.3605012941796985
29,2.0,1,0.043361797959887,0.027587088669397696,0.37048947838113716
30,2.0,1,0.045242011185704666,0.02693066021184298,0.3449585008372514
31,2.0,1,0.04784347687495229,0.02731807304604797,0.3980287959818624
32,2.0,1,0.04027835154270253,0.03179457053953234,0.40363405069448177
33,2.0,1,0.045964834650048886,0.033899137818564004,0.4234949397986296
34,3.0,1,0.0539985794021265,0.023923070215023313,0.3660231489787075
35,3.0,1,0.05151144520723193,0.02619210486005932,0.41356963239686323
36,3.0,1,0.045630123598220926,0.024090281586288963,0.4247621133486563
37,3.0,1,0.05472185255261298,0.02785144833657388,0.3945673874130621
38,3.0,1,0.05485784917919313,0.025127300056797496,0.42602920368179353
39,3.0,1,0.04487848998848059,0.024896719523011188,0.40548888104127334
40,3.0,1,0.05258750088653722,0.02598080733555143,0.36351796687700594
41,3.0,1,0.051682147014403955,0.025469204433850604,0.398956009903294
42,3.0,1,0.04559681842775304,0.024373118778273972,0.34413636847831963
43,3.0,1,0.05195919928558487,0.02707055719988109,0.36435800401430796
44,3.0,1,0.05513710698123596,0.030582684413689398,0.37600230341660973
45,3.0,1,0.04680504518569586,0.027351475610890026,0.4225939329504274
46,3.0,1,0.04830093727043374,0.02878674485882294,0.3835474481582516
47,3.0,1,0.04724839124175501,0.029693400906665182,0.42063513096192956
48,3.0,1,0.05289638248336497,0.024107806801064644,0.36891872578753326
49,3.0,1,0.054044062593693966,0.028090017518593854,0.35286035782887476
50,3.0,1,0.04507114223340789,0.030054466910044954,0.34158912721651363
51,4.0,1,0.05179606875173153,0.023937808709644404,0.4100615090300139
52,4.0,1,0.05865217154960257,0.02868207255728039,0.3763215434837529
53,4.0,1,0.06124099105867467,0.029905609749332908,0.38319185422484353
54,4.0,1,0.06223316295368233,0.02868688715894025,0.36825107960474546
55,4.0,1,0.06250949703821886,0.029668828772973225,0.3542106462428604
56,4.0,1,0.05193000861590432,0.029919393242269242,0.39715685887673585
57,4.0,1,0.05532327457567696,0.02564146188943983,0.3694245619099836
58,4.0,1,0.06131247946178288,0.02604242450021615,0.4272238050249828
59,4.0,1,0.059633302500316704,0.02658998163673886,0.38793693145111036
60,4.0,1,0.06019518248085448,0.029661906390964603,0.41528466899922106
61,4.0,1,0.05650264284289817,0.025298493513943168,0.4148975545906006
62,4.0,1,0.05200496251022571,0.02768894922492537,0.4044998468817417
63,4.0,1,0.05497271663655792,0.027676483086787513,0.3632402013204848
