rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.974420378627781,0.07526681982376246,0.04727916305020624,0.03053193369992084,0.008010276828323611,0.09576010727634815
1,1.0,1,0.8918381746890357,0.08398808306417842,0.044984986149639514,0.026982299143202368,0.00742005640560653,0.08029376904547099
2,1.0,1,0.918920568557596,0.07616035517082967,0.042351047721539595,0.030918310401648445,0.008247042963960699,0.07906119344506025
3,1.0,1,0.8221433480267011,0.07436106751548247,0.0429484904337743,0.02982384912728488,0.007523600743441048,0.0859832035379456
4,1.0,1,0.8933716765699914,0.08049599639129616,0.04459641691164118,0.030782301725782175,0.008404591213418251,0.09222955487103977
5,1.0,1,0.8136468988092218,0.07609653834047117,0.04603311397972489,0.02553135082806578,0.007401328034990668,0.09068128481821258
6,1.0,1,0.878741430449155,0.08356042293965275,0.04696771194818929,0.02976903310202367,0.007299293818039741,0.08748741817519881
7,1.0,1,0.959641007123038,0.07390017650325519,0.04190462537234274,0.030061378416025124,0.00719629764154888,0.0893350054422772
8,1.0,1,0.8741911839695939,0.07279143363086453,0.04660838590662608,0.028466938268665382,0.007374278634812546,0.08688339259257544
9,1.0,1,0.92344431894999,0.08305316713756954,0.04569545967901512,0.02744695661871887,0.007191560918400515,0.08393041698200542
10,1.0,1,0.8952140072777649,0.08165653909607556,0.04884195944234331,0.02896669746838153,0.007274972125312162,0.0874681514277678
11,1.0,1,0.9485863934481205,0.07498688569665084,0.04633635759179212,0.025526925453892204,0.007969925199741953,0.08857700437490862
12,1.0,1,0.9719410043937237,0.07959913917789102,0.04251603929843491,0.027622005152032097,0.007876853111958558,0.08243985246798508
13,1.0,1,0.8478442103367685,0.08201827906501005,0.04609949173570356,0.02532824566276567,0.007931111189292126,0.09220698029974118
14,1.0,1,0.899568671778321,0.08407370932816974,0.05015972739083995,0.027242800991191234,0.008397804397920131,0.08965046707204297
15,1.0,1,0.8249306957482844,0.07481324148781734,0.0423034117739429,0.025874164827282872,0.007763946305148271,0.09017134707357219
16,1.0,1,0.9507693808514028,0.0800299245638469,0.043773049094457644,0.029853639129656547,0.007499949076752439,0.08307055891759259
17,1.0,1,0.9578516182187229,0.07544311229527008,0.05110224246463443,0.028152578634378613,0.00727259302032668,0.08452767972712699
18,1.0,1,0.9763090898631657,0.08234577177490895,0.044194968514069365,0.03093361101601843,0.007958294342378812,0.09570306806119781
19,1.0,1,0.9811542693604796,0.0766367553846388,0.04672938260352874,0.02705907611943372,0.00817453935709844,0.09329445452877279
20,1.0,1,0.8722899845415386,0.08480124324582128,0.04809404203933181,0.0287318496725285,0.007098692044785871,0.09557048246720662
21,2.0,1,0.8920292459472235,0.07268836302569918,0.03609618294837215,0.04076070305456603,0.042297920344489155,0.08968558808021802
22,2.0,1,0.9709943933663073,0.0662614498199047,0.038858879340571424,0.04047887305448591,0.04728603942829043,0.09787025670499368
23,2.0,1,0.9005885801270362,0.06670444584542831,0.037417784953556917,0.040402473902380415,0.046253676449309444,0.08963507738595854
24,2.0,1,0.9487893413641629,0.06707252281780918,0.03583102946873487,0.03687894209001956,0.04524661367085453,0.0962991911876625
