fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
15,0.128523591,0.154995113025,0.153690477982,0.34050360799999996,0.206357856272,0.21268467543100003,0.236224644,0.500053118584,0.487594788467,0.242365069,0.135339832028,0.14039488996399999,0.09813853900000001,0.071018024244,0.072289785467,0.007774481,0.005456897606999999,0.005560190124,0.002255193,0.011240238246000001,0.010805201835,0.0,0.0,0.0,3.09120429,1.803862537629,1.864311948834,0.5826315719999999,1.4827023980829999,1.4400894000500002
28,0.136416463,0.17636061818299997,0.170847313762,0.285341239,0.26241853425499995,0.265991997765,0.543564436,0.46651179478199994,0.477665945235,0.186692245,0.143849920944,0.150213823744,0.09864899399999999,0.118568613311,0.115778174021,0.004761081,0.008068213121,0.0075885961229999995,0.003919534,0.017421868921,0.015512291434999999,0.0,0.0,0.0,2.268552709,1.7595242937209998,1.833974480644,1.901459352,1.477851472441,1.5403271931419997
30,0.218953373,0.129900545984,0.139921041532,0.28558019700000004,0.17180231873600002,0.184715144554,0.44956500400000005,0.508516476851,0.5021151609700001,0.205375347,0.130493750637,0.138995898358,0.08020485000000001,0.041308568099000006,0.045719246196000006,0.001651887,0.001069548895,0.0011332841120000002,0.011204573,0.012121034958000002,0.012005098614,0.0,0.0,0.0,2.253050597,1.351820630975,1.454490999064,4.371420905,1.7449059736300003,2.044478522876
42,0.283661946,0.4251102677610001,0.404951782907,0.24148038299999997,0.24184894324700001,0.24165516513,0.40940448700000004,0.28914088762,0.30638053432600004,0.130528613,0.128016324064,0.12829957497899996,0.11095177,0.113832619183,0.113355590151,0.033871025,0.054340094266000005,0.051401889284999995,0.082656747,0.09797017099600001,0.09582463401500001,0.0,0.008179863026,0.007027650366,1.681805341,2.1672553933920002,2.0968795218759997,0.35995358,0.47597821038599997,0.459674725479
43,0.269045724,0.29591688254000004,0.291497676567,0.255645268,0.370502277525,0.351754560258,0.420758075,0.28980438967500005,0.310456268556,0.125352476,0.184326396519,0.174750782509,0.130292792,0.18617588100600002,0.177003777749,0.038889249,0.042175047780999994,0.041640919836999996,0.033653534,0.064263206527,0.05928636657300001,0.0,5.595325e-05,4.687975e-05,2.397552038,2.3707379709580003,2.373390542334,0.348626195,0.630471586966,0.584496133497
44,0.14387118,0.205779677385,0.19764753155999998,0.535183298,0.346352468581,0.371210649458,0.300874284,0.40485310529099994,0.3911002591040001,0.177200086,0.212486182551,0.20779485397699998,0.35798321200000005,0.13386628603,0.16341579548100002,0.021507355,0.021633276150999997,0.021629549693,0.015500016,0.018955210995999998,0.018500489262,0.0,0.0,0.0,1.7581819529999998,2.628758422772,2.513158022368,0.668631776,1.321779550008,1.235189318838
45,0.184200402,0.166706419018,0.16848062090899998,0.24009660900000002,0.36677434113800006,0.351237026329,0.557162154,0.3935202668650001,0.41197495588599997,0.164311579,0.22023869403900004,0.213318237605,0.07578503,0.14653564709900002,0.137918788724,0.003852624,0.008526768971,0.007951657942999998,0.02354984,0.010774215311999999,0.012266626650000001,0.0,0.0,0.0,1.939094565,2.435182222321,2.372274661883,1.516936683,1.7881535795460002,1.753487394684
60,0.36210455,0.32831551073099996,0.33368234597100005,0.347974725,0.42251993920600006,0.415332937796,0.260904662,0.199116602662,0.20709414900300005,0.196243336,0.23149189553199997,0.22820359765,0.151731389,0.191028043674,0.18712934014600002,0.061233328,0.046085291907,0.048054214115,0.043554045,0.080264102695,0.07634585054600002,0.0,0.000589595102,0.000522726262,2.696287984,2.5849182269170004,2.6076619506239997,0.377550351,0.807812159197,0.7604277845230001
61,0.150644827,0.24317274425000002,0.23265897269100003,0.605165684,0.41067521275,0.431852979846,0.19984599,0.304172391375,0.292287988431,0.385932836,0.234828765125,0.25136648822700003,0.219232848,0.17584644762500004,0.180486491619,0.01552361,0.030721866124999997,0.029004137829,0.004224849,0.0274906395,0.024880646115000002,0.0,0.0,0.0,3.807153327,2.5301635361249994,2.669379239376,1.2239165,1.4124056905,1.3900709846640003
62,0.179049135,0.19631266800000002,0.19420010316900002,0.46933786,0.41434065600000003,0.420031004988,0.312840751,0.337348618,0.334290896145,0.330293676,0.25031574425,0.25894297893,0.13904418400000002,0.16402491175000003,0.161088026058,0.003000271,0.010924915625,0.010034355156,0.016149472,0.020917613875,0.020367432513000005,0.0,0.0,0.0,3.190749401,2.55013952925,2.6186970854849996,3.138532929,1.977018643125,2.103969710214
