fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
1,0.842632675,0.873894842372,0.872145320675,0.007818936,0.05052175000100002,0.04934437223700001,0.081934063,0.043769565402000006,0.044750255897,0.007818936,0.036798725518,0.035995988262,0.0,0.013723024483000001,0.013348383975000001,0.0,0.000434797703,0.00042272181699999997,0.016527002,0.064802740489,0.063455235637,0.419925512,0.587991391808,0.5827825717039999,0.20384802,1.347601332752,1.3155569340339999,0.0,0.0029134532320000003,0.0028330281839999997
2,0.85216652,0.8948112256830001,0.891311735789,0.019579792000000002,0.035421890806,0.03385448621,0.08429004200000001,0.053803207304000004,0.056927892235000006,0.009273918,0.026819963966,0.025072110472000003,0.010305874,0.008601926840000001,0.008782375738,0.036492019,0.009503266122,0.012235477847000001,0.169079689,0.052151420538999994,0.063996424722,0.346347831,0.651943362728,0.621700813144,1.031211729,1.362655639462,1.330388587127,0.002809783,0.18296521953199998,0.16485886325000002
3,0.877877461,0.8905134181509999,0.887819601894,0.032090573000000004,0.051959580103,0.04908644663,0.059548283,0.03907764371599999,0.041952212747,0.027202618,0.035074027092000006,0.033924381041,0.004887955,0.016885553011,0.015162065589,0.00061443,0.008909875510000002,0.007720767202,0.051412421,0.056284721225,0.055574989375,0.592064638,0.651997074268,0.642770943488,1.254392019,1.37265319627,1.354774455255,0.001878241,0.103270325724,0.088661208933
4,0.862889767,0.9007892991810001,0.8913074793840001,0.07013147600000001,0.04720737679200001,0.052381619021,0.031261267,0.036900047223000006,0.035574962620000004,0.04777042,0.032885728862999994,0.036244117075000006,0.022361056,0.014321647929,0.016137501946000003,0.000335909,0.0020330671800000005,0.0016492145030000001,0.079510818,0.031338957757,0.04218360828000001,0.56346807,0.689505944246,0.660363051812,1.460473737,1.261891065561,1.306198122823,0.003932453,0.074496200715,0.058554685297
5,0.942808826,0.8846840291870001,0.8882477653159999,0.010780748,0.06852610906800001,0.06589847394000001,0.039646036,0.023347000035,0.024120633508,0.009315616,0.04554958397699999,0.043901881689,0.001465132,0.022976525090999997,0.021996592251,0.0,0.001298313619,0.001239591729,0.031816701,0.05784387067999999,0.056749852418,0.776740146,0.6148001660060001,0.622855420846,1.024479356,1.338608705866,1.324794932338,0.001415907,0.109275229283,0.104413177279
6,0.064957405,0.17278992480899996,0.161824445416,0.14478575,0.189078740558,0.184493315864,0.181390203,0.352884058602,0.335409574913,0.135546499,0.141491403904,0.140809619672,0.009239251,0.047587336654,0.043683696192,0.0,0.002038044731,0.001830757977,0.0,0.020614188305999998,0.018524848315000002,0.0,0.0,0.0,1.3035543330000001,1.482295350243,1.463375072697,1.255310695,1.5541612333529997,1.523307826435
7,0.0,0.130124577568,0.128805436938,0.0,0.166657657356,0.164909933368,0.0,0.33130913723,0.327914287385,0.0,0.133077865834,0.13167967869000002,0.0,0.033579791521999997,0.033230254678000004,0.0,0.000890609722,0.000881621812,0.0,0.013688692060000002,0.013553632716999999,0.0,0.0,0.0,0.0,1.2413963337240002,1.2284079509549999,0.0,1.45245927496,1.437427284633
8,0.0,0.07953232092700001,0.073582436485,0.0,0.173196249773,0.160278364448,0.0,0.27393312408299997,0.253574223652,0.0,0.13548083822600002,0.125391451336,0.0,0.037715411547000005,0.034886913112,0.0,0.000599688474,0.000554257529,0.0,0.004990977501,0.004613878295999999,0.0,0.0,0.0,0.0,1.14112382196,1.056076212512,0.0,1.1890643285190001,1.100446994399
9,0.585656566,0.892003240611,0.886148489604,0.004592593,0.040335558524999995,0.039592227606,0.30536027,0.053106126021000004,0.058695218732,0.004592593,0.027921902040000002,0.027436660066000002,0.0,0.012413656485,0.01215556754,0.004739336,0.018178900452,0.017904263526,0.186808847,0.100323196713,0.10232568722999999,0.0,0.466324901838,0.456569790526,0.0,1.1704641507720002,1.145792225334,1.014825252,0.466769430117,0.479146416818
10,0.882210455,0.888242096636,0.888241613296,0.027194321999999996,0.042540047929,0.040872139389,0.076245213,0.053346488713999995,0.05601574777,0.02325677,0.02975776454,0.029057770732999998,0.003937552,0.012782283388999999,0.011814368656000001,0.015933568,0.018151096314999997,0.017919480515000002,0.098636373,0.08198103440599999,0.083922441018,0.390077349,0.5636289655639999,0.544822872561,1.327898512,1.2471867872109998,1.2568430502449999,0.721434087,0.256043380817,0.30755192877700005
11,0.900302017,0.897788781639,0.8972360915440001,0.039047341,0.039619659143,0.039487869966,0.04942713,0.04757273855,0.047830441443,0.0286301,0.027071513428,0.027269654632,0.010417241,0.012548145714999999,0.012218215333999999,0.018859958,0.012405812459,0.013380074345000001,0.075883722,0.057322519359,0.060100810578,0.692924809,0.612285266968,0.623759501136,1.517939,1.2308055656399999,1.272899480544,0.21716723599999999,0.13952628558900002,0.151002708706
12,0.910654015,0.889098434667,0.8919247467180001,0.038496589,0.050784197690999996,0.049106269837,0.042786537,0.039475137012000006,0.03993155866800001,0.026658716,0.034925924980999994,0.033798780345,0.011837873,0.015858272710000003,0.015307489492,0.003237708,0.00813768308,0.0074602680600000006,0.005496574,0.055907644330000006,0.04892524809300001,0.789559736,0.6318532083270001,0.6533960245680001,1.307107334,1.3233245065680002,1.321059042095,0.002377205,0.099550456158,0.08627595846900002
13,0.900688523,0.895798521858,0.8960240251910001,0.077005564,0.044606570762,0.050726462357000006,0.012837739,0.03860073829900001,0.03367871546100001,0.049925261,0.030551392038999998,0.034197611610999996,0.027080303,0.014055178722999998,0.016528850746,0.002363805,0.0023785626630000003,0.002380614988,0.028089515,0.04747690670899999,0.043613853492999996,0.671221226,0.6642680304499999,0.665286780577,1.3960378549999999,1.248818463361,1.276207592935,0.220164719,0.021843995209,0.059569945473999984
14,0.944947173,0.892327426495,0.8948225679630001,0.009489336,0.06610605560800001,0.063452510884,0.030247261,0.021382558464,0.021806640716,0.007318773,0.04545211684599999,0.043664135033,0.002170563,0.020653938761999998,0.019788375851,0.0,0.0011197841439999998,0.0010667975910000002,0.166436908,0.051863470269,0.057268036521,0.609318996,0.647040619234,0.6452397503799999,0.40683416699999997,1.343046145866,1.2992042976059999,0.002455424,0.094627952741,0.09025025053400001
15,0.128523591,0.154995113025,0.153690477982,0.34050360799999996,0.206357856272,0.21268467543100003,0.236224644,0.500053118584,0.487594788467,0.242365069,0.135339832028,0.14039488996399999,0.09813853900000001,0.071018024244,0.072289785467,0.007774481,0.005456897606999999,0.005560190124,0.002255193,0.011240238246000001,0.010805201835,0.0,0.0,0.0,3.09120429,1.803862537629,1.864311948834,0.5826315719999999,1.4827023980829999,1.4400894000500002
16,0.248074517,0.14006382380799998,0.16035592351500003,0.165399797,0.24016941071200001,0.22609264001100005,0.489839019,0.405510736863,0.421388592614,0.132781507,0.167816681066,0.16118860925800002,0.032618289999999994,0.072352729646,0.064904030753,0.001697943,0.002515740663,0.0023639790569999998,0.034245518,0.0065252150209999995,0.011735421805,0.0,0.0,0.0,1.471392159,1.8794068628110003,1.802554673278,2.060302712,2.053465032597,2.054273126435
17,0.103764841,0.14283744376000002,0.137378192248,0.19081541200000002,0.191469699164,0.19151492496700004,0.236199988,0.468414099004,0.435690054863,0.135283318,0.145260392821,0.143953715418,0.055532094000000004,0.046209306343,0.047561209549,0.001298027,0.001010367491,0.001052599298,0.00988973,0.011281855297000001,0.011089790496,0.0,0.0,0.0,1.2123628590000002,1.5677300298890002,1.5183668180780001,1.244222623,2.064984617691,1.9485086515180001
18,0.066221717,0.119289996565,0.109239620604,0.17809753699999997,0.18725461006400004,0.18572868995600003,0.345114207,0.414775837154,0.402224227037,0.15281539,0.139902036102,0.142562388928,0.025282147,0.047352573962,0.043166301028,0.0,0.00072839069,0.000588683152,0.000884533,0.007900039523,0.0065635931189999995,0.0,0.0,0.0,1.211187794,1.4929007286959999,1.440916894106,1.2877012090000002,2.3211144864340003,2.12576081815
19,0.000118304,0.075507658492,0.073296002872,0.00197737,0.155266830877,0.15073179723900001,0.004301202,0.453881160196,0.44086231628800004,0.00197737,0.127766498598,0.124029964762,0.0,0.027500332279,0.026701832477,0.0,0.0,0.0,0.0,0.0040776108129999995,0.003964500183,0.0,0.0,0.0,0.074445531,1.274429866218,1.239066495216,0.0,1.676316452845,1.6266704907510001
20,0.0,0.843908337772,0.843908337772,0.0,0.039255946129000005,0.039255946129000005,1.0,0.09352629348,0.09352629348,0.0,0.02774099337,0.02774099337,0.0,0.011514952759,0.011514952759,0.0,0.034055357844,0.034055357844,0.0,0.092987139738,0.092987139738,0.0,0.406007075102,0.406007075102,0.0,1.044199600127,1.044199600127,0.0,0.49776389672599997,0.49776389672599997
21,0.857312778,0.880385399182,0.8756973073889999,0.049458532,0.045707077045999994,0.04634790500199999,0.068179794,0.061114074825999995,0.06257782911,0.034063454,0.032809361169000004,0.033010266438,0.015395078,0.012897715876999997,0.013337638563999998,0.006864177,0.033410389178,0.028662128340999998,0.096197756,0.115299393137,0.11174081632899999,0.387400547,0.46559203145899997,0.451335887327,1.190222545,1.2211570421929998,1.2146921865249998,0.631116145,0.32283369848300003,0.377397366063
22,0.925217082,0.8877503183270001,0.8912633778340001,0.040242959,0.043997710614,0.04338880373100001,0.030038733999999997,0.056294499595,0.052575325494,0.025727888,0.032668475556,0.031637442582000005,0.014515071,0.011329235058,0.011751361149000002,0.027909471,0.021121309688,0.022024512511000002,0.10452644,0.078928396883,0.082354829466,0.565880082,0.547830702073,0.5493184853540001,1.077875007,1.277171266112,1.24701128469,0.213798377,0.279502085871,0.269935781819
23,0.894365728,0.890351119743,0.8924703930329999,0.05336584,0.05689424628400001,0.056525657007000005,0.045922948000000005,0.038079272874,0.039066574531,0.040379846,0.035711708104000005,0.036309543331,0.012985993999999999,0.021182538180000002,0.020216113676,0.010382408,0.013224362993,0.012941433573,0.018497023,0.081849245446,0.074560273693,0.675178951,0.5931633268709999,0.603856070245,1.3368529859999998,1.36605629705,1.364716804797,0.106456196,0.15758438696900004,0.15191585424400003
24,0.899210705,0.8813051848810001,0.8852381074019999,0.045262931,0.07029552468200001,0.06739846298400001,0.035279410000000004,0.03397674596400001,0.034212408811999995,0.023758128,0.04443312865599999,0.041997245717,0.021504803,0.025862396026,0.025401217267,0.005948027,0.006469819749,0.006421221895,0.043507723,0.057817492421000004,0.056206438919,0.642419223,0.629738244122,0.6326279614779999,1.206967413,1.428528042043,1.4047698376959998,0.082520113,0.13076346673300002,0.12511264134800001
25,0.918607689,0.8736344033900001,0.8749309257169999,0.043204455999999995,0.08074249335300002,0.07814096609099999,0.016256328,0.030880001302000002,0.029844872212,0.037841319,0.046887544090000004,0.04623671326999999,0.005363137,0.033854949263000006,0.031904252821,0.0,0.002831064007,0.002637425019,0.055107602,0.067956804585,0.066934513411,0.735249958,0.594588289806,0.602926749151,1.020660596,1.452175768748,1.4211019654199997,0.002516155,0.128119703851,0.119516082968
26,0.159136066,0.206775087726,0.20455845563599998,0.078393238,0.327288524077,0.31686135163099993,0.609258539,0.41489278741100005,0.422409496171,0.030912608,0.128400197623,0.12429116005,0.04748063,0.198888326454,0.19257019158100003,0.026762246,0.029641309086,0.029485264732,0.0,0.031721643354999995,0.030385437395,0.0,0.0,0.0,0.880632961,1.991718212996,1.943820415789,0.7892227249999999,0.471180367436,0.48388358205500004
27,0.119278536,0.180953057295,0.173995488968,0.167576502,0.32219272746499994,0.30495780740699996,0.626525243,0.44975481941499995,0.46876023496700003,0.039098545,0.162196268458,0.148542551085,0.128477957,0.159996459007,0.15641525632199998,0.022611877,0.017336700954999996,0.017893340163999998,0.0003289,0.018044567428999996,0.016085113508,0.0,0.0,0.0,2.018173137,2.0924683458619997,2.082578030166,0.457472664,1.064165085926,0.9968929447539999
28,0.136416463,0.17636061818299997,0.170847313762,0.285341239,0.26241853425499995,0.265991997765,0.543564436,0.46651179478199994,0.477665945235,0.186692245,0.143849920944,0.150213823744,0.09864899399999999,0.118568613311,0.115778174021,0.004761081,0.008068213121,0.0075885961229999995,0.003919534,0.017421868921,0.015512291434999999,0.0,0.0,0.0,2.268552709,1.7595242937209998,1.833974480644,1.901459352,1.477851472441,1.5403271931419997
29,0.121121298,0.17070246140599998,0.164312733578,0.20793045200000002,0.222147487436,0.22019871578700004,0.478363383,0.45748409833299997,0.459598382902,0.140775372,0.159876822042,0.157361834088,0.06715508,0.062270665393999995,0.062836881699,0.00205156,0.00252560286,0.00246561783,0.00387517,0.014773238193999998,0.013388649215,0.0,0.0,0.0,1.704048741,1.69142644535,1.691812922754,1.118916142,2.135887353546,2.0063518255479997
30,0.218953373,0.129900545984,0.139921041532,0.28558019700000004,0.17180231873600002,0.184715144554,0.44956500400000005,0.508516476851,0.5021151609700001,0.205375347,0.130493750637,0.138995898358,0.08020485000000001,0.041308568099000006,0.045719246196000006,0.001651887,0.001069548895,0.0011332841120000002,0.011204573,0.012121034958000002,0.012005098614,0.0,0.0,0.0,2.253050597,1.351820630975,1.454490999064,4.371420905,1.7449059736300003,2.044478522876
