rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA,ROADS_SURR
0,1.0,1,0.04355310777759146,0.03801691934404249,0.35482339849270716
1,1.0,1,0.04450959551291821,0.031432577802336395,0.36743762643306205
2,1.0,1,0.04948652309863865,0.03141393666497804,0.3486348490737344
3,1.0,1,0.0483962323306872,0.031250892928328236,0.36718662878479635
4,1.0,1,0.0477560336431767,0.038392987030118474,0.375109782006257
5,1.0,1,0.049526931322861276,0.03531663059334356,0.32660950378235604
6,1.0,1,0.05145243535716939,0.032327266052837283,0.3807692802983252
7,1.0,1,0.04543395513096147,0.033381064835193604,0.37285916496127436
8,1.0,1,0.05081472119795682,0.03272049097942339,0.32060434417603906
9,2.0,1,0.040027741521337916,0.05966449125194073,0.3478292488330582
10,2.0,1,0.03444169199356471,0.056668430326621215,0.3700754064402078
11,2.0,1,0.03477537529442416,0.04891324644846275,0.35753084759303033
12,2.0,1,0.041183056515225136,0.05510563417777623,0.3022913355567464
13,2.0,1,0.04071751847927064,0.05230658595251973,0.33391634193676645
14,2.0,1,0.036396429449565344,0.05012888394083416,0.34404750120746835
15,2.0,1,0.03890566980575505,0.05141063945002711,0.3633181882828088
16,2.0,1,0.03656295354041804,0.051286945733989835,0.3686510181896776
17,2.0,1,0.034177943036806734,0.054628217269443474,0.3096923444252497
18,3.0,1,0.04231926230465094,0.03391700649850136,0.34690177779496195
19,3.0,1,0.04072748077821962,0.03473143485372635,0.3136105276559709
20,3.0,1,0.04466458607356664,0.03739163962754179,0.30683983831763434
21,3.0,1,0.045329090990506415,0.034482489370393374,0.34832855764860926
22,3.0,1,0.041464444520160314,0.041766760000473586,0.315586742326531
23,3.0,1,0.04526635089221896,0.038482931683113175,0.36457038204135206
24,3.0,1,0.04580245470968657,0.03698425441049618,0.3565688429867758
25,3.0,1,0.03911287695807708,0.04022777126054516,0.32435244347711556
26,3.0,1,0.03829295953586734,0.04021849100991369,0.32149505123143535
27,4.0,1,0.052592815879812516,0.030679965038407954,0.3742518381959176
28,4.0,1,0.046808785754343406,0.03429547614974411,0.35674238577651507
