rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA,ROADS_SURR
0,1.0,1,0.0460594678326998,0.03226073886094363,0.38335780385979507
1,1.0,1,0.04858618590345446,0.03578056969930543,0.4468547845033545
2,1.0,1,0.04340565715653761,0.03721490517618548,0.449760117944033
3,1.0,1,0.04909053041269736,0.03339316173456396,0.38715104838739395
4,1.0,1,0.04524299697627264,0.035098107954320105,0.37921856197628595
5,1.0,1,0.048744249441744505,0.03914032494361131,0.40436090224844157
6,1.0,1,0.04866276072889995,0.031284729172319586,0.40646260179427224
7,1.0,1,0.04821407077430363,0.03797928527804344,0.3559179602456768
8,1.0,1,0.049893075198383284,0.039321998984347156,0.44446741306143006
9,1.0,1,0.04778950326338845,0.03618562985944793,0.42768989384072087
10,1.0,1,0.04846308036888602,0.031676063530068375,0.37598597054723776
11,1.0,1,0.04392536717596383,0.035219704389551944,0.3711071293940331
12,1.0,1,0.049918746845105555,0.03934759439337485,0.4299547420207143
13,1.0,1,0.047985884822845395,0.031070977920104006,0.3853567341446638
14,1.0,1,0.04319224167799651,0.03761079333243516,0.3888545377337178
15,1.0,1,0.04235611216564008,0.03922381681923291,0.42412530426290634
16,1.0,1,0.047213561407539476,0.03991238425738163,0.45184357177211604
17,1.0,1,0.048645831169254444,0.039083459885715516,0.36796457226966267
18,1.0,1,0.049555967200692594,0.034206993209648554,0.41545081183815025
19,1.0,1,0.04724423034300226,0.0335060191563108,0.3990876614477263
20,1.0,1,0.04616240891323967,0.03162696283029104,0.38123211809857077
21,1.0,1,0.05053103221255338,0.038184762910540584,0.36759281788615983
22,1.0,1,0.04332894014800012,0.031969967676016606,0.45078269000484955
23,1.0,1,0.04473771016858987,0.039442763689107325,0.4344156587553248
24,1.0,1,0.04996385554896079,0.03442288805856047,0.3902372366770929
25,1.0,1,0.04947277930962405,0.03569847296458609,0.35274120686321453
26,1.0,1,0.05072557873591004,0.038588947948556315,0.45384427487511037
27,1.0,1,0.04473175919961,0.032135653979948386,0.3809510739761073
28,1.0,1,0.04927250157740387,0.03554256223442632,0.44572520439210406
29,2.0,1,0.0372665741828023,0.05129640919362613,0.4105757427016213
30,2.0,1,0.03383536042593127,0.04868708531914849,0.3392521611099311
31,2.0,1,0.04013255134672121,0.0501603614021201,0.36274138988607935
32,2.0,1,0.03868525611803633,0.05560590449770159,0.3444302772431174
33,2.0,1,0.03687438358937003,0.058032585586585306,0.3376541488783941
34,2.0,1,0.03387635544377888,0.06021168224027125,0.36440239018179643
35,2.0,1,0.037311047204542785,0.04969050990046152,0.40320779038507026
36,2.0,1,0.03982923373348107,0.05222681973160371,0.36160093039270724
37,2.0,1,0.033604266583567466,0.05029531711965425,0.3837518126502869
38,2.0,1,0.03773221758883121,0.05413659442374835,0.36974831465411284
39,2.0,1,0.040701934844058575,0.05052143414911215,0.4363030223428761
40,2.0,1,0.03343196351570636,0.05063657239069225,0.42758168788119594
41,2.0,1,0.038293535675302574,0.057519696614995945,0.4228892688418986
42,2.0,1,0.035395615204904814,0.054479914031689246,0.3515041587002251
43,2.0,1,0.03329525554915349,0.04969670951319358,0.341981562892301
44,2.0,1,0.040057630470398654,0.055204992268763,0.35706000287005585
45,2.0,1,0.039028139674709916,0.05244578907064377,0.3674297951017007
46,2.0,1,0.03745350083325194,0.04970610315899705,0.40698618266758957
47,2.0,1,0.03824255409483284,0.05623774023267091,0.3414338595942882
48,2.0,1,0.0339880518169478,0.05548337375201953,0.3864056662461149
49,2.0,1,0.034568896944306884,0.04995585441622887,0.4220526283332149
50,2.0,1,0.035090048600556104,0.05006654429762667,0.3559446165186731
51,2.0,1,0.04030222305852732,0.05964096795420343,0.3593314518804303
52,2.0,1,0.04029081886779721,0.05908333854332709,0.3564131044619495
53,2.0,1,0.039257958326222975,0.05601504905171027,0.40548973881222333
54,2.0,1,0.035388829264924086,0.05451596434932266,0.3868380624780915
55,2.0,1,0.03799639966914186,0.05693501280218508,0.37614361379172245
56,2.0,1,0.04036093392718088,0.05082152330560595,0.33812150367131216
57,3.0,1,0.04266932825746988,0.037412495108160186,0.36265966920946424
58,3.0,1,0.0401505547579327,0.04010331654030043,0.3897660975904309
59,3.0,1,0.04340225195906372,0.04142929800511231,0.38434923607165755
60,3.0,1,0.04581398876879675,0.0375842760842442,0.4323499298913379
61,3.0,1,0.04022461958863814,0.035824768592346304,0.3448417593130267
62,3.0,1,0.04209884076709198,0.040516367959200196,0.4369421112645546
63,3.0,1,0.04352060046135158,0.03824360488295045,0.3804097497146725
64,3.0,1,0.04284117875892764,0.03841112345390868,0.3544566294840955
65,3.0,1,0.04402762659466442,0.03876451647448351,0.4180882270404324
66,3.0,1,0.045691443912833314,0.034401217036482454,0.3811160058841354
67,3.0,1,0.03860089006610343,0.038853489250828155,0.4423293943906808
68,3.0,1,0.03847576160091274,0.042534567544137626,0.3688487591212223
69,3.0,1,0.03780634315727339,0.03381569763149336,0.37439205575601425
70,3.0,1,0.04105215671942624,0.03423199528601885,0.37996379091530796
71,3.0,1,0.04585230730420018,0.04237082394041198,0.3867525247965009
72,3.0,1,0.04109603789780165,0.03415856533611902,0.3911560501282121
73,3.0,1,0.03837858960994467,0.036450345594200434,0.36768600774828397
74,3.0,1,0.04202913507670068,0.042179176292649445,0.4348676326950797
75,3.0,1,0.041208792114014174,0.040550481200422483,0.3628757744602062
76,3.0,1,0.04496248622126206,0.043285877177129777,0.3959929804098637
77,3.0,1,0.04586889569799124,0.04181511667792486,0.4397248167616442
78,3.0,1,0.040377771514498256,0.0366924016125883,0.44061394636830276
79,3.0,1,0.0428889423083748,0.034794017165185404,0.3935366822295405
80,3.0,1,0.043862279580467144,0.04029535889640714,0.3825870708943283
81,3.0,1,0.040852135182083346,0.03389137732873642,0.36606843355046487
82,3.0,1,0.040961887590192016,0.03789569367158252,0.43159912985018145
83,3.0,1,0.03798137140436512,0.039250417935784314,0.39413330569761035
84,3.0,1,0.04565917581816391,0.03998088553854117,0.3926294036735258
85,4.0,1,0.05215316890767098,0.03469236583373274,0.3809346350384622
86,4.0,1,0.045252476098225886,0.03405767787712824,0.45729555447034753
87,4.0,1,0.04821626985932424,0.029542806840050277,0.4149788539187646
88,4.0,1,0.0532393012476407,0.03554439369339058,0.4369875490069641
89,4.0,1,0.05260226885426466,0.03252818653828722,0.36774991216413894
90,4.0,1,0.05296074405418799,0.02891634732415757,0.3727139721896462
91,4.0,1,0.04975751568087297,0.029973845340992636,0.40931706376413113
92,4.0,1,0.05243868650381761,0.03572660932445785,0.43829132069022625
93,4.0,1,0.04519713645054407,0.02814845128857241,0.36174201343331025
94,4.0,1,0.052066105147800065,0.033189866846234796,0.4295767830030978
95,4.0,1,0.05191100171840374,0.03241116513028552,0.43412318926925925
96,4.0,1,0.045134159892455575,0.029656866627857315,0.41956780373190067
97,4.0,1,0.04859607031047013,0.03485748472585036,0.4559087352789933
98,4.0,1,0.04859119809191929,0.035565420285221784,0.43910237247244055
99,4.0,1,0.05167272596411122,0.03357816319263494,0.42322152686875947
100,4.0,1,0.04737789571004882,0.02868334604221476,0.36188315108629937
101,4.0,1,0.05103148750657849,0.03446613555458249,0.40709752967959667
102,4.0,1,0.04881063508298107,0.03153043095519596,0.42635662698742194
103,4.0,1,0.046153173290778386,0.03313075779691973,0.37189055024351186
104,4.0,1,0.04851058903924898,0.03299643054522894,0.43607305065260576
105,4.0,1,0.04903317436482303,0.03047957925002458,0.44437640397567324
106,4.0,1,0.04377679570257513,0.031012322469281275,0.4160663437343025
107,4.0,1,0.04718764783958352,0.030506909578133592,0.4137423720570404
108,4.0,1,0.05050950361134211,0.03347096463280343,0.4322565783670227
109,4.0,1,0.053650611885250284,0.034237232940051154,0.39829957536986704
110,4.0,1,0.047639690091804965,0.029459531997048607,0.44815478748067583
111,4.0,1,0.0485048982153478,0.03217073972276072,0.4386579343828179
112,4.0,1,0.04403092844168779,0.03545531049511718,0.3702502553627158
113,4.0,1,0.05070124742000173,0.03153688443472092,0.4429201923274601
114,4.0,1,0.049156320852305965,0.03194601750429708,0.4187673135720279
115,4.0,1,0.049396764318221445,0.028403522982012472,0.3683671538342605
116,5.0,1,0.05794259221734371,0.03550044778685958,0.48907592697925584
117,5.0,1,0.05845448569319011,0.03698443932713739,0.463713426011307
118,5.0,1,0.05094911967927819,0.04167928558009547,0.483191459997939
119,5.0,1,0.04962164581272619,0.0366981102339311,0.4150066658973658
120,5.0,1,0.05724802138783508,0.03858806541431922,0.4893467383371417
121,5.0,1,0.05679650586849813,0.04205942195348283,0.45598566603186114
122,5.0,1,0.04851616296278917,0.04268478402223683,0.4301778405331116
