rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK,ROADS_SURR
0,1.0,1,0.04489127517606534,0.023913555949666675,0.32758210164329987
1,1.0,1,0.04909382998798537,0.026907111909373865,0.3406201410146908
2,1.0,1,0.04741440757882194,0.025799958777575665,0.33649605381998576
3,1.0,1,0.04985652997572077,0.028216591744161634,0.3575346286915129
4,1.0,1,0.04459385990915589,0.024628701322950974,0.326450384899063
5,1.0,1,0.04218020629969969,0.024236834246781455,0.3123424015559482
6,1.0,1,0.047417023460613196,0.027903865383049894,0.3114424812671253
7,1.0,1,0.04981695049406097,0.02380421977223355,0.3230417309702885
8,1.0,1,0.047384416251480925,0.023899663644354422,0.34476560541383894
9,1.0,1,0.04534354479937459,0.027063698086845944,0.37927135445840804
10,1.0,1,0.04420247594433047,0.02612828588438461,0.3453673138036702
11,1.0,1,0.05135314383433171,0.026636833806121283,0.3582042167236641
12,1.0,1,0.05004885366251838,0.023133748916087618,0.3819535714608342
13,1.0,1,0.04424431905104246,0.023044717832210865,0.3828689350778865
14,1.0,1,0.04530124016323087,0.02838119487538304,0.3756745029671554
15,1.0,1,0.04735671909981293,0.024746232738845027,0.37203603885431247
16,1.0,1,0.05021940413082467,0.022291519353136967,0.34624125297342007
17,1.0,1,0.04493902680537671,0.02593802243504518,0.36935423140888524
18,1.0,1,0.04793499088575903,0.025575509828454246,0.3723862596636918
19,1.0,1,0.047199986773695114,0.024663267117560783,0.31868592914468097
20,1.0,1,0.047962885757609916,0.022934575435271193,0.35073680430036447
21,2.0,1,0.034131449500043334,0.03501562702008726,0.3623799288522432
22,2.0,1,0.03840604655301099,0.035318928364092964,0.3389087750698699
23,2.0,1,0.03478817872233596,0.03776857865885634,0.3632442353503502
24,2.0,1,0.03555216439511888,0.03232495648232146,0.30658211283106984
25,2.0,1,0.03617902836743048,0.03498754048913165,0.37155847972580625
26,2.0,1,0.03851205307126997,0.034416825192077484,0.34464320360899536
27,2.0,1,0.03976588029424489,0.032024941754798454,0.3227492935967041
28,2.0,1,0.03935051588508279,0.03709538577066425,0.36358494052795826
29,2.0,1,0.040476023000951634,0.03435791740618442,0.3545738524468986
30,2.0,1,0.03470495213297601,0.03712447202676619,0.38170529847238105
31,2.0,1,0.034772689821015494,0.032889370853180236,0.33521938623147607
32,2.0,1,0.037230584598847274,0.037820792406976216,0.3287982892101665
33,2.0,1,0.04071154979701949,0.033406732366130065,0.32142953503547367
