rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.9642035566329322,0.06926542361738704,0.04467550713716819,0.030840594303282367,0.35077499171290705,0.009608556983682692,0.08895187924662427
1,1.0,1,0.8440828166288091,0.0710533430872424,0.046229951188687786,0.02726713642838802,0.35956107194740927,0.009116224536508153,0.08249510746172857
2,1.0,1,0.9331423393582262,0.07707416458965975,0.047089464027284166,0.03000076863202085,0.33959552768294976,0.00833341139283574,0.09867382669872073
3,1.0,1,0.9634864698065112,0.06862781467090814,0.04841064337478284,0.026483396009156928,0.3457591769349558,0.00966452848040076,0.08941022422688391
4,1.0,1,0.9672608249796212,0.06799432418114755,0.04755977016268027,0.029825626608293708,0.35944298707044414,0.009557896662528953,0.09044517243250025
5,1.0,1,0.9533241739340407,0.07345573218824311,0.04127384995739515,0.026245430666012808,0.3468426373780155,0.009164188541893334,0.08828325313263559
6,1.0,1,0.9410888393667355,0.06845206739049121,0.049945033710146934,0.029771227251708644,0.38029365896616346,0.00982989625332448,0.08627162241945353
7,1.0,1,0.8652407170638986,0.06877268240420192,0.04546906643560754,0.031469392914543114,0.35312818268811885,0.009662726635601474,0.08814982031158669
8,1.0,1,0.8804731425684148,0.06748800479032367,0.049369192534882866,0.027723076106394677,0.3446509183239718,0.008449448706372046,0.08351465477436425
9,2.0,1,1.0,0.05747289850249126,0.03667586607678322,0.03587620638315995,0.38142903199247497,0.04244484727813227,0.10721573532796085
10,2.0,1,0.8458677424818273,0.05863410114999572,0.03702284676408208,0.03668392053023894,0.34133159674873864,0.04087561520499078,0.10628105261879443
11,2.0,1,0.8600173050890396,0.055508849269814586,0.03653142244402871,0.03987454743129244,0.34037257676997335,0.04276143734866031,0.10236600345332847
12,2.0,1,0.9222504310380761,0.05652776999654488,0.03714335996349768,0.04019114046675259,0.34328337092904393,0.03787689754298735,0.09689408760411058
13,2.0,1,0.9273588888644216,0.06286014242089852,0.03145189505494359,0.03640222017808559,0.3704497899415405,0.04089342911845581,0.10018143214828275
14,2.0,1,0.8959291148817957,0.05219443681992108,0.03515910300390896,0.03713857904260709,0.3511011342348933,0.039255788276759365,0.1058804199888391
15,2.0,1,0.8187211480220524,0.06323675733639048,0.03119852027668118,0.041383128287990144,0.3803046942033232,0.04422120327588242,0.09169716058554385
16,2.0,1,0.8309797460776981,0.06050433340644878,0.032991587628242856,0.04261717467948603,0.36123572353372524,0.0453963066903111,0.10096784742678737
17,2.0,1,0.969247080920052,0.053252545337799,0.03377679718117392,0.04021788226811772,0.35089547020920836,0.04365990870887856,0.10976367112802216
18,3.0,1,0.9500359932489457,0.06680065356471343,0.04374892057250109,0.03093153820592176,0.38875412701638246,0.029520730115596697,0.09410229755377479
19,3.0,1,0.925086535267747,0.06709056252368217,0.04207253102418333,0.030689727934189552,0.3660256045870048,0.03131407532705725,0.09481330925624011
20,3.0,1,0.8559177517196583,0.06458610824477144,0.04064194566206493,0.028964699476185945,0.3806772955700592,0.028754507693322863,0.09664850159200146
21,3.0,1,0.8767112786609128,0.0638229972181875,0.04108472073641941,0.031040428386316914,0.33630745332023515,0.02881266431001385,0.09063936093377643
22,3.0,1,0.8823017056731687,0.06458349438812239,0.036517247839265556,0.03308510084130131,0.3371570797785891,0.03292511279774629,0.09529699600919615
23,3.0,1,0.9479713045609303,0.07072688729175147,0.04053551432857584,0.03380622377761746,0.34904676511723975,0.028036204979650637,0.0860721499149892
24,3.0,1,0.9397357890976621,0.06283935649551364,0.041675017146111756,0.035735360131930016,0.3805307022412815,0.02935108911001191,0.09599356800913367
25,3.0,1,0.997561061345089,0.06765576228069863,0.04276973271221654,0.03493226170788506,0.38896475022176674,0.028847127849522567,0.09070292193210498
26,3.0,1,0.9939315988678458,0.06572160238417395,0.03967770717911741,0.03475947935662608,0.3306498005830736,0.02780141930961437,0.09086412880993515
27,4.0,1,0.9537977506287946,0.08246652266783205,0.05264735988641376,0.02355200197934969,0.35334967882658946,0.01037191540537398,0.07610097481186627
28,4.0,1,0.8732629697192063,0.07122871798455051,0.049189383162001735,0.025954285989310925,0.320483772992856,0.00944273138643586,0.08581095840525925
29,4.0,1,0.9025069126545658,0.08014167483146446,0.05100873857608415,0.024524111893280954,0.371064549198619,0.010203556993842185,0.0756007046946152
30,4.0,1,0.9358684097078426,0.0809886633040333,0.045051909051357635,0.02445997799149991,0.3439900571943673,0.0107989949225498,0.07365469537383033
31,4.0,1,0.9828439894544846,0.0818943091609887,0.044242381299857164,0.02433476012842405,0.3668160029173184,0.01049307439204873,0.0723409615670063
32,4.0,1,0.9330048487275989,0.07505179437391069,0.046676241994778774,0.028816359192591286,0.3668331113564607,0.010936219651359831,0.07777026678130805
33,4.0,1,0.9528549496339116,0.07463825155585549,0.052075437484450766,0.024225508609832226,0.36885066225496427,0.009867655136712717,0.08482587489817289
34,4.0,1,0.9755682459747343,0.07927756417998218,0.04962176470911869,0.028398196002587552,0.3331261695950585,0.009776740048181782,0.07129623741632135
35,4.0,1,0.8354101038520334,0.07007873144260666,0.052687630465039534,0.02415372253795233,0.3645685760903761,0.011094391907765051,0.0816273980136029
36,4.0,1,0.9228674976211945,0.08010316019271703,0.050782235489419354,0.02720532028394945,0.3802172156333991,0.009522603659883805,0.08346765565273023
37,5.0,1,0.8950990643757422,0.07484534287653104,0.0543275237501925,0.02192117940341054,0.3343498879768936,0.00585935325698808,0.08416029019272721
38,5.0,1,0.9858332864392229,0.08503563451703443,0.05183468329851909,0.0188603148094849,0.353142799541307,0.005867174901681886,0.07881115533634235
39,5.0,1,0.9719901743063863,0.08081882447345198,0.05261446359397094,0.019990939882803566,0.32788484384621913,0.006508599594332273,0.08735663935156289
40,5.0,1,0.8596281395517268,0.07718328951601837,0.049025846671602334,0.021287118952881403,0.3148634324124793,0.005696276749757285,0.09328419264496093
41,5.0,1,0.8680302865703144,0.0746573163656199,0.05410218904552875,0.022465323624816343,0.35960133456873106,0.006014397057807938,0.09286530879716016
42,5.0,1,0.8626961853747085,0.08181602893921087,0.0555336385315818,0.019151733174601077,0.3215303109812483,0.005615144284927054,0.07885762081431096
43,5.0,1,0.8405622716335933,0.08047928751559211,0.05677156314225219,0.0214710164297714,0.3793276525581676,0.006195951661353284,0.08733951195319069
44,5.0,1,0.8589186284620065,0.08792719901764658,0.054137619055424045,0.018581838263979595,0.3083358099380202,0.00627934630757424,0.09159401193580502
45,5.0,1,0.9709863013044286,0.08842865869210473,0.05390055850599437,0.022233438214619684,0.35709254109433586,0.005915854758922777,0.08672194243295614
46,5.0,1,0.9093737827447841,0.07541607642386201,0.051521881428364946,0.021824341399533057,0.3387427444305636,0.006155090074594573,0.08636881070451478
47,6.0,1,0.15452365187872283,0.261330313132049,0.1410568825357065,0.3200507998851542,0.39880469684565184,0.0076384249927079,0.021970995924962378
48,6.0,1,0.13588109910719687,0.2901812720910415,0.16388130158221037,0.3365508114977165,0.42493686385652296,0.009078609177840606,0.025111758454960182
49,6.0,1,0.14368811563679224,0.2970341187510659,0.13927923832981332,0.3132591764157206,0.363590077614985,0.00833426243293545,0.021743107062128782
50,6.0,1,0.14832927205321225,0.3051136367894631,0.15622661700675292,0.31692676025051353,0.36590046562216705,0.007769608721281498,0.022766506826928774
51,6.0,1,0.1547283466975809,0.27075074451696146,0.14093436641714702,0.36027890927302153,0.3828741574874383,0.007479743144957417,0.02316593649784409
52,7.0,1,0.11115467866840803,0.2750190978109299,0.12474224720459955,0.31086422072261116,0.3844348152888647,0.004581015495450948,0.0184794879671296
53,7.0,1,0.11012477335027678,0.26654252656815575,0.13414401942296006,0.3294081091971584,0.3611994804198551,0.0043893429332170905,0.01833273235943333
54,7.0,1,0.12622664451329993,0.2633667321110986,0.11139098737070222,0.33851346013991485,0.35709550647131266,0.0047537938440226045,0.017906289519125672
55,7.0,1,0.10746275212848459,0.28432822868135954,0.12200313062825757,0.28518825230915706,0.3227212828458707,0.004570015133206641,0.017577896336674954
56,8.0,1,0.10065271939457186,0.22895210396232948,0.10422919729784695,0.3310417585090014,0.3558725273367077,0.0028095514320901163,0.01114494478085187
57,8.0,1,0.0857861579892088,0.23019237389242708,0.11349630274444164,0.2953409760960528,0.3185497990521162,0.002730562415223937,0.012788200975341054
58,9.0,1,0.817380875602735,0.06429058071754858,0.03205887740427369,0.05228775215823597,0.3026805574894334,0.09520582729694499,0.16167652358272883
59,9.0,1,0.8136760193798377,0.05595283032176114,0.037835657104408636,0.04911480208159651,0.30618988841280015,0.09074297217016479,0.1485010100666764
60,9.0,1,0.8862559366657705,0.0594546604927556,0.03485324700327057,0.0453862052246389,0.31354425454087664,0.0965811471908232,0.16000101272708064
61,9.0,1,0.9777768146507637,0.05617122748064266,0.03325814403298817,0.04685182196035908,0.32461017329041114,0.09448550844449818,0.16563627712207388
62,9.0,1,0.8224799606237723,0.061392487856493795,0.03488846587870684,0.04451258777674319,0.32796686247346996,0.08370041281443967,0.15546030109324718
63,9.0,1,0.8282469216084265,0.062074590172325125,0.03807142919497688,0.04852368777271594,0.3366780181782269,0.0907665324204482,0.158102890964602
64,9.0,1,0.9442668287671985,0.05565882336031512,0.03509099247767284,0.04752878522414188,0.31032012785231505,0.08639580468896367,0.16800311409660504
65,9.0,1,0.8273115918368336,0.06215953184478709,0.03454487919456247,0.04925209445507731,0.3000961925331451,0.0945970267036186,0.16636112648246093
66,9.0,1,0.9442593016579374,0.061488004042579904,0.03824917701434257,0.05214355241801349,0.2768612767469156,0.08997621334113948,0.1636890688119386
67,10.0,1,0.8696584986845693,0.053584906236708446,0.03323392746989884,0.0423130136071511,0.3268972792989522,0.07009914738714955,0.12175174983079046
68,10.0,1,0.9574367279625965,0.06139709169856028,0.03240867212176397,0.04506171346425483,0.3300846807912944,0.07283747071756018,0.12341658149412203
69,10.0,1,0.916815547354373,0.06328937907698143,0.035598640979830114,0.04808082197355677,0.2982071053888637,0.06828240436344125,0.12206182008946308
70,10.0,1,0.8993354972464908,0.0572044891353578,0.03396645347826778,0.043961136126161315,0.33265294603904694,0.06446388083414956,0.1323004864025751
71,10.0,1,0.828130587116588,0.06277950260045367,0.035755905096384634,0.04594309967695959,0.29472461609691397,0.07219134069199018,0.1289058330191417
72,10.0,1,0.9164302449829009,0.05442294238208544,0.033745679052986956,0.03961062089700484,0.3051855546153445,0.07268549210327241,0.12187215435438914
73,10.0,1,0.8651574464042676,0.06165573805828849,0.033883070919575375,0.044090011534965966,0.34186480600753255,0.06864393807162278,0.12287168781261894
74,10.0,1,0.828095200833921,0.05749058765708137,0.034444688229740464,0.04670275505299489,0.35233360596001845,0.07507295641454872,0.1399403075036957
75,10.0,1,0.8231491836836172,0.06158152998260975,0.03504092203716861,0.046748807596859225,0.31938817211278936,0.07552381025529087,0.1217643343374366
76,11.0,1,0.8228861308240486,0.06846820447300925,0.040565790831109026,0.034567927363955746,0.3200756437733388,0.044299580930658326,0.11279275561569788
77,11.0,1,0.8994338491017932,0.06148861598531029,0.038710687098021355,0.040628051348082846,0.3147602710245167,0.04833811006676844,0.10605178568956321
