fid,X,Y,f,BUILT_AREA_SURR,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,8.481,45.309,0.3448275862068966,0.07694147774882681,0.04013245376873671,0.03959870294714681,0.39680193511007955
2,8.547,45.177,0.3448275862068966,0.05391943428702246,0.05021839630129095,0.024787974896780855,0.4012346837940466
3,8.547,45.243,0.3620689655172414,0.07913366952170742,0.035416075313690475,0.04874505266452755,0.4041784697575748
4,8.547,45.309,0.3620689655172414,0.07188820916659365,0.033227128039908384,0.04132998199733206,0.37156450097164834
5,8.547,45.375,0.3620689655172414,0.1043918752386032,0.01960343522584489,0.06636075486902668,0.3941540513010002
6,8.547,45.771,0.2586206896551724,0.2881927892575013,0.35085821464857986,0.13753769047318082,0.43646266079297374
7,8.547,45.837,0.2068965517241379,0.2540084206967602,0.3291708334137569,0.09702646493799508,0.36552981619148694
8,8.547,45.903,0.1551724137931034,0.2639775043060328,0.27149574624203227,0.1089870928697137,0.3360045213292075
9,8.613,45.045,0.3448275862068966,0.06141107181309547,0.04951768146319654,0.03581187936202383,0.3446437968823063
10,8.613,45.111,0.3448275862068966,0.06477215288110853,0.049759297053253,0.036877985343161224,0.36723481832599375
11,8.613,45.177,0.3620689655172414,0.06031957377501192,0.04395545105992322,0.03620083570499736,0.36241135884961767
12,8.613,45.243,0.3620689655172414,0.07734161936919559,0.035815640554277085,0.0457740549936657,0.3896536106212116
13,8.613,45.309,0.3620689655172414,0.06792288282247719,0.03493668401426947,0.04055932632564046,0.36771526624338396
14,8.613,45.375,0.3620689655172414,0.10070213381674553,0.017628753949874978,0.05964360224075433,0.3954606578886763
15,8.613,45.705,0.2758620689655172,0.31453744239711323,0.49879439734736714,0.2053015891762102,0.5311482915663536
16,8.613,45.771,0.2758620689655172,0.3660883254733341,0.4037592108973961,0.20916169107514526,0.5533923586285218
17,8.613,45.837,0.2586206896551724,0.2918381711270842,0.4669904585196688,0.13355228859175408,0.46161894803098985
18,8.613,45.903,0.1551724137931034,0.2854116234883015,0.413072605774958,0.13685873322026912,0.43958542016583024
19,8.613,45.969,0.0862068965517241,0.23664136456207485,0.4523817663739587,0.07944405901288408,0.3752565575493133
20,8.679,44.979,0.3448275862068966,0.059765037689092346,0.09014854014138307,0.03321273804281259,0.3074651322327063
21,8.679,45.045,0.3448275862068966,0.06960077287251314,0.057567371918540174,0.03721182767680273,0.35957034594641263
22,8.679,45.111,0.3448275862068966,0.06699458245832159,0.052722674520928506,0.0326756238232839,0.3760637642182384
23,8.679,45.177,0.3620689655172414,0.08665732241286128,0.034412500436598076,0.06117236477827058,0.40223600924451164
24,8.679,45.243,0.3620689655172414,0.10708961980969112,0.03028858899380785,0.07470698307757596,0.42063084805956624
25,8.679,45.309,0.3620689655172414,0.1230176204408169,0.02717570246626491,0.09782224872440189,0.42759393386947403
26,8.679,45.573,0.3620689655172414,0.49891473056372215,0.41319016563834465,0.5751153290761154,0.5864624959199599
27,8.679,45.639,0.3620689655172414,0.4911454097005959,0.4482339169297199,0.4626361474077572,0.6161284265718582
28,8.679,45.705,0.293103448275862,0.4000105152486937,0.4650782384853158,0.34282266227441394,0.5180928718702713
29,8.679,45.771,0.293103448275862,0.33861114866212505,0.4560034849237194,0.18000334998653159,0.49804142389844125
30,8.679,45.837,0.2758620689655172,0.26185224336802365,0.5073018710988836,0.11937886202623525,0.39804430973453464
31,8.679,45.903,0.1896551724137931,0.27679594363564275,0.47225173384612074,0.11473863698595332,0.43110332012417063
32,8.679,45.969,0.1034482758620689,0.22898885527794355,0.6016187644256051,0.07928519985619459,0.44140743217040845
33,8.679,46.035,0.0344827586206896,0.1939679476706254,0.5079796568924733,0.05456362186181991,0.4405007304488558
34,8.679,46.101,0.0172413793103448,0.11388882754414237,0.549787164292756,0.011932240419960166,0.3630866770452064
35,8.745,44.979,0.3448275862068966,0.07603728772504503,0.09067649282775851,0.053048201815041524,0.3686581246725588
36,8.745,45.045,0.3448275862068966,0.08917935550824593,0.05069907257896366,0.06223962702400192,0.40732197590262376
37,8.745,45.111,0.3448275862068966,0.06915645096702781,0.060675647353272626,0.044088130982583414,0.36444631068434297
38,8.745,45.177,0.3620689655172414,0.09989834047751002,0.04501840445216208,0.07633908522057607,0.41248968318473456
39,8.745,45.243,0.3620689655172414,0.10542187709436798,0.04875978551157656,0.07774791634379721,0.41163825617572153
40,8.745,45.309,0.3793103448275862,0.14318968191130244,0.05160628320044226,0.11925458757961933,0.44040064535710444
41,8.745,45.375,0.396551724137931,0.1800934406525664,0.1080968568360968,0.13319928053787328,0.4662473594057773
42,8.745,45.507,0.396551724137931,0.3686490295512296,0.28678278065894547,0.3291256922168684,0.6381495128232878
43,8.745,45.573,0.3793103448275862,0.5648007032194793,0.28744974123640316,0.5383496617307953,0.6980650669096646
44,8.745,45.639,0.3620689655172414,0.5279806280172457,0.40309815140299016,0.38706506619621933,0.7740393273155155
45,8.745,45.705,0.3620689655172414,0.5591168943563626,0.39170624024931694,0.42370612919593387,0.7170407112831662
46,8.745,45.771,0.293103448275862,0.4653500364473449,0.4457338551886217,0.24225603400180537,0.6567512545431873
47,8.745,45.837,0.293103448275862,0.3461309205616287,0.5652961368724744,0.16419996164625336,0.5651667354263264
48,8.745,45.903,0.2068965517241379,0.3086150382726379,0.5913380461559382,0.11968575192275026,0.5142181014819439
49,8.745,45.969,0.1034482758620689,0.16779932035659367,0.7171314311066771,0.04682017563044613,0.4003468569864099
50,8.745,46.035,0.0689655172413793,0.16731290231308432,0.6851976463602821,0.04644799497312793,0.4143589490050542
51,8.745,46.101,0.0344827586206896,0.09935943660549497,0.7392675990066644,0.009350499983295962,0.33165951761565077
52,8.811,45.045,0.3448275862068966,0.1283463060520609,0.060621396372945634,0.13296420265742445,0.404351355625848
53,8.811,45.111,0.3620689655172414,0.1041925522279548,0.0662886005906793,0.09571384471692357,0.3870722304697797
54,8.811,45.177,0.3620689655172414,0.13145052440584432,0.036739031282660824,0.11704616015298139,0.44390090645423474
55,8.811,45.243,0.3793103448275862,0.1823363584767554,0.05671430423915667,0.1308663417090576,0.49588049340639107
56,8.811,45.309,0.3793103448275862,0.19339535136112668,0.10268389298617404,0.13977243452315363,0.472113836984456
57,8.811,45.375,0.4137931034482758,0.2600907084898932,0.13483749438729928,0.19481272523095142,0.5054413492018611
58,8.811,45.441,0.4482758620689655,0.30208434227414016,0.14966057033469332,0.2512906150786895,0.5100996114599664
59,8.811,45.507,0.4482758620689655,0.47236244318159293,0.210837255834058,0.3795219160993192,0.6756129066431424
60,8.811,45.573,0.4137931034482758,0.6441095797153582,0.19628924167389486,0.5523826028581954,0.7611305581357286
61,8.811,45.639,0.3793103448275862,0.6260504836839521,0.3018926365349643,0.5084759043089896,0.7450080100686005
62,8.811,45.705,0.3620689655172414,0.6316390122071995,0.3352417951410779,0.47428683681061967,0.7508899519568285
63,8.811,45.771,0.3275862068965517,0.4765483348934079,0.4299327922018053,0.2635056117609524,0.6363709121795053
64,8.811,45.837,0.293103448275862,0.32817431407982633,0.5610602735927048,0.16033727073623397,0.5282743546729018
65,8.811,45.903,0.2068965517241379,0.3109459223659119,0.6198120720431554,0.12051889749492081,0.509413415226574
66,8.811,45.969,0.1379310344827586,0.17403908770306917,0.7339178017479472,0.04890502461175864,0.4243392033648323
67,8.811,46.035,0.0862068965517241,0.185081194579833,0.6742322245349873,0.04474532239272218,0.45680818328862455
68,8.811,46.101,0.0344827586206896,0.09211219942299097,0.6781198619011258,0.010103118926836078,0.3164425121949846
69,8.877,44.979,0.3448275862068966,0.14270488114331112,0.0984076367508313,0.1513802831516653,0.5889197483363214
70,8.877,45.045,0.3448275862068966,0.14248334943843458,0.06487118115865043,0.16175094141912508,0.4982851310788945
71,8.877,45.111,0.3620689655172414,0.11857277182479137,0.08023516035452838,0.09828366026919659,0.44048300300455745
72,8.877,45.177,0.3620689655172414,0.12826037659722045,0.09062188770402174,0.11262771920827253,0.43141788109057577
73,8.877,45.243,0.3793103448275862,0.16093554263446275,0.1464556651214789,0.11215156923690259,0.4400499171909211
74,8.877,45.309,0.396551724137931,0.1382984496520464,0.17369925723333648,0.10338118575971991,0.4200876132615075
75,8.877,45.375,0.4310344827586206,0.2588013135267355,0.1504993523377369,0.19401061749414944,0.5010530688024117
76,8.877,45.441,0.4482758620689655,0.3007305467991404,0.13013389639229772,0.25244884811679286,0.540565998220162
77,8.877,45.507,0.4482758620689655,0.5023761487038791,0.12100703332197002,0.38848294093155206,0.6712958200835024
78,8.877,45.573,0.4310344827586206,0.6566791173635681,0.15525961102964492,0.5310207813153928,0.8138072640631501
79,8.877,45.639,0.396551724137931,0.6417660722770505,0.2802832864273624,0.4595486535333131,0.7471802101372826
