rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_SURR,ROADS_SURR
0,1.0,1,0.04787514930581949,0.024541127386861365,0.44510698272279636
1,1.0,1,0.05862765501759008,0.021889717215853987,0.4616474596944835
2,1.0,1,0.052707741128583,0.025308487135426043,0.5050385799920206
3,1.0,1,0.05511444793183162,0.022568331364047418,0.4644837688845124
4,1.0,1,0.056651056344863025,0.02191705769223886,0.42735884722740863
5,1.0,1,0.058810705356701,0.023266731476564585,0.4997177467544247
6,1.0,1,0.05720092851908668,0.025215395074656664,0.4211632407965574
7,1.0,1,0.05245920254522878,0.02789440786255635,0.43127109931894747
8,1.0,1,0.055130921399883764,0.027369763185646035,0.42978357664122036
9,2.0,1,0.04903457233332132,0.027131548825620844,0.4011641402426812
10,2.0,1,0.04703032382103676,0.028803376251258353,0.3914103910868646
11,2.0,1,0.04770581193658581,0.03228788944806196,0.4798429870468044
12,2.0,1,0.04693933880792444,0.027044472608034165,0.4772242249435569
13,2.0,1,0.047462952874478,0.02821348475962386,0.45623207445191816
14,2.0,1,0.041109368670621184,0.030015169090906287,0.407248455546936
15,2.0,1,0.04873810527819951,0.03213543699473301,0.4060904218318397
16,2.0,1,0.04056483898760767,0.027319160573551857,0.47540778518020627
17,2.0,1,0.04620109198167422,0.029510413629784068,0.43350688400922205
18,3.0,1,0.05427615504675536,0.026183146884324403,0.41408139898504226
19,3.0,1,0.044971872182285835,0.0269462205395151,0.41783293643206554
20,3.0,1,0.051356418627884655,0.02916907647677049,0.43561332112222145
21,3.0,1,0.04862509379553104,0.029128923937931914,0.46760865798095336
22,3.0,1,0.05284166489342093,0.025080941376718856,0.44783420203290725
23,3.0,1,0.053911462306558564,0.02939191287114392,0.43336539827363707
24,3.0,1,0.050016342935039725,0.026312393465814835,0.4540046888350278
25,3.0,1,0.048569205065897306,0.026694956230681414,0.41462137114736725
26,3.0,1,0.04507484870293423,0.024258332102581933,0.43427768071395456
27,3.0,1,0.053686442487788165,0.028383742865815898,0.39322922556944867
28,4.0,1,0.060709048140348304,0.0245989484940787,0.416146041380371
29,4.0,1,0.0614200131576643,0.027375836962445464,0.4775405759857117
30,4.0,1,0.05431861773632171,0.02460588164786258,0.5099086060043784
31,4.0,1,0.05802652837116496,0.02358730071902901,0.4467319043271199
32,4.0,1,0.06117644297449946,0.02252919058328638,0.518583139451893
33,4.0,1,0.0623064742979092,0.023978916085313533,0.4136433600917036
34,4.0,1,0.05957775427974622,0.02621700749968914,0.43532232282728905
35,4.0,1,0.06040101032733698,0.027875039777148093,0.4352577197567673
36,4.0,1,0.05664537787263656,0.024614886489900487,0.49704468011652286
37,4.0,1,0.05439266809890581,0.026308981728001345,0.43162580673883216
38,5.0,1,0.07144333775859443,0.03192198458889606,0.44895243318636086
39,5.0,1,0.0599578482250765,0.033662416711865734,0.48429249390900214
40,5.0,1,0.06680600313033273,0.03161902792428492,0.46747369972425157
41,5.0,1,0.06057849032454152,0.030971233926434895,0.456217996576722
42,5.0,1,0.060861369943840254,0.03250237029463854,0.44337499571604333
43,5.0,1,0.06368891933435288,0.033470629922912346,0.49234181685619116
44,5.0,1,0.07080096320322948,0.03360437160277855,0.4920903935544249
45,5.0,1,0.06772451801427004,0.027959880459057868,0.48935326789044864
46,5.0,1,0.06924052121505173,0.02897341189312797,0.4275445541755694
47,5.0,1,0.06801297278069142,0.027784520302584742,0.43720871664857885
48,6.0,1,0.2053580508438197,0.4038935563846241,0.5004077187942235
49,6.0,0,0.19578206622362596,0.36542601540793757,0.5813632642074922
50,7.0,1,0.15495230703582918,0.393335922803024,0.610184765630331
51,7.0,1,0.1556802367378944,0.3677970399141555,0.5618966890912734
52,7.0,0,0.16046950759084042,0.3849274622232765,0.5189575238181955
53,7.0,0,0.16528870260754502,0.36351375987836954,0.5702435475441261
54,7.0,0,0.1557707330731373,0.3933077031073124,0.4979866476388313
55,7.0,0,0.13774025085798886,0.41838282559929935,0.4970058231869308
56,8.0,1,0.1141169434329631,0.38979089014964213,0.5664543316608532
57,8.0,1,0.13085861215845385,0.36905558131412747,0.5324827470301284
58,8.0,1,0.13271808206914792,0.4190028774600111,0.5347761437347968
59,8.0,0,0.12634338940720524,0.39935449517229604,0.4962673954087524
60,8.0,0,0.11859845159122172,0.39613096222189526,0.5755984921706638
61,8.0,0,0.1340980050317866,0.43093528871938525,0.5481667081297098
62,8.0,0,0.12502745759019027,0.37488434471715026,0.538020602187488
63,8.0,0,0.13395030410353995,0.4043553981408667,0.5055349194619742
64,8.0,0,0.1273631593392651,0.43983151039520374,0.5633836769021948
65,8.0,0,0.12396454372646983,0.3948245801277165,0.5341830505890894
66,8.0,0,0.1176209985384368,0.37438099458436563,0.5619257927188022
67,8.0,0,0.11690849964309306,0.4492069535641628,0.5014817487504597
68,8.0,0,0.12127593284344869,0.4188606056809774,0.5292443888183174
69,9.0,1,0.050306395467998116,0.04797466109556883,0.4088607470974266
70,9.0,1,0.05071747073663079,0.047117181947348825,0.5037414952931492
71,9.0,1,0.047012535521632155,0.04680605744611346,0.45385616253685596
72,9.0,1,0.049065145583272095,0.043485734503837976,0.4561836612966341
73,9.0,1,0.04480706260604972,0.04306465269032804,0.4220956410795727
74,9.0,1,0.046331563271792546,0.046625394417144056,0.3976940877332563
75,9.0,1,0.04601055773732768,0.04038263598616554,0.41503672042944095
76,9.0,1,0.04624492755407318,0.04063041206927565,0.470813888666211
77,9.0,1,0.0453197045364635,0.04133668865941766,0.40539114800888754
78,10.0,1,0.045798744927420205,0.04071756948180531,0.40230237070670605
79,10.0,1,0.04216586683163094,0.04067313422390389,0.4679393310860841
80,10.0,1,0.03965850749571305,0.03396397081922985,0.40933191062376606
81,10.0,1,0.04024687905373245,0.03773106279753227,0.43026533868051275
82,10.0,1,0.03930514705122301,0.04026866043234099,0.48194877988797763
83,10.0,1,0.04650504315244251,0.03685410005579968,0.4098397246392169
84,10.0,1,0.044848348746420436,0.040994778296492895,0.49427192067667813
85,10.0,1,0.03854106033231757,0.04202681681890671,0.4846850243086694
86,10.0,1,0.03914678728367842,0.0363432578338146,0.4445461575612401
87,11.0,1,0.05189152536156898,0.03269653925262681,0.5009235798066247
88,11.0,1,0.05008693198794902,0.034572106187839645,0.4819547792719982
89,11.0,1,0.05209561721132163,0.03309235449625621,0.43435141748179745
90,11.0,1,0.04705937888305984,0.034883337915259764,0.4597568563167446
91,11.0,1,0.04319294999500626,0.03307099041090646,0.5014686095346532
92,11.0,1,0.04440456695813426,0.034344592735073155,0.41282431003919656
93,11.0,1,0.05199301535498956,0.031088838593989136,0.4747364934065034
94,11.0,1,0.04884634950845778,0.03141852295874509,0.4233523448929948
95,11.0,1,0.0439516715978395,0.029702084793816416,0.40136431850391474
96,11.0,1,0.04794765762195651,0.02859269256287345,0.4759248551432068
97,12.0,1,0.0591934395062721,0.023370973893211633,0.46121944273167964
98,12.0,1,0.051597159454284,0.027199206096236606,0.5058138975988355
99,12.0,1,0.05577470573778477,0.026842802372124736,0.4278718186862094
100,12.0,1,0.05048890748036525,0.02475150714320175,0.4584614389017427
101,12.0,1,0.05403244475246702,0.028658992611636222,0.4468573998851831
102,12.0,1,0.05901858319447333,0.02415076912347348,0.4445419670976985
103,12.0,1,0.051486112352958455,0.023670544834630904,0.43872125215356556
104,12.0,1,0.05183160578649309,0.026244571981566104,0.5037554012635685
105,12.0,1,0.05594330670530908,0.025954447732895014,0.485059577199487
106,12.0,1,0.05494546479264936,0.029271640676060515,0.41268313602824097
107,13.0,1,0.06741177359076286,0.029882519922555622,0.4308004065505662
108,13.0,1,0.06795797397383622,0.02417697635921546,0.5091744096784967
109,13.0,1,0.0686631344047217,0.028521876990043524,0.46396682339941836
110,13.0,1,0.06006205606070955,0.028421733034103572,0.44077318920977654
111,13.0,1,0.057441473803087804,0.025460837821751243,0.43486565956554346
112,13.0,1,0.06777093503446671,0.026054916752514735,0.4304311078651934
113,13.0,1,0.06459033149517886,0.030809780167447537,0.43994407658682566
114,13.0,1,0.06067886669985077,0.026832520128728544,0.49626034473991004
115,13.0,1,0.06355384534296715,0.028538417943263346,0.5064877611805751
116,13.0,1,0.05816748696461381,0.026757972738197005,0.5020156976028218
117,14.0,1,0.0875640114406608,0.03585967967300482,0.4709339815472205
118,14.0,1,0.0746129107165504,0.03973251286998729,0.44883315041210725
119,14.0,1,0.08244862423790221,0.038858606889122,0.5198151419814308
120,14.0,1,0.08322244853950113,0.03280964670006722,0.5569908749089851
121,14.0,1,0.08408426294031855,0.03226713871859928,0.45048525039762144
122,14.0,1,0.07893334103054274,0.031444608523344054,0.44944181916935005
123,14.0,1,0.08927890432652687,0.03694705707425766,0.4802540922329537
124,14.0,1,0.08552388792607193,0.038882850210059036,0.48098387888468136
125,14.0,1,0.07422362173465613,0.03952006282563982,0.5409853195091023
126,14.0,1,0.08918220524455904,0.03635072479897308,0.5071551606017689
127,15.0,1,0.29805257126008006,0.4002468308415133,0.5188487162634432
128,15.0,1,0.2941691731001019,0.39956787524606596,0.5624820004579857
129,15.0,0,0.3029927160951765,0.43042986674335065,0.5441746891268668
130,16.0,1,0.20852220671603217,0.36975459798904503,0.5591883126709827
131,16.0,1,0.21134025599905543,0.4371551606550072,0.6174855265531859
132,16.0,0,0.18947622132056002,0.37559799319758796,0.6392758941222477
133,17.0,1,0.16790383668496112,0.4036229153053085,0.5333274258392848
134,17.0,0,0.1538362193303019,0.3852338349598013,0.5001357231947591
135,18.0,1,0.11648929047582036,0.45543461522637574,0.5245942809316853
136,18.0,1,0.12642245805780153,0.42813616717293046,0.5526611874805019
137,18.0,1,0.12018357467850398,0.41049310184196147,0.5339093380609581
138,18.0,0,0.13188930220818967,0.40219116201315913,0.5793896487489414
139,18.0,0,0.1285810137250494,0.39155286991667543,0.49880535421416106
140,18.0,0,0.12688000433902374,0.3999620846661902,0.5214060647678369
141,18.0,0,0.12272393084356988,0.43208505964835875,0.4848281263737144
142,18.0,0,0.11211501626261362,0.3984962569558066,0.5622043393442187
143,18.0,0,0.12572073704381445,0.44739058210007254,0.5599605598494196
144,18.0,0,0.11853186384065692,0.4076507723266317,0.5724532819761645
145,18.0,0,0.1161728060358469,0.4584741592137154,0.5168304287704474
146,18.0,0,0.12701164781119118,0.41797349126902145,0.4713629660074425
147,18.0,0,0.12896655748462274,0.4637065053866468,0.5048008826370777
148,19.0,0,0.10311795569190166,0.4709553603746955,0.5527698182659335
149,19.0,0,0.09883596754394071,0.5145722283224351,0.5051659387411047
150,19.0,0,0.09614964486149676,0.48894303456481436,0.5274407320624332
151,19.0,0,0.09084586442130209,0.4964661087789819,0.49368663098787813
152,19.0,0,0.09258493954205946,0.5032628721760657,0.5009624222840606
153,19.0,0,0.09776675803758353,0.4348613077341001,0.44493840477926594
154,19.0,0,0.09141683837721616,0.4549678372098231,0.48923962341545635
155,19.0,0,0.09480670664356586,0.44813708863374024,0.457449056856532
156,19.0,0,0.10407656412290546,0.45036935350911195,0.48510436888596786
157,19.0,0,0.10509390787959658,0.4490522527566041,0.4659471215190554
158,19.0,0,0.10011489453363291,0.4361577401339164,0.46818089466455204
159,19.0,0,0.10322655526887786,0.5006471986359816,0.48773955411905195
160,19.0,0,0.10332898832294254,0.42545707251846077,0.5724591310899774
161,19.0,0,0.10494324617332236,0.5145079779729981,0.566284475578023
162,19.0,0,0.10057491332869577,0.44227347528446337,0.5633895058440926
163,19.0,0,0.10006242657711983,0.4781671483569448,0.47707029120417876
164,19.0,0,0.09224861482110057,0.49708151993136857,0.5297460407067894
165,19.0,0,0.08674701008739893,0.43154917231198986,0.518170399310115
166,19.0,0,0.09922115109122576,0.4234607086388931,0.55809053953022
167,19.0,0,0.08618623943856137,0.4254447945304019,0.4666369290128687
168,19.0,0,0.10290421033065611,0.4238800453500427,0.48899981351473293
169,19.0,0,0.09707920182321858,0.4390902846162182,0.46808097880316324
170,19.0,0,0.10333488035358716,0.44871132633148414,0.5076320037759817
171,20.0,1,0.05451891607976065,0.04877892390641698,0.4982416194231322
172,20.0,1,0.06044796976303493,0.04828763573121644,0.49658715404279474
173,20.0,1,0.06077722175031587,0.05513293152636775,0.4881122464653759
174,20.0,1,0.06484571326170298,0.05143858032380786,0.4287460024496633
175,20.0,1,0.059013943851405376,0.05799910727631524,0.45374742050855227
176,20.0,1,0.05944148076458745,0.05416474864187275,0.4520774987198381
177,20.0,1,0.06365998090654212,0.05370409451058627,0.4681555400523691
178,20.0,1,0.06001062331802134,0.05392375099216565,0.5202129700783971
179,20.0,1,0.055857991200271746,0.057919126871456096,0.5070091023209948
180,21.0,1,0.046953769625476316,0.05148388794394165,0.46944782683524006
181,21.0,1,0.05094443610050106,0.05006996175653162,0.44787982133405413
182,21.0,1,0.05169688461538606,0.05259853025916685,0.4732751745563293
183,21.0,1,0.05318390459052104,0.049575294159741316,0.4975421395669362
184,21.0,1,0.05477454440724263,0.046497272767548815,0.494505723331873
185,21.0,1,0.05076470415252335,0.05276935982770201,0.5072679460703137
186,21.0,1,0.05603503003373249,0.044090041957981774,0.49074498168011166
187,21.0,1,0.053823658128590475,0.0459308962226333,0.4358394915693701
188,21.0,1,0.05227276352485541,0.04834786709351367,0.40467529581291356
189,22.0,1,0.05748375580497253,0.04158174130568435,0.45474080756052976
190,22.0,1,0.053369426983889585,0.04036255577774776,0.45908441905302916
191,22.0,1,0.052213945219037675,0.036717722906208256,0.44217561512099396
192,22.0,1,0.05909869326742693,0.04447482317440643,0.45998757021129255
193,22.0,1,0.055629106767141744,0.04427492680809805,0.4195680613421964
194,22.0,1,0.053015419399175714,0.04007301671816145,0.4282619384905073
195,22.0,1,0.05426606668168445,0.038686434386012915,0.48269111581168656
196,22.0,1,0.05500155006873121,0.03873947871459471,0.4935445344627525
197,22.0,1,0.05047272330463161,0.044813012728786336,0.41617825333846376
198,23.0,1,0.062340824594529366,0.03279938164529802,0.4937400065989375
199,23.0,1,0.06653316880120418,0.03528287007202987,0.4670342083830384
200,23.0,1,0.05537742641463213,0.032840150697883014,0.4125619888207483
201,23.0,1,0.06700914287323803,0.03174041146571694,0.45040754807813504
202,23.0,1,0.060709927011347926,0.03728901009645121,0.43261210671541733
203,23.0,1,0.061931506674845635,0.03231218538069292,0.4633899200631036
204,23.0,1,0.06704919501095298,0.03384689818079147,0.49237908409502545
205,23.0,1,0.06375625743793162,0.029784044947838033,0.4132430828506736
206,23.0,1,0.06359941105417605,0.03304217775918219,0.41764770714173244
207,23.0,1,0.06276943162954145,0.03478444790349569,0.45826148747013573
208,24.0,1,0.07226686745683043,0.027791281214165478,0.42415158375636575
209,24.0,1,0.07081441199106114,0.03232064519183286,0.44207082320446683
210,24.0,1,0.07541313629115519,0.02943126374433634,0.49617112825043497
211,24.0,1,0.07612921021393829,0.02924452141173151,0.4321361636310852
212,24.0,1,0.07518282636210531,0.029263705443013117,0.46364779122577826
213,24.0,1,0.07854046659903959,0.031497484587024366,0.4660728309169751
214,24.0,1,0.06701210946860738,0.027531173953886053,0.44559721209202807
215,24.0,1,0.08048720872723313,0.028141474978851,0.4276881267976651
216,24.0,1,0.07794458426236604,0.029856814026186996,0.420035517395809
217,24.0,1,0.0803568840679005,0.027567481071793853,0.511830531406712
218,25.0,1,0.08479644601047101,0.03480297941856187,0.5039808109428782
219,25.0,1,0.09368684739933718,0.037768843822173916,0.43095496151895074
220,25.0,1,0.09003830117798226,0.03401308109023011,0.5085003105266084
221,25.0,1,0.09214980458837528,0.03822946122909294,0.44516006544383524
222,25.0,1,0.08603241271310953,0.03626158088316336,0.5233213250748768
223,25.0,1,0.08009425504211144,0.03932383079348627,0.4667060032798632
