rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,URBAN_AREA_BLOCK
0,1.0,1,0.8434015199805163,0.07588258127227156,0.0267263988691845,0.008828079975937228,0.09365769782155701,0.09017424190713612
1,1.0,1,0.9220383608042108,0.08096215552139348,0.028964092572770467,0.009768922749722372,0.08274654322694805,0.0887449071680813
2,1.0,1,0.9097872935468619,0.07139315977736027,0.030986530946089275,0.009801369518179354,0.08304149159146282,0.09399574558539094
3,1.0,1,0.8495256978964539,0.07540364880956256,0.030562810988077272,0.009109297671990533,0.08667690148448536,0.10176825860586436
4,1.0,1,0.8803319239958791,0.07213420757954973,0.028034153957384463,0.008989742232164049,0.08533683015966077,0.0979849483098935
5,1.0,1,0.8668791287867128,0.07144694281744322,0.027132609565924098,0.008573573746228264,0.09044152703292148,0.10668163890750121
6,1.0,1,0.8886839106829911,0.08006175342013384,0.02550405508401712,0.0093819552072551,0.09179681750084548,0.10006738283011897
7,1.0,1,0.8674651013063219,0.07125316912131839,0.02796251658227166,0.009050692875549595,0.09282076172657469,0.10058907349323817
8,1.0,1,0.8876821099105829,0.06716574217326682,0.028341322300171185,0.008816689329419897,0.08333034606997736,0.10120660830921659
9,1.0,1,0.9162829196144676,0.07109176485237388,0.0255592801453979,0.009266945963220282,0.09950161954205482,0.1063418842332113
10,1.0,1,0.9176961427326152,0.08178875857675033,0.025187297426322496,0.008533813921097502,0.08551189312980659,0.08841556312250352
11,1.0,1,0.9637150993130986,0.07400510249680943,0.02741874126324872,0.00926718721582346,0.09660148456976575,0.08874036660181724
12,1.0,1,0.8606143770476801,0.07731356536706996,0.02913300522639585,0.008766590902501094,0.08830226486795838,0.10257956688396344
13,1.0,1,0.9421169599418839,0.0797360631206519,0.02996221675117661,0.009545746659275392,0.09399740816502163,0.09676017835983934
14,1.0,1,0.8427371940815782,0.08062253328480118,0.030637399518208434,0.008206375048275668,0.0940253636164674,0.10080614394031018
15,1.0,1,0.898049415797006,0.0811279577488541,0.030416015368481566,0.00878689789214167,0.09748459638031297,0.09715309770355651
16,2.0,1,0.9801558967944753,0.05513487122107608,0.04161457733941856,0.03925001426676159,0.1064193059476079,0.07566083817160876
17,2.0,1,0.8830317411370242,0.05167624428783564,0.04333789348552861,0.04257261605737354,0.10905880535866155,0.08262738314626909
18,2.0,1,0.978696620645737,0.05830514703489163,0.03495715430628232,0.038653848335460476,0.11132635272158062,0.07366340752876357
19,2.0,1,0.8342756758487793,0.060369923503428076,0.04282597942638908,0.04529399637364805,0.1105110913748749,0.07379560149108734
20,2.0,1,0.8362385188269903,0.055456121634749125,0.03518604342074891,0.04259773672080035,0.0949107345895139,0.07822391247715238
21,2.0,1,0.9901510926666612,0.0571195454598132,0.041272036424713485,0.04048451043875368,0.10634969319280939,0.07038304689368957
22,2.0,1,0.8337849537986889,0.05345665009097407,0.03910440247724936,0.03929522802874527,0.09468535693900437,0.07448634618590227
23,2.0,1,0.9843616133947217,0.060133690411907095,0.04115573878231214,0.042120336602105464,0.10078941292883031,0.0724664054473298
24,2.0,1,0.883572155784207,0.0586161092118234,0.03954098955811776,0.04097498774034239,0.0969407893343413,0.07135543049293322
25,2.0,1,0.8739521223492097,0.06181308251003012,0.0431512729954709,0.04180821695502703,0.1017748792228251,0.08003996138604737
26,2.0,1,0.9784970818667869,0.05755964643934346,0.04073132249258575,0.045679525254887145,0.09134559085592545,0.07954453321315556
27,2.0,1,0.8327469797995317,0.05230823315461209,0.0430198496896226,0.03780551407542436,0.09161429404205343,0.08509351428761888
28,2.0,1,0.9993134707517248,0.053392397223924845,0.041662550277342864,0.0428531245006806,0.10410665361696846,0.08261965234976655
29,2.0,1,0.8592399151808533,0.0515846571904814,0.038272202548323406,0.043975865730688,0.1105093013994012,0.0822621573741265
30,2.0,1,0.8988697782750362,0.05631072771415321,0.037908090766952604,0.044449713358999866,0.09889193061011455,0.07870285349895395
31,2.0,1,0.9714024447007757,0.05969675927307782,0.043369712889656006,0.04224348242896499,0.10552299974033783,0.0812221478623628
32,2.0,1,0.9777270930407461,0.056790807831903295,0.041557916776617784,0.043673311734887706,0.10866463871246712,0.07407447247249305
33,2.0,1,0.9272910888070581,0.05447666616040222,0.03680939223111737,0.04292788536564956,0.11033067024048898,0.07447228535771122
34,3.0,1,0.878334265574756,0.07115480798606043,0.03530702729729019,0.029653385038549755,0.0958190297253554,0.08786821601795831
35,3.0,1,0.8912687892182937,0.06578196632863134,0.03225636881971762,0.03176222750644246,0.08360942275698921,0.08861551257172734
36,3.0,1,0.8457338880873673,0.06326012997222967,0.029308206344623174,0.03172933841052842,0.08083701536652092,0.08163219284109097
37,3.0,1,0.9577429733201932,0.07337572889966885,0.03031327834488934,0.028736346652716363,0.08209461331815629,0.09628069693312731
38,3.0,1,0.9229673312731401,0.07249506283490907,0.03583456348490822,0.028779074434893335,0.08617409324101136,0.08229345189933895
39,3.0,1,0.9924778944113668,0.0686121093949703,0.03220935601485701,0.0284766042937105,0.09398851738360026,0.08784660209552303
40,3.0,1,0.9496456098734621,0.060552207738026505,0.029619848436247338,0.03016064267297754,0.081849977418136,0.09094035872597336
41,3.0,1,0.8696578385331217,0.0630506810156582,0.029829529179435633,0.031307651545473866,0.09394660874791279,0.09607146883632255
42,3.0,1,0.8937558829025951,0.06181215223286104,0.031672115877336336,0.029636428280289985,0.08396381238111791,0.09544637090227881
43,3.0,1,0.9023787199193365,0.06206645686635985,0.03279803629440663,0.03337281738103341,0.08902061565954619,0.09180323299775629
44,3.0,1,0.8216230396957837,0.060438838274951334,0.03453263392349451,0.030468133113276123,0.09287694494103464,0.09444294418480491
45,3.0,1,0.9256192152005817,0.06214998200690298,0.03198851231453855,0.029015935197352575,0.08973160553484062,0.0909007053196409
46,3.0,1,0.9075853139837654,0.06612146590680118,0.031183670252236024,0.03251735206915127,0.08279172162642537,0.08355334328112239
47,3.0,1,0.9232968741897197,0.06583216933871557,0.02880474244804381,0.03305795418748449,0.08225351565459828,0.0871952406121643
