rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,FARMS_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.8743087486945073,0.081427325769415,0.0027082522029310786,0.02729395384147868,0.00805807273259027,0.09021906194501698
1,1.0,1,0.8271499911691002,0.08128878546496614,0.004514138425307507,0.022353131874099735,0.007235884680420791,0.09475796880165993
2,1.0,1,0.8370157382529155,0.07113415801095914,0.00485068178462106,0.02618200306755542,0.0069609419161402175,0.08693180316822825
3,1.0,1,0.8399068719024883,0.07345986861790926,0.003995152753240983,0.02552584470873904,0.007318841677333447,0.08208136931439379
4,1.0,1,0.9746381728900089,0.07530631487574391,0.002540746311545492,0.027301567952684323,0.007163940782350946,0.07918416730514369
5,1.0,1,0.9505839236533669,0.07485891087620454,0.003836797155612101,0.02228917013338733,0.008290698173706729,0.08631196039651236
6,1.0,1,0.8486554049765669,0.06998754571598773,0.0025672900766823097,0.024839182404580315,0.008178146794819709,0.08669223198933415
7,1.0,1,0.9706455862125628,0.07003947271421863,0.004345111867522075,0.028097884474265374,0.007121890245830843,0.09544672106562602
8,1.0,1,0.955863076757109,0.08028853254730539,0.0042870219001504405,0.02710731729875341,0.0069937019703835476,0.09530693449429362
9,2.0,1,0.9819178027846562,0.05785159500180732,0.02608608663301797,0.037445468214392034,0.04008049416878916,0.09641173730765376
10,2.0,1,0.9870385229613732,0.061501742872425345,0.025144140699174335,0.0386314518948825,0.043960928209460626,0.0880385428387604
11,2.0,1,0.8737493077793623,0.05876986396829317,0.027995474723820215,0.033665536189890946,0.041165370384783954,0.09289191310501242
12,2.0,1,0.8919919235757475,0.06349787494403714,0.026725080447713247,0.03706753355291306,0.046889558057107886,0.09201488674565884
13,2.0,1,0.8329780308793707,0.0684846312502949,0.020743968412430695,0.03624378564386395,0.04513793616522995,0.10572351365678367
14,2.0,1,0.9059566112899599,0.05960397067656721,0.0213663603410201,0.03659171997294166,0.044238100868620754,0.10481797537284067
15,2.0,1,0.8574122540723329,0.0671207444765109,0.0211884117490071,0.03455958866025317,0.04425664851452402,0.08814624349056563
16,2.0,1,0.8983109800764715,0.059146171278230686,0.024657857497103274,0.03795989150668066,0.046094748089212816,0.09804667354212518
17,2.0,1,0.9758223329449731,0.06300084852582376,0.025235224872100736,0.039226991537396644,0.04615788300280851,0.10449171061294574
18,3.0,1,0.9785639002093844,0.06502194648274139,0.009691487423961198,0.03033331611379379,0.029954181847654644,0.091532396630792
19,3.0,1,0.9274390190368752,0.07518154292137186,0.007358752110426744,0.03335490530373123,0.027695101236800763,0.0945697150944699
20,3.0,1,0.8206358199631051,0.06418248704801227,0.011010104036686506,0.03310325945970825,0.025601718987581908,0.09193000728186365
21,3.0,1,0.8199744415157815,0.06807261951658915,0.011486510292103742,0.03229649946590259,0.027145399889286183,0.09047283358175162
22,3.0,1,0.8938301457864263,0.06748495571227037,0.007313525815870469,0.030144782081173785,0.03076389410503265,0.09401079327781324
23,3.0,1,0.9571609820720266,0.061565565837101294,0.0072854143673405335,0.03131366971761007,0.02658439833554933,0.08780129905824767
24,3.0,1,0.9483741601158944,0.07486068498007582,0.007553748558766595,0.026495475075766953,0.026639926695449515,0.07918041787980395
25,3.0,1,0.846202941773374,0.07358047904530415,0.007016198122847909,0.027988815309963517,0.028424669230794498,0.09369639212776835
26,3.0,1,0.8874274110871947,0.06774819499462839,0.009986128927967906,0.029246711784294718,0.028624888973923374,0.07901063979563062
27,3.0,1,0.854134730594314,0.07420219889761225,0.009951674614266773,0.03344196441976661,0.02993090279507669,0.08641048300950173
28,4.0,1,0.8623965498792033,0.07428485130725143,0.0048365325301123075,0.020286101133971342,0.00889468529051788,0.0890605737299533
29,4.0,1,0.9819511097396345,0.08034249982529575,0.002533192543516486,0.021472828372404922,0.008100689087337937,0.0759430684444868
30,4.0,1,0.8204447385164724,0.07680531625918237,0.0032287326572957567,0.022223329411905215,0.009138919841497974,0.08864506433632828
31,4.0,1,0.8283437467823163,0.08458428089409245,0.003994160238967688,0.019937136214042,0.008658659633542613,0.0814103010487818
32,4.0,1,0.9410046426383001,0.07435407107546557,0.004631361264456258,0.021305149910423312,0.00898058123220564,0.08161714485633832
33,4.0,1,0.8475596850609239,0.08429130201166223,0.00195852154357451,0.022964676123359902,0.008925501894285133,0.08948935386699805
34,4.0,1,0.9494666688819133,0.0849718431934855,0.004217822230997812,0.025501561653570547,0.009306870941059663,0.08421464073102568
35,4.0,1,0.8259159844578429,0.08326447017650135,0.004693375216125173,0.022803879792171584,0.008957112944495589,0.08262345940711235
36,4.0,1,0.9296784667440084,0.08113676424477341,0.002921853567093585,0.02001615359126175,0.008175458317953762,0.08644248105653134
37,4.0,1,0.9789777133064784,0.07889824726918315,0.003970358106157556,0.020549548499370116,0.009286393652035572,0.0874595393852303
38,5.0,1,0.9444525187909518,0.08491673075013231,0.005130674175650503,0.021628716848451426,0.005156033814939291,0.08096916186924
39,5.0,1,0.9922241567865401,0.08083680918299536,0.00497009849750446,0.01924108053728997,0.005650080170760964,0.0925519636312155
40,5.0,1,0.9937925118961903,0.08581642748406153,0.0031630960550220037,0.01956853590309866,0.005780338573336388,0.08703637756224114
41,5.0,1,0.9397642981673344,0.08987190498354876,0.004110151451642389,0.01792468982391153,0.005813808005897888,0.09037092639456556
42,5.0,1,0.9386135486093093,0.07982429394216416,0.004972193618198249,0.018682330241142034,0.005570558723021119,0.08490637402857426
43,5.0,1,0.9225193001165798,0.09161896798898216,0.005796641834825726,0.021494251655957596,0.005173838054895941,0.0831228640289568
44,5.0,1,0.9061491783359075,0.08429117609794712,0.005355288616136321,0.018572835581917458,0.004972242857649012,0.08910146951035547
45,5.0,1,0.8817347142317007,0.08466507259846427,0.004688764225235862,0.018714719832657947,0.0051739209369232805,0.09342226319755219
46,5.0,1,0.9408521053575116,0.07865976476179483,0.002957960736286607,0.0174791932701144,0.005284594528920562,0.07888270889609457
47,5.0,1,0.906375219471455,0.08418429556177037,0.0058281715084867545,0.0202918213782895,0.005117730771976909,0.08766295692365642
48,6.0,1,0.14826330621687717,0.29136190363975095,0.4429443390015175,0.3512131444209875,0.00821971062453565,0.02155189679045232
49,6.0,0,0.14978651967148002,0.2783206738867776,0.4180394921700811,0.33327541656707116,0.007078898446194761,0.02231655746538904
50,7.0,1,0.10745422867894809,0.3055464255651576,0.39208051432800933,0.33779272278067685,0.004215187840082713,0.01887872451710647
51,7.0,1,0.10863138605654192,0.26054440128138184,0.36984754133234765,0.31109349262293123,0.004307117913318402,0.020433590759278485
52,7.0,0,0.10996463713906908,0.3070868906519758,0.39459395502621725,0.31087157755278283,0.0038426029093328443,0.021361233714176336
53,7.0,0,0.129482262689808,0.28165483782422995,0.40346067724982637,0.30846385767036294,0.0038486728464641995,0.021076172589243686
54,7.0,0,0.11672773050181347,0.28152889780047397,0.4260340747252585,0.30057830202753616,0.003815905305113336,0.02078469547842808
55,7.0,0,0.12681980855249125,0.3037319566318953,0.39959481892822957,0.3542055861556385,0.003997348755118848,0.018926150183223658
56,8.0,1,0.10059252183872162,0.24361369832618376,0.391486592467606,0.3560527728403125,0.0023446682853523956,0.013335521591301183
57,8.0,1,0.10130733239249658,0.24149209723923068,0.4000734781633032,0.34195633502985084,0.002589200525049077,0.015484931807738413
58,8.0,1,0.09216305850571431,0.2792834261974118,0.420115083483335,0.33012033293433685,0.0023844627975927973,0.01518652676264217
59,8.0,0,0.0947597670755595,0.25242470934550276,0.40896348247120684,0.3145331294286227,0.002324193846339334,0.015974984469488127
60,8.0,0,0.10191343146913111,0.26428551445444604,0.44215990265903427,0.37860288626270316,0.00228661370185026,0.01411089971775487
61,8.0,0,0.0978503762521487,0.2803825490617814,0.3990315007213182,0.3788729742416843,0.002461547106469507,0.015643483301361186
62,8.0,0,0.1014173659025532,0.2781116422935796,0.44615306428025825,0.3378437630099699,0.0022004613498549466,0.013450993166353904
63,8.0,0,0.10807891917372817,0.2700014812694364,0.38258854113320895,0.31944940524113563,0.002221154378692853,0.015745444129308554
64,8.0,0,0.09038554629461726,0.2827355865637868,0.38722770057650746,0.38094174636496975,0.0025299831707718042,0.015631432211738655
65,8.0,0,0.10971410816731206,0.2570074484647817,0.39173653099796285,0.35956853208650447,0.00246014859334253,0.015009537400120267
66,8.0,0,0.09352027126350947,0.24533871649117403,0.38472014140315913,0.31950887299319997,0.002361817522147241,0.013616657851917919
67,8.0,0,0.10804770537748383,0.2463798746325343,0.38682495137050554,0.35975672078248966,0.0021832248060306876,0.015267763384889279
68,8.0,0,0.10253761137195878,0.2542597724021251,0.39559700082360266,0.34638795461665534,0.0024427167382934686,0.013696175866115885
69,9.0,1,0.9860888813078996,0.06606679655375595,0.09483646838028678,0.04878549077928632,0.08885230612175253,0.1466337932069045
70,9.0,1,0.864937913361803,0.06421097191520389,0.08538612139898016,0.05061900681367745,0.0892690254706489,0.1529386077685539
71,9.0,1,0.8619491671374521,0.05808736003482486,0.08710362820515297,0.04309207290031476,0.08070850184516269,0.15014415473120268
72,9.0,1,0.9669016051271561,0.06271345938832996,0.09323685935766966,0.0478265864676724,0.08665095425767179,0.16960684615926
73,9.0,1,0.9878661265339647,0.06343564543756858,0.08741231505518131,0.04847974177152975,0.08105234900940961,0.15172009174933151
74,9.0,1,0.9826563086469217,0.06755947725060082,0.0780236643748003,0.04524830688278617,0.08405195098860693,0.16586250012979348
75,9.0,1,0.9358844920137487,0.06003863246987666,0.09121098647179074,0.04366097471994759,0.08462387893616395,0.17229487650354702
76,9.0,1,0.8172878340343513,0.06262472614769553,0.09166559766173822,0.04942913071722563,0.09086167964052429,0.1757704242002742
77,9.0,1,0.9634845881741335,0.06603542855288771,0.08243163346761609,0.050163937882479775,0.07826635806335025,0.16554846409109295
78,10.0,1,0.8756527282979852,0.05709320834718651,0.06289441171887943,0.037701088537283434,0.06665558575233688,0.13428519225729468
79,10.0,1,0.9751055411578451,0.05979383595630293,0.055444806497150265,0.03714199178544666,0.06878201940329585,0.1289372849749555
80,10.0,1,0.9841801188061636,0.06844675274005947,0.05248119459241481,0.04216312309156435,0.06548699218594238,0.1347128373577343
81,10.0,1,0.9351493745819396,0.06621170681391778,0.060937194349472,0.043824575600572534,0.06280526875209799,0.13481743546821795
82,10.0,1,0.9662432139939686,0.05648095195325207,0.056737639816665804,0.04331254648510211,0.06369635174146042,0.12426425287576061
83,10.0,1,0.9557095284188206,0.06776791306200297,0.05941103159518959,0.04244819503860799,0.06391966331947817,0.14432086946495173
84,10.0,1,0.990616820684129,0.060539514621206325,0.0514042140811466,0.03692666725805754,0.07391176496973605,0.12531606409222817
85,10.0,1,0.9130486637184487,0.06340961279805517,0.05083250603040293,0.040608594268053265,0.0624224236747199,0.12913472937378678
86,10.0,1,0.9387190717057263,0.057855450676666226,0.05102233438229318,0.04281116121049785,0.07142343930003438,0.121923618358342
87,11.0,1,0.9170940558242031,0.06660802469984915,0.026716000556764815,0.033472230950617674,0.046847946306629674,0.11080884246875704
88,11.0,1,0.9180656082901671,0.06367771442176681,0.032120240424740085,0.037422358681044494,0.04892409349953157,0.10096340009573233
89,11.0,1,0.936579828074418,0.07487593157379335,0.02621902636679576,0.03009804058168093,0.04878395008012758,0.10661383677253314
90,11.0,1,0.8907201951855961,0.07483352320329702,0.031001441190340796,0.03772323578302671,0.046837646891323935,0.1014583252769802
91,11.0,1,0.9723265006501811,0.061318450339747886,0.028733596107431897,0.03656319354611183,0.05210254831902992,0.10747047805764082
92,11.0,1,0.8438879379624767,0.07030233407546937,0.02613275069527857,0.0344426028640966,0.04699585700930351,0.10670411691618957
93,11.0,1,0.8752886974220961,0.0641883102884425,0.028767448244612595,0.036584189512599535,0.04748081134503356,0.10174483604521908
94,11.0,1,0.9610454683085261,0.06862648308896248,0.029872579425706428,0.03221887066608527,0.04538132128244339,0.11003312693949802
95,11.0,1,1.0,0.0737429531161639,0.027703740838339635,0.03602624370900092,0.04666133841090579,0.11744934155965857
96,11.0,1,0.8995930420204752,0.07353854152310985,0.026815421193658668,0.03253060029346246,0.048248670924828777,0.09725613940514337
97,12.0,1,0.8832417858073154,0.0811155207929456,0.014844854263434126,0.026893358864979677,0.029618339888150626,0.09989609481595664
98,12.0,1,0.8751062100783885,0.08233012159775581,0.011076921816158056,0.030328471440914394,0.025535764899239772,0.09620642304548771
99,12.0,1,0.9218168246606157,0.0734835563870259,0.010222453916334985,0.02685761555694485,0.030630171911215365,0.09962182593275992
100,12.0,1,0.929753780089508,0.07437148324366204,0.011312360174133777,0.028902473717094892,0.026420650288325295,0.09472481960197948
101,12.0,1,0.9017273956496636,0.07376001571267446,0.012917006820673595,0.027146313799620604,0.026406379711171487,0.10077847601245755
102,12.0,1,0.8580300469091272,0.0700109662188989,0.013528328149578253,0.026312784986576233,0.031122716505325856,0.1007143854139449
103,12.0,1,0.9253284462708735,0.07979065570757553,0.01509117405738796,0.030129501274487682,0.027602308566285896,0.0879921248810186
104,12.0,1,0.9395863744404197,0.07464108198421714,0.010600078384911445,0.02714244702570923,0.02948429876259953,0.0930551199538804
105,12.0,1,0.976105292355252,0.07105611398006854,0.012684289869245306,0.030019715482857354,0.026944912327962166,0.0964410186618125
106,12.0,1,0.874836647048839,0.08441490385118242,0.012666438722241791,0.02752047394435812,0.026211765240969534,0.10155608137001526
107,13.0,1,0.8502921970132625,0.09085923414495017,0.006636242894824691,0.018435197647965373,0.01111365374251182,0.09326877538394719
108,13.0,1,0.9914496245218547,0.07904532612172932,0.009092167091305434,0.020975244434129858,0.011252894405711311,0.09328213788811095
109,13.0,1,0.8446426454183392,0.08537858839663388,0.00893310179898346,0.022120953451619057,0.010075425460067407,0.08592485803281005
110,13.0,1,0.85207210997117,0.08799036961223533,0.008587599244338828,0.017845337857423333,0.010448250242005764,0.09202403784578453
111,13.0,1,0.9199895534245087,0.07868273228247988,0.009117037522408016,0.01777541398925325,0.009699253290364985,0.08477089852713686
112,13.0,1,0.9715725194241059,0.07778002471508272,0.006825042255486345,0.022880660027893088,0.01146555188780059,0.09497155412677892
113,13.0,1,0.9981352025835151,0.08746872412662826,0.008281558883429744,0.02215893845796252,0.011132954880595434,0.07993482955559587
114,13.0,1,0.9160002820810935,0.08922069140682454,0.0075739772898135585,0.020596302412005472,0.011032702878293218,0.09429801077908853
115,13.0,1,0.9805294037623153,0.08195827354499641,0.009159216306145492,0.017785477036538017,0.01056006988478167,0.0941727113168174
116,13.0,1,0.9807354829389998,0.09093842190485595,0.00730730364719095,0.018040447567108587,0.010403437872217477,0.08703137553450215
117,14.0,1,0.8358503140081391,0.09093529198524816,0.007432160483937656,0.015591910104349405,0.006321089259997206,0.08523053497042206
118,14.0,1,0.9470168235462919,0.08607599349907354,0.01029616553485015,0.015407031423458806,0.005612171814496614,0.08924439709719928
119,14.0,1,0.9890134365112241,0.09712623540066685,0.007798233762727939,0.018328681207679855,0.0057022649675828275,0.09393924938279596
120,14.0,1,0.9623714599357509,0.0913815551060025,0.00897852202232013,0.014572334545141527,0.006495279847745427,0.08524843427690824
121,14.0,1,0.9074216891653359,0.08388847304092004,0.009620578736280805,0.01457867687179954,0.006240337281844314,0.08691553799761521
122,14.0,1,0.9801267317766637,0.09085828004363447,0.008862812568729495,0.015356136504327869,0.006000311241529053,0.07933757019114769
123,14.0,1,0.9754915243577305,0.08254881579904559,0.009320118116670243,0.015476940735172237,0.005695644088898198,0.08878608899288003
124,14.0,1,0.8939510320550977,0.08988592359034188,0.010245024881504581,0.018986193633491435,0.005714290946009109,0.0835175104820519
125,14.0,1,0.929002318676817,0.09454458009537703,0.007814192462534997,0.014798171777355405,0.005621619294001627,0.09366336378830004
126,14.0,1,0.8587805842568941,0.0893079408476501,0.00963647732387345,0.018497974210510353,0.00597780336360867,0.08767963849312498
127,15.0,1,0.1407065339581855,0.33864954843315537,0.3736522281396021,0.40388006111485575,0.02066004914820056,0.020639450676471972
128,15.0,1,0.13753679967304067,0.3613991552670295,0.40856981528604325,0.40815097574801074,0.02174777539455776,0.02102404402164383
129,15.0,0,0.16499573238679263,0.3519939166935848,0.36693750898150296,0.4467400604531071,0.024159706027033243,0.024600147081338074
130,16.0,1,0.15500144837741572,0.30069991254926304,0.4748455536405487,0.4257825840984852,0.009715894412266822,0.02247299548875837
131,16.0,1,0.141489806605413,0.2877391918089023,0.4148754077541989,0.3718984207188869,0.00943279282822688,0.019375262458686652
132,16.0,0,0.14993744765536887,0.31249620607723344,0.4795247019509308,0.4012901506613415,0.009416800578652887,0.01916615189167325
133,17.0,1,0.11403291454878847,0.3116088157915464,0.4279778176715207,0.3970705811196688,0.0045568637285663535,0.01745703244622551
134,17.0,0,0.10766990193699053,0.2681960327149361,0.41893598681109356,0.37483294277676393,0.004038477355958545,0.018075315241054785
135,18.0,1,0.10548895490575894,0.27814659181046114,0.46297698698699835,0.4211791866033178,0.0018999840826124925,0.012207790890563881
136,18.0,1,0.10341093911561167,0.2882219617922571,0.4300334771249864,0.392490339874218,0.001951447346317924,0.0136952738733177
137,18.0,1,0.09629199647016921,0.24354409590910145,0.41521019919594193,0.3568283678402749,0.0020193573262411377,0.012372639039233304
138,18.0,0,0.09191397663510367,0.26345712101692664,0.429116079033999,0.38218281963903883,0.0020938922977979417,0.013767004929496207
139,18.0,0,0.0882007875328366,0.28994327335780457,0.4737580939515855,0.41548093609472053,0.0020310457297130764,0.013764147274779832
140,18.0,0,0.10132742468545397,0.2443526387963964,0.40315105607423773,0.3817812439927393,0.0021733389344220193,0.014118828478737865
141,18.0,0,0.09479823191354257,0.2724564759315264,0.40272887732726315,0.4184057227175125,0.0021142601282205828,0.012038270520352057
142,18.0,0,0.08928848474757262,0.26103135266313,0.4050884773539808,0.4149333703838436,0.0020914125215757643,0.013977687017171437
143,18.0,0,0.09216769980736782,0.2501030029900789,0.47954769456495405,0.38912572414792274,0.002222237232752843,0.012355983022859146
144,18.0,0,0.0963614647119889,0.2665484909460589,0.4805012251552321,0.35232421443158607,0.002215330768552881,0.014126669222838291
145,18.0,0,0.0903933515535777,0.2692209850061358,0.43043878153381,0.3902945891635948,0.0019619390862239167,0.014101977100420864
146,18.0,0,0.08578759310017127,0.24911035632775186,0.46069319435713096,0.39453986101204286,0.0020033404638999915,0.014182428076664417
147,18.0,0,0.08466199887186714,0.251297936785985,0.40721282581122203,0.3710894537826933,0.002116289074198055,0.012658651258677354
148,19.0,0,0.06781469869810958,0.24330393173461426,0.4330462049093356,0.37852457961707076,0.0006729169945027512,0.008981881688847544
149,19.0,0,0.07823460016787259,0.2646912229488444,0.4645584602580693,0.46123207855148635,0.0006951115117166902,0.00867033107669669
150,19.0,0,0.06687269011124404,0.26713383616276576,0.470952181389625,0.44932353214327725,0.0007749749184329965,0.00943479094372174
151,19.0,0,0.07205887830034922,0.2363136013375389,0.4118340538914497,0.3928742301316078,0.0007517283063058754,0.008885674728109094
152,19.0,0,0.06593470503454936,0.2415911698880217,0.4301926132541836,0.3916851538371233,0.0006739735496302122,0.009546564344856324
153,19.0,0,0.07929095080628823,0.2512065231894263,0.45103772327399944,0.3843920810586786,0.0007203693671331111,0.008429206615388861
154,19.0,0,0.06853873174879636,0.23116376271288505,0.41037778767885674,0.4160587092527443,0.0007131207925974211,0.009514782471501674
155,19.0,0,0.06373968468465334,0.25604202014141286,0.46368506212140337,0.39679492259141164,0.0007111408624742682,0.009223441044504028
156,19.0,0,0.07573373615513788,0.2650566010211554,0.41371723666265325,0.39517267175080745,0.0008042375075561456,0.008465391803949182
157,19.0,0,0.07118239737600335,0.2650175779348666,0.4226279043162207,0.44490628256044873,0.0007028697203043052,0.008051277641525112
158,19.0,0,0.06930696675680781,0.2322194522643131,0.42662766324172585,0.4414013128317879,0.0007969959496503524,0.00805727697847661
159,19.0,0,0.06460231889658308,0.2646109891510417,0.39931704684454267,0.435085633679826,0.0007072089651536714,0.008052338972657261
160,19.0,0,0.06681294213317789,0.24731345527621412,0.4587222110872028,0.4023008031532845,0.000766827646320203,0.009334001755026302
161,19.0,0,0.07888866267020309,0.26030766067966565,0.3977322417681021,0.4045393244477584,0.0006898982455772152,0.00821899734672695
162,19.0,0,0.06670411054785685,0.22073633030923415,0.40165681603829423,0.4390026637817127,0.0006979182926454471,0.00823220243087202
163,19.0,0,0.06729261677183596,0.22416576031544433,0.4199869491591164,0.403018354112532,0.0007134839961790296,0.008039047269651505
164,19.0,0,0.07950409609901532,0.23992077939656953,0.39933373098852837,0.4195099171420987,0.0007300568949804762,0.008370934514319308
165,19.0,0,0.07794240012089855,0.22687958945599596,0.4442793614377398,0.38552566574295266,0.0006722673012524296,0.00920444738952613
166,19.0,0,0.06709504537158187,0.25790278596251687,0.44648808777405496,0.38345350896207686,0.0007304657201671367,0.009076212914029587
167,19.0,0,0.06898617688206954,0.26128306234157767,0.4491162042552571,0.46065699935346627,0.0008115206392857268,0.009067584432958586
168,19.0,0,0.07018166638272662,0.22300453596625242,0.46651858083268705,0.3852310624660068,0.0007769196398638499,0.00961467692860553
169,19.0,0,0.06686914689055044,0.2457035373985478,0.4355127620129408,0.42612760727069804,0.0008137624334445706,0.009014795875006178
170,19.0,0,0.07627570368983458,0.2548940504677188,0.4406672428348477,0.4558515701707839,0.0007201125670881792,0.009152178563325439
171,20.0,1,0.9186133443457061,0.0750681014836155,0.08397979589783634,0.05846900653468805,0.11279326401537619,0.176919411876876
172,20.0,1,0.9330025696208722,0.06557275249546227,0.08278249321125189,0.06132546252413873,0.11516615980385261,0.1671358056233967
173,20.0,1,0.8807154254887846,0.07163160556788457,0.0956146540233291,0.06354759590235841,0.12299809592046618,0.1649402500475742
174,20.0,1,0.7929173023550026,0.07128306837970053,0.09073884721648903,0.058706655866609024,0.12736716893185202,0.1699728826343821
175,20.0,1,0.9624061142722619,0.06703827240579038,0.10136892234686001,0.05461670903038555,0.11624664078428891,0.1822962328066454
176,20.0,1,0.8836196963304689,0.07413367927399316,0.08735962033302994,0.0537426733738702,0.12993989745278167,0.17161275302479528
177,20.0,1,0.8346520924746197,0.06257204293427297,0.0969938456948116,0.06507359177947333,0.12545355898440005,0.16553142763353626
178,20.0,1,0.9691876635436357,0.07004670328595847,0.08435256294843205,0.0655654823337079,0.11889626228645676,0.16140215677611586
179,20.0,1,0.8935088366942233,0.07393311306141624,0.09517966640629802,0.05963639324146632,0.12674644613933428,0.17043492947364108
180,21.0,1,0.8069215333100513,0.07384132805854744,0.07617682307494021,0.052930685980711385,0.10983197724992544,0.18148246582994054
181,21.0,1,0.8954073352987323,0.07026281527511283,0.08328804055291487,0.05829189212367277,0.09588837712344167,0.17549738969578324
182,21.0,1,0.8839959895410086,0.06448868339231764,0.09003725050755584,0.05484523440003078,0.09746171981972236,0.1499263796311463
183,21.0,1,0.8490841482507598,0.06435632986548644,0.08999847351124232,0.04728068991353037,0.1035152207530659,0.1672008014182504
