rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,NAT_AREA_BLOCK,ROADS_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK
0,1.0,1,0.9467744294949665,0.07216571274097641,0.04102582494251812,0.029082163531748063,0.37628242998611994,0.008530244507727876,0.0811487853566333
1,1.0,1,0.9364649876636041,0.07970083984688725,0.043047601613807225,0.029750894927821625,0.36257311891999744,0.009781565005043302,0.09259166220139554
2,1.0,1,0.8368726357693469,0.07880929249141289,0.047378960496087474,0.028426458379626696,0.3288194649725548,0.008417971916697862,0.08149022579394903
3,1.0,1,0.9742288182041181,0.08181046641126671,0.04171906062013443,0.02734172117291827,0.34542053879300394,0.008880118742926223,0.08991851370194556
4,1.0,1,0.8155616915495331,0.08204219048323184,0.04371108949566031,0.02659952342573293,0.3051988153394187,0.009286720585592032,0.09175959719863658
5,1.0,1,0.9099188117543946,0.07055598860381623,0.04722668858335901,0.02810077788573873,0.32814488938553976,0.008319554487806071,0.09234586068799454
6,1.0,1,0.8309467161360349,0.07334093468179478,0.0470884351840173,0.031050088485385204,0.3563418861828551,0.009636918342558327,0.09646952809008781
7,1.0,1,0.8822405915139964,0.07871102720060712,0.04687871743882627,0.026465104559784305,0.3712026061848315,0.00871142364349078,0.09556494852630973
8,1.0,1,0.9572114891299742,0.08286230228442566,0.046371364013714104,0.030982072029199646,0.361835051458348,0.008288118082558336,0.08123728967110372
9,1.0,1,0.8732020573826728,0.07907974450324431,0.042305127946406215,0.02781830356592923,0.3229619694151593,0.008317950388129521,0.09885344158894091
10,1.0,1,0.8782444749861885,0.07412872843824378,0.04135893475952675,0.030930947332652576,0.31098694644455527,0.009338755778752405,0.08325190767733166
11,1.0,1,0.9426723697053995,0.06863755480275062,0.0471836195786933,0.028038097508238533,0.3701982533044707,0.009824112739522092,0.08245569567848701
12,1.0,1,0.9260022119092605,0.07725221392743312,0.041525467152887054,0.026037308168661153,0.3494868081735867,0.008907820217033851,0.09152748484081406
13,1.0,1,0.8176332426995059,0.08263255154680771,0.04359091719774235,0.025550525133824473,0.32295461341458026,0.009256982033634262,0.08764640744500285
14,1.0,1,0.9214134601372443,0.08209792812525471,0.04507750869597542,0.027929954291089056,0.34983218706539976,0.009691012601946623,0.08301298435694218
15,1.0,1,0.8223076365947356,0.07222083412020734,0.03958068711116844,0.030618297352935007,0.34749492435089885,0.00832588054170114,0.09860919408342288
16,1.0,1,0.8975472235707965,0.07678713840662857,0.04331993038169121,0.025101147967813153,0.3065344258819358,0.008807879898851335,0.083196131380868
17,1.0,1,0.8648414050110325,0.0811183181577681,0.0438461478392664,0.02942109712128962,0.3551651378290843,0.009394801354917678,0.08875672319465579
18,1.0,1,0.9320056669518721,0.07955836989608073,0.04431592552178606,0.02768626482539789,0.3647508567374745,0.009313315311160494,0.08761067337286979
