fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,0.9862813692145932,0.08012423532069808,0.03470890650226147,0.17311888194621008,0.007708932897894134,0.09058071167584807
2,0.9914838772813028,0.06868203897096085,0.043173158921634376,0.1754494796743535,0.04471898093489639,0.10022009483477815
3,0.9903188674333331,0.0714398717386037,0.037276313494487255,0.17434254801678317,0.028763694070337062,0.08924500431041509
4,0.9883158915600695,0.08253411925046135,0.03522158408518711,0.17322953545054676,0.008847791477118004,0.0869381230587369
5,0.9868971740681414,0.08757362891946906,0.03868263695293213,0.1721129983668763,0.005447745303723934,0.08955776495448578
6,0.16203994136965474,0.30400801306748754,0.4052777797049355,0.1654536197905671,0.0077977993369463365,0.022207356858488604
7,0.14494749622295922,0.2858383915685606,0.4007288706007072,0.1643651622845646,0.004297724425542102,0.02013478196511949
8,0.12362976254473523,0.27068483187068915,0.40578775261765576,0.1632860477531346,0.0024150796547285952,0.015188853892438573
9,0.9796560764705363,0.06681299833196537,0.05817640572838675,0.17792924146419145,0.08536563804480125,0.16528655637083384
10,0.9882668076101708,0.06546081718664122,0.050328155695224266,0.1768003055784545,0.06883432832574005,0.13893018884654104
11,0.9898470832622028,0.0717582441617363,0.0431054328527691,0.17565800946844798,0.05015377923748538,0.11143367026225731
12,0.9885496989795007,0.0801189994915012,0.03700017704912781,0.17450588183522758,0.028789993243257206,0.09629673033608506
13,0.9880425961463881,0.08875002285493448,0.03495416977629504,0.173347113534967,0.010763603801834758,0.08920047424228196
14,0.9861318076818104,0.09828185751486034,0.03530633037197253,0.17218458075493384,0.006131234384749256,0.08979403575365294
15,0.17997781938310475,0.3608548496312205,0.436097617746997,0.16639687530771638,0.02240124791626607,0.02339896326285283
16,0.16869523859183247,0.32098884079217066,0.429290839964222,0.16525728285776822,0.009813755568023353,0.021859222936825063
17,0.14768436956590936,0.2920252368625452,0.42727118847984863,0.16412704180478935,0.004422781647212042,0.0184690506469928
18,0.11894994362665476,0.2679804020256762,0.44258724512049225,0.1630072499968696,0.0020866902895557093,0.013430318419058646
19,0.09507368926595451,0.24672967200723858,0.4781088067498741,0.16189885983659347,0.0007533980760855192,0.00914096008821464
20,0.9581415343056084,0.07302916184442762,0.06627379711686004,0.17937935868470445,0.12106635471073948,0.1745812725244625
21,0.9690385765896247,0.0701891258173157,0.061279432919458324,0.1782467582823742,0.10561749759186856,0.17046629870554697
22,0.982124736977901,0.07332948554802184,0.05220737229891284,0.17707159793238658,0.08179246150025231,0.15411516313599977
23,0.9824084529470452,0.0832647732917922,0.04244625555172786,0.17588150609736072,0.051061348583998564,0.13575791986303323
24,0.9753107651664247,0.09864605030040645,0.0369079528941339,0.17468050438317925,0.026018098885976695,0.12431337045235659
25,0.959967837000917,0.11330935709181703,0.043828610006241844,0.1734722152300093,0.013423392238345863,0.11944522099277277
26,0.2733874975102364,0.4980301216268217,0.3684782818243062,0.16862623079018982,0.11929777453251779,0.07299783239893322
27,0.2164865893475473,0.48058711950752875,0.4087526000087131,0.16742381248188792,0.07174770540493225,0.039883896522222524
28,0.18856832023724593,0.42757995333696325,0.4382694040949005,0.1662289881658228,0.030949560434320792,0.02455586581819817
29,0.1724552666133706,0.366235033616557,0.46221246616442885,0.16504332805282715,0.011180294742339045,0.02075128535944475
30,0.14945839657596946,0.3113512050316929,0.48510490952997964,0.16386820073865518,0.004527982689364106,0.017355304056422407
31,0.11693114075243587,0.27003211755293144,0.5189409805760268,0.16270479193919785,0.0016342720983691084,0.012411783985917484
32,0.08669316289493414,0.22798177100130101,0.5536779460832252,0.16155412184691592,0.00017763490790717655,0.00801231913247138
33,0.06094801051459629,0.17655221928133927,0.5893704161129284,0.16041706115572033,0.0,0.004017995447960517
34,0.050124317524559314,0.1527602292111955,0.6214363964008597,0.15929434581186058,0.0,0.0022287582369625537
35,0.9405484112683987,0.08627904743921957,0.0728538060541365,0.17976701167555237,0.13269207868823768,0.1828162715919508
36,0.9531516130251277,0.08489159084078683,0.06502759793896128,0.17858837950075465,0.11774144000436253,0.18124124148172127
37,0.9647443647107926,0.08842803679566968,0.05409549730092409,0.17736334641375673,0.08415825042178418,0.17687027754974263
38,0.9632034404057473,0.10257355195342004,0.04684545771825951,0.17612152671243025,0.04819983625517514,0.17538091234750736
39,0.9420971290207947,0.126727343955496,0.0480272386073852,0.17486753069385144,0.024703152447101476,0.17237204607338846
40,0.8955795584247163,0.15514591976080114,0.07052150662478104,0.17360549372049516,0.02044601935563275,0.16925002994768945
41,0.8231257850696586,0.19721446129051573,0.10313309895948705,0.17233911125608878,0.04039127525106123,0.17783572592478514
42,0.4345276117344376,0.4600834970427942,0.25224800995325275,0.1698060961827214,0.1847373651698867,0.15175156356239575
43,0.3223237440476246,0.5277652734242915,0.311784530019215,0.16854495645352804,0.15282439943010648,0.09741818981164227
44,0.2430258839268895,0.5476965703736063,0.3625542056341264,0.16729051835100506,0.08819008530691134,0.05045134408342045
45,0.20187637398228783,0.5132369605623122,0.4105794836780593,0.16604476307603214,0.03532825455649659,0.0280527511901176
46,0.18018956462717464,0.43258780034148914,0.45881926646175963,0.16480941481604036,0.012130968016880022,0.024221666896090763
47,0.15113345418099694,0.3444944829385093,0.5266272683124491,0.1635859651769036,0.004263169481147134,0.019622307025821992
48,0.11259457473059423,0.2768398145094664,0.5988788399531758,0.1623756958088533,0.001126883144406986,0.012955588974598855
49,0.07951329272168792,0.21268465191703798,0.641118586728834,0.1611796992762233,9.393155426920584e-05,0.007572545228630399
50,0.05608698664113436,0.16102668168403628,0.6579771489321253,0.15999889823927393,0.0,0.0032546923891598038
51,0.042632860337010026,0.13618660237126415,0.6742454925596617,0.1588340630290997,0.0,0.0008384237700957458
52,0.9216169150656257,0.11274191565147035,0.07015380838676417,0.17895671736986843,0.14470409628628067,0.19141389056761593
53,0.9338977918450043,0.1117116809739016,0.06255265156324702,0.1776777689376042,0.09165130318500282,0.1995859156244264
54,0.9248881460922055,0.12576093450341785,0.06368876818949634,0.1763798248701256,0.04463583279097525,0.20884795065576542
55,0.8857925943044387,0.1511293914981234,0.07817342195218856,0.17506820423249436,0.027855905437595686,0.21067358398022895
56,0.8266333844304598,0.18280251549844084,0.10448597497101371,0.17374765669468756,0.03604252611840763,0.21074312697793465
57,0.7600402945653651,0.23180108986730402,0.1275049152646814,0.17242240615698226,0.06613524865746906,0.21744475008105268
58,0.6505457081909655,0.33105114184811724,0.15630241647531726,0.17109619331248987,0.16055855884035697,0.2248511277541036
59,0.501845196557883,0.4707149987823145,0.19511106656875152,0.1697723166386116,0.21154307875989256,0.1880195475480522
60,0.3720167321462815,0.5786452218376548,0.2385466348993637,0.16845367145815404,0.18199498596993438,0.12314883655601293
61,0.27418263241933705,0.6122317515691563,0.29826690712598053,0.16714278683242437,0.11166889789741523,0.06432984671679334
62,0.22040805369402636,0.5755733523343065,0.36469110910987423,0.16584186014634233,0.04725281446540501,0.03666099085356312
