fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,0.9854554517952121,0.07969723985871609,0.03413287690726361,0.04542472474201341,0.01108166417115263,0.09184561051660141
2,0.9914838772813032,0.06515334181699976,0.045889530359288444,0.03462577844654846,0.04438450539816086,0.09887187624864029
3,0.990651475505155,0.0714398717386034,0.03930920228563016,0.03995780524793047,0.02666141954370545,0.08979025701117957
4,0.9888015992214253,0.08101628089051047,0.031774998596450804,0.04748778540819316,0.010689567210939693,0.07581362684833715
5,0.9871237584617822,0.08737275818062279,0.028466451204122067,0.05212236824204577,0.007591588349882595,0.08721095483217964
6,0.16653494124325732,0.30315866651846685,0.3913401432704905,0.1419256223816583,0.008022353313423427,0.024706879617497436
7,0.14494749622295924,0.2823880207252482,0.3511112436168934,0.11965828702153965,0.004389385525739272,0.02057885534808061
8,0.1181747031277262,0.26997812510039776,0.3747419422816106,0.1052180822254565,0.0024559729057933672,0.013776794770312815
9,0.9796560764705365,0.06461791107393257,0.05881602377120999,0.034972058843620576,0.08719361016308232,0.16701502181125527
10,0.9884608602873377,0.06546081718664105,0.05024782594719451,0.03532149981523613,0.06882091074488803,0.13904337996861732
11,0.989847083262203,0.07065936709621953,0.04355276545490055,0.04041701701125317,0.04901780955171801,0.10801622844592004
12,0.9882675602724746,0.07955276458288815,0.036287621741969193,0.04640279080104739,0.028789993243257202,0.09537634232735377
13,0.9880425961463882,0.08759020469121226,0.02906902005348716,0.05613288292286143,0.012947185235726919,0.08555755969467475
14,0.9861318076818109,0.09462567657728016,0.025087883747785724,0.059146343148124926,0.006809928305797902,0.08928384363212548
15,0.17997781938310453,0.36085484963121955,0.4492789341231987,0.24005787825957575,0.022725440211227504,0.0228303916185317
16,0.16894634064820588,0.32098884079217055,0.4272966476993084,0.17148634384120562,0.010506444693388328,0.018106260040524427
17,0.1510269691218424,0.2918524382194927,0.4108246866805375,0.13425133617907403,0.00442278164721208,0.018397651870891183
18,0.11884935444220594,0.26798040202567613,0.4203452577103011,0.10902162664958878,0.002123806232740198,0.012503658771875073
19,0.09507368926595446,0.24672967200723864,0.4524471155448523,0.08887834495776942,0.0008417377343893176,0.009078441210948198
20,0.9532019030792735,0.07222097376784321,0.07019455930075273,0.040778331141366975,0.12106635471073902,0.17752277364501093
21,0.9699462900038907,0.07018912581731566,0.06318169290707347,0.039599156574854674,0.10325183970187245,0.18228403423413173
22,0.9834502743482078,0.07245333840985614,0.050461090892463416,0.03845141395539111,0.08179246150025195,0.14642126986195975
23,0.9854652457892832,0.08326477329179222,0.041784457169933245,0.054846290645786416,0.0510613485839986,0.13730274267152318
24,0.9770658471344761,0.09898090798859185,0.03614433059397073,0.07170958594529456,0.026018098885976827,0.11400075817020544
25,0.9599678370009173,0.11332776037178517,0.03764512160728007,0.0825512887574281,0.015899442491269285,0.11856811176242749
26,0.27338749751023567,0.4997635454358443,0.38739236463732835,0.47871849607778233,0.12029035780962839,0.07044631281505183
27,0.21497965554391393,0.4805871195075289,0.4296494386394976,0.4296474012977848,0.07256303031420504,0.0345520783008618
28,0.18856832023724615,0.42450847505717204,0.4535257606803096,0.3094184149341893,0.03199993373488057,0.026836998853120426
29,0.17801147918300003,0.36623503361655674,0.46257082461742727,0.1987746142367449,0.011180294742339088,0.02252049913810992
30,0.14954865041264642,0.3113512050316911,0.4866815910557682,0.13772435642704442,0.004527982689364123,0.019541195964513317
31,0.11605824957033882,0.27003211755293155,0.5194118543645362,0.1114559111834823,0.0016342720983691318,0.011743882297613665
32,0.08669316289493403,0.22790658136332811,0.5486325273906876,0.07793620832053735,0.0003886456855754029,0.008870498443137444
33,0.06033990434361572,0.1765522192813391,0.5761211897555076,0.04664023264576007,1.6536188735853452e-17,0.0031485495492960943
34,0.0435157838655444,0.1507848648724787,0.6058382879731476,0.02564588965170671,0.0,0.0009631834122417204
35,0.9405484112683986,0.08152503462333563,0.07789834497973386,0.05692311758185422,0.136515544875472,0.18193256633796978
36,0.9531516130251277,0.08498352658802881,0.06625408779170043,0.060560004237261385,0.11430204416085789,0.18709314782329434
37,0.968482932569078,0.08842803679566903,0.053899541737994765,0.053726505484455025,0.08415825042178404,0.16453443792796274
38,0.9689771811234015,0.10257355195341981,0.04611886055145346,0.07176987378648525,0.04819983625517516,0.18479877429243283
39,0.9484130554145263,0.1267273439554956,0.04666083832044997,0.09475063794850239,0.02470315244710194,0.16558671194569533
40,0.8955795584247169,0.15478838092496983,0.06429433548298587,0.11711884646296335,0.02359354894554909,0.17239288962625696
41,0.8251638972869376,0.19721446129051567,0.09814475056427158,0.14214291899579573,0.040391275251061606,0.174718069720219
42,0.43295327462360483,0.46008349704279394,0.2686218273049677,0.39661654595241114,0.1847373651698852,0.15343643175839658
43,0.3233083033094732,0.5277652734242914,0.3212211012191607,0.4716651440765302,0.14714282206012366,0.10473692587324435
44,0.23697661313111898,0.5487706888300253,0.37100815857459346,0.46475386326180707,0.08819008530691182,0.04232752161476613
45,0.1941347074822693,0.5132369605623136,0.41022464709165507,0.3818632973517331,0.03532825455649709,0.02364779578174196
46,0.17822529796827555,0.4325878003414898,0.45811513130353176,0.23811706579205683,0.012130968016880116,0.020736378737799356
47,0.1527773019317755,0.34449448293850926,0.5289197833682703,0.15669380388693535,0.004263169481147186,0.018147891962541785
48,0.11068665925682376,0.2768398145094671,0.6021823821854485,0.10961398510696348,0.001126883144407026,0.010102332822521494
49,0.07637817219813624,0.2126846519170371,0.6465490699251926,0.06250964236907716,9.393155426921586e-05,0.0075892481517492805
50,0.05706535831267323,0.1607204905814911,0.6535510551551573,0.039992917510684164,0.0,0.0025143461490721207
51,0.04263286033700972,0.12990682553710642,0.6552898185776878,0.022594489387755302,0.0,0.0006807862555879879
52,0.9216169150656258,0.11359531687241983,0.0699622920888495,0.1064807140277039,0.17777644046987803,0.19446688746419818
53,0.9341841871254198,0.1107956034531657,0.06250931109977849,0.09678196609701703,0.09165130318500386,0.20120534788272876
54,0.9367960258416722,0.12576093450341794,0.06172904965464132,0.10158878618792284,0.04463583279097525,0.223379291008601
55,0.8835598272971558,0.15112939149812438,0.07649541630512012,0.11855800684492862,0.027855905437596036,0.21003554063672694
56,0.8257362442244033,0.18280251549844112,0.1037635672794157,0.141581795379725,0.036042526118407754,0.22865525669977715
57,0.7600402945653645,0.23280774839788085,0.1303326997269951,0.17224669721830438,0.07222783697375108,0.20516259360641287
58,0.6505457081909664,0.32833360245281895,0.16071275330779092,0.2549309968317146,0.15238786185039926,0.24737574258129189
59,0.5018451965578832,0.46877519654051536,0.19529817556030163,0.37885186705994284,0.20260223653571546,0.18228646813275995
60,0.36687454083761756,0.5786452218376554,0.23520594458820265,0.5040356754572521,0.18199498596993438,0.1292249092345085
61,0.27113787277113666,0.612231751569157,0.296830857012733,0.4995395216598024,0.11166889789741523,0.056026889939405154
62,0.21777760971067953,0.5755733523343083,0.36211164176708405,0.4251326896589415,0.04725281446540594,0.036433556858950215
63,0.19921091745146333,0.47897378427685056,0.4384806625375578,0.2699247383012628,0.01983593159140319,0.036520703684635496
64,0.1609393984663919,0.3759178305795923,0.5370415331347634,0.17202988875568376,0.006781306175756551,0.028800240750311328
65,0.11256035682468588,0.28953369134769424,0.6389718457925152,0.10907401961498114,0.0013825012596150636,0.017349329422488277
66,0.07182762275569776,0.20472728608515983,0.7132731567074362,0.0521900461582285,0.0001030514726524162,0.008604892437240724
67,0.051696454517732075,0.1461211217311799,0.7419571521371807,0.033535470663597335,0.0,0.002388078415050318
68,0.040148772624901234,0.11413140163007228,0.7558795525896436,0.01794916650966072,0.0,0.0005214906877568507
69,0.8459167774081955,0.17740030520788422,0.08280937243996227,0.16097008850719854,0.518348344569421,0.1670320587480549
70,0.8827370820866476,0.1456154438652904,0.07543594683520954,0.14496864379432114,0.3345522620629587,0.18518509703934172
71,0.8994998766671077,0.1300261691812836,0.07401629638291536,0.12458804930150981,0.16428154028031244,0.20588201263189448
72,0.8856065522790568,0.1365426962380594,0.08915378414308865,0.10837012239973687,0.05718683549271652,0.22189695460503703
73,0.8189720777029141,0.15958414280609345,0.11855651652428481,0.11065308558219739,0.035591320519157775,0.20811965616635256
74,0.7806166968040666,0.19115109554575893,0.14399865758551092,0.13093343577213473,0.05038069926521069,0.24191576494003006
75,0.7262741929414551,0.24746833902095394,0.14372105581222017,0.17958078131928012,0.09031564675304322,0.2421985701402902
76,0.68490406236068,0.34925685800224726,0.12935750205427612,0.2657486514383125,0.1742109519387767,0.2855773136531082
77,0.5515964103851849,0.4964261749818519,0.12953227042336599,0.3900873767235613,0.23020613308358717,0.21153464545366638
78,0.4037712358233768,0.61622764048421,0.17071496464893043,0.5056604811139703,0.20958411782520145,0.14433050710744624
79,0.2954154003078008,0.6405548045163347,0.2503981339067166,0.4822970158116436,0.14312215642605963,0.06705362673084944
80,0.2381375699404947,0.5896305841100093,0.3365365114495093,0.3987415510051894,0.07202134187414339,0.04832335569962289
81,0.2276228263233798,0.49318692689609855,0.42353286013280367,0.2694706392291644,0.03567576761352589,0.04820913398169319
82,0.17807208594360407,0.3977899191535016,0.5216199961472961,0.18735722961034712,0.012613247068104657,0.032441449133227815
83,0.12725722927914287,0.30089923530094276,0.6345296805908951,0.11531330993354474,0.0032330900478953184,0.02027008897357493
84,0.07761391611200147,0.20206335415193324,0.7319694820936076,0.05556912452706813,0.0007804415779436636,0.007194142578792755
85,0.0473079083126234,0.13488387631641735,0.7913296480338806,0.024445292444432557,2.053626097430303e-17,0.0011732410540988383
86,0.03736082968682005,0.11327368727829937,0.7940636388647382,0.01426056106042186,0.0,0.0003940022874458753
87,0.7579397978913172,0.2307216009274969,0.13167635481757217,0.17383936438109826,0.6266197480106828,0.07067295403308284
88,0.8092807793127804,0.1958019963300915,0.10415118273793834,0.1650542667246077,0.6109399078666878,0.12212539540303177
