rfuid,fid,Target,AGRI_AREA_SURR,BUILT_AREA_SURR,FARMS_BLOCK,NAT_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
0,1.0,1,0.9424326674794279,0.07493972056227595,0.004065800660553321,0.024753298713198688,0.013435296261918587,0.0933028340799878
1,1.0,1,0.8738431518004011,0.07415155725095537,0.004347470745813196,0.027607869480102694,0.01316814419267227,0.0844556152117016
2,1.0,1,0.9648261215327468,0.07182537348542137,0.00234898985415505,0.02840032158969993,0.01368962930195848,0.08684650820034127
3,1.0,1,0.9158179105662656,0.06915469966278108,0.0030687093787795682,0.025973433279576737,0.01339763154443924,0.08488378718185811
4,1.0,1,0.9221853560378405,0.07110790299796678,0.0011031370169131143,0.027059289465309243,0.012592190221031403,0.08767097558349839
5,1.0,1,0.837475338590607,0.08076195273972822,0.0018652731817401197,0.027258605050060745,0.014231771245199793,0.08753280429522522
6,1.0,1,0.8304590062870992,0.07174507915312094,0.003713194289102512,0.026716910123814906,0.01408071684675708,0.07995517414121657
7,1.0,1,0.9471463879533858,0.0729330826822956,0.0033258220467879403,0.02288111727596312,0.01245381903931846,0.08559039285769875
8,1.0,1,0.858107305553162,0.0831987336619845,0.002667374792376589,0.024659056461162666,0.013698757415667522,0.08941684979453943
9,1.0,1,0.9015134553090599,0.08354647735301388,0.001431368313668111,0.025582779289207186,0.012183238654686856,0.0942059782110084
10,1.0,1,0.8507510582897649,0.081706854725103,0.0009673577736447669,0.022568131052763177,0.01235240008266212,0.0946087963004799
11,1.0,1,0.8611157413619552,0.08389265268002802,0.004438198208603851,0.023495800550618902,0.012660395742226814,0.09391641739118654
12,2.0,1,0.8539002470790242,0.05890649022353403,0.02489693990252212,0.033106379102984064,0.045447499990542456,0.09124391577188366
13,2.0,1,0.8339754732534255,0.06428927404709095,0.020004424954206738,0.03715399332636046,0.046221665870992905,0.09544208701891564
14,2.0,1,0.8548660709033372,0.05780098894755006,0.01934130673490914,0.034089732172513286,0.047536480687270156,0.08851723177878304
15,2.0,1,0.9182603324258963,0.06208773928073795,0.01913789188962873,0.03781143041054211,0.04385345168789384,0.10048805288689687
16,2.0,1,0.822802903959242,0.06572839909937217,0.017933555590197423,0.03875219907503318,0.046329379002907276,0.09450666044402758
17,2.0,1,0.9661279682883893,0.060281923002625894,0.02257586094475537,0.03861560026711186,0.046053600879212196,0.10472502231630092
18,2.0,1,0.845559539749734,0.06513721193194097,0.02160394860513281,0.03646305680729102,0.048202975186370886,0.1038489221006716
19,2.0,1,0.9110146229487195,0.06874274591385872,0.021848678823543924,0.037987834370288034,0.047908690331310615,0.08789409971950517
20,2.0,1,0.8795282950137336,0.06217466893997112,0.021361285920588474,0.035802298572304415,0.04859698320833046,0.10668266635134215
21,2.0,1,0.9910849084590659,0.05792324320334441,0.02184298412497483,0.03357766260393778,0.0449194190683824,0.09715370051543318
22,2.0,1,0.8920290896292645,0.060574257518099944,0.019309078079278747,0.03703395960988797,0.04659719372575644,0.09637385063783495
23,2.0,1,0.9956334718788143,0.06795743146206071,0.018014433549626795,0.03733821137343083,0.04612332416390138,0.09344811789277549
