rfuid,fid,Target,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,URBAN_AREA_BLOCK
0,1.0,1,0.8824626757790947,0.06739446965171014,0.029657176038033944,0.009136005324978156,0.09695379531316851,0.09462588748655568
1,1.0,1,0.8506298979276304,0.08088612432592787,0.029583777035623135,0.008488786649275985,0.08347927714659296,0.10251297772455592
2,1.0,1,0.8760641343237286,0.07404935374607306,0.02977470388030069,0.008475992091412416,0.09047564039763605,0.09220234300692853
3,1.0,1,0.8973740129010123,0.0806948388026917,0.026724802660098634,0.008665801685116279,0.08366527030279777,0.08870631721230572
4,1.0,1,0.9541386101589887,0.07716949332001337,0.031598373077601404,0.008184145699897828,0.09902126938895829,0.08774629007549077
5,1.0,1,0.9651605601240015,0.07271181169537302,0.02929775782351013,0.009015967548277756,0.08644707983040328,0.10083299272939486
6,1.0,1,0.9318612203842398,0.07373882129816783,0.03079845059684876,0.009162925300091213,0.08135445327851085,0.0927904328299024
7,1.0,1,0.9258824368754738,0.07300529832325528,0.03094061449690204,0.009684818283060356,0.0823314895205546,0.09154382894140205
8,1.0,1,0.9000480872823601,0.07292922099276304,0.029926146909224783,0.009758026756712878,0.0989638050136435,0.09078496638872352
9,1.0,1,0.868967714673806,0.0776736894341494,0.03211175307177386,0.00835374891488888,0.0928035197693891,0.09587833284770725
10,1.0,1,0.8313203643794774,0.08167824801107972,0.03159008307549887,0.009560297307493203,0.09098973264836654,0.10118389725935141
11,1.0,1,0.9602342102048256,0.08172350783314353,0.02618274773014641,0.00816796966127967,0.0954058861198441,0.09779625878022657
12,1.0,1,0.9671980761056425,0.07891166101442504,0.03202087178051352,0.008394463461740541,0.0858511257196935,0.09137232272153639
13,1.0,1,0.956544970389346,0.07781601747002495,0.02708596541236295,0.00828745924197355,0.08277381257895894,0.10003614115480587
14,1.0,1,0.972829164025073,0.08163195628868854,0.028564296718645195,0.009106848032947725,0.0927455233637119,0.0971312893784647
15,1.0,1,0.9835625217082071,0.07896014832054149,0.025933425077227217,0.008823017019134426,0.08673437355086953,0.10400931850868649
16,2.0,1,0.9010083458412189,0.05425157562670479,0.03974253829037556,0.03791113280606791,0.10996290800389823,0.0679953438267973
17,2.0,1,0.9697997333094549,0.056093333038411554,0.041543561727918364,0.04386921638347846,0.0907690540283516,0.07649219933524605
18,2.0,1,0.8941535366235853,0.059439271328854064,0.03577071582335515,0.04133213818215621,0.10773148318268067,0.06963768054873444
19,2.0,1,0.8805921033590408,0.05513972057518829,0.03548658103765578,0.038595353634935436,0.09257811259612682,0.06787982979479248
20,2.0,1,0.8614797469506531,0.05456822166998818,0.037749188738645724,0.04090013387732798,0.09666275566019658,0.07597045721907925
21,2.0,1,0.8497960758935666,0.05632577155360567,0.03922063938514194,0.043185886135289446,0.10217476364358188,0.06895463798018384
22,2.0,1,0.8977219182985737,0.06038501805587639,0.04263641781534797,0.04076833189226124,0.10935485213321482,0.07844751094871308
23,2.0,1,0.8454200599384549,0.05243891998475788,0.03696533945475406,0.0411098678383789,0.10662482182784126,0.07456404883726223
24,2.0,1,0.8765537533603446,0.05204293938287178,0.04125897018310021,0.03855621474934986,0.10004134004118145,0.07793415057813648
25,2.0,1,0.9872700281303514,0.05135785158094459,0.03733246902767504,0.042752079557064546,0.10736387448966117,0.06917663511116433
26,2.0,1,0.8204463986094883,0.06215867935605546,0.041926382403816104,0.04519718914197827,0.09794625401375225,0.0797502699781191
27,2.0,1,0.8908993930879588,0.05950078264645312,0.035534248877584135,0.03840812529475579,0.11046707757601794,0.06804769487483901
28,2.0,1,0.8371813676788197,0.06208868424912421,0.0426236629434197,0.04178749005309338,0.10718284370677117,0.07548661539707563
29,2.0,1,0.8193640282004644,0.061027444455448825,0.03833582126007313,0.042743080371584266,0.09725058065562413,0.07297218429828237
30,2.0,1,0.964244602698501,0.05740938798006708,0.03977546671024905,0.04395354286218242,0.09347341274673628,0.07954480156350008
31,2.0,1,0.9675519670239341,0.05401323964058211,0.03986678326340568,0.03990957256477104,0.10700293188706672,0.08207331086169839
32,3.0,1,0.9420697154080422,0.0666108118745826,0.03160722743764516,0.03068058198515657,0.09260093160733275,0.08321654393218104
33,3.0,1,0.8759728038535249,0.06586286311734162,0.030845775133415822,0.03162782625230694,0.08515835420625296,0.07928345360141699
34,3.0,1,0.9275454619310304,0.07050093878798161,0.03535591609400587,0.027895869534248875,0.0800607521163282,0.08113137155131772
35,3.0,1,0.885725292631773,0.06812631049717865,0.03410223959775112,0.03143597490830003,0.09582922908716789,0.09425398165046278
36,3.0,1,0.8646937260979243,0.0720668730114877,0.034055844784348845,0.0275674325932264,0.07960167328680835,0.09205981119380238
37,3.0,1,0.8652696771037467,0.06217098401837123,0.03183929604288531,0.03017778356784759,0.08417309777645032,0.0933457572812123
38,3.0,1,0.889125139876087,0.0737586326877942,0.036349735305260734,0.03339691699686183,0.08182959801498008,0.09390238308907353
39,3.0,1,0.9205169752830568,0.06974417806082701,0.03660654525181738,0.03261575918927234,0.09121946994802149,0.0783345332709495
40,3.0,1,0.9693357402853896,0.07171127207698881,0.03657012241064579,0.028953892123856285,0.0810094371288224,0.08302754855987438
41,3.0,1,0.9610811731100107,0.060901823558069536,0.034925475171633295,0.02760729216650184,0.09260812367013185,0.08172769472542495
42,3.0,1,0.8908461504097375,0.06965644651001389,0.03662279156891154,0.03306536006083118,0.08712091791333172,0.08059392491858781
43,3.0,1,0.9668539310614772,0.06550575511961004,0.03460557757647144,0.030449072984454952,0.0919259293149234,0.08261656869543982
44,3.0,1,0.9812079128641932,0.06517159115618272,0.0322804214513193,0.029558862591457933,0.08594269199003074,0.09286449127415006
45,3.0,1,0.8751746056258353,0.06630585317665305,0.03578873554991192,0.02944156844762559,0.09197414572988818,0.08731005221530055
46,3.0,1,0.9807593999649648,0.06024277824962118,0.03212452857307251,0.03193377413141537,0.0905616059216879,0.08289629005866338
47,4.0,1,0.9757186375099944,0.07379821255369358,0.024398961404138726,0.009959559987022203,0.07342105972740065,0.10119501573068977
48,4.0,1,0.9658540246556621,0.06784596947974313,0.023677600139308176,0.010461367789822623,0.0844312242384288,0.08991823231335284
49,4.0,1,0.8340825720837957,0.07137466571936488,0.024383323435681708,0.00954513764668086,0.0767780277495938,0.09559331860546287
50,4.0,1,0.8999195619439458,0.07608364079398797,0.026296251519139415,0.010078302814148883,0.08029748775116138,0.10321628412094871
51,4.0,1,0.9193567017089547,0.07010913191747702,0.02380751639036034,0.009917748709968477,0.08505125459818676,0.0923094470218012
52,4.0,1,0.9538429413279331,0.07552196874089348,0.02709847280400005,0.009387882709771964,0.08439990613679473,0.10319808275716166
53,4.0,1,0.9570876315284306,0.06975965294785558,0.028291543542351177,0.011007291622010274,0.08444741274162418,0.1013656089922749
54,4.0,1,0.8230866880931088,0.07131571922535333,0.028975763273959544,0.009296682465874687,0.08177455719068309,0.09979642829664141
55,4.0,1,0.9562924279476148,0.07990075989146728,0.02529657053567363,0.010387849103307364,0.07533687895968501,0.09506890656109647
56,4.0,1,0.9167372118272453,0.07317799830659978,0.025035049988134883,0.009717593608006279,0.0757521577882703,0.09047134635026491
57,4.0,1,0.9595583538250045,0.06987127698268741,0.0292582614264102,0.010786315749796207,0.07546182830339117,0.09691775260931927
58,4.0,1,0.8287139524388896,0.07364355262884503,0.02448966505385195,0.010518610171355108,0.08475970785617733,0.09168443031686567
59,4.0,1,0.8166597196925892,0.07626459124822284,0.027057664130601015,0.01021326053844143,0.08651638143653075,0.09283850022347818
60,4.0,1,0.9627171329166846,0.07509685671985238,0.02845046253878389,0.010325003988854333,0.08319594232486728,0.1058202842266239
