fid,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,0.03413287690726361,0.05192045920280854,0.389750381587884
2,0.045889530359288444,0.04365262965875783,0.38807922932437156
3,0.03930920228563016,0.04851918588986298,0.3888318467576764
4,0.031774998596450804,0.054884832510149535,0.38706023169200554
5,0.028466451204122067,0.06377115950202226,0.38925612303326346
6,0.3913401432704905,0.1777370895955722,0.45817971247863915
7,0.3511112436168934,0.14421504097716367,0.41541813204341344
8,0.3747419422816106,0.12058089943619421,0.40102084805732974
9,0.05881602377120999,0.045583546245427514,0.35281131216456324
10,0.05024782594719451,0.04221854105125447,0.36992394664242545
11,0.04355276545490055,0.04701521509362877,0.38508291038498704
12,0.036287621741969193,0.054251421666374186,0.39175585014872927
13,0.02906902005348716,0.06137440580369238,0.3909023775833067
14,0.025087883747785724,0.0789512696013797,0.39123055241759475
15,0.4492789341231987,0.26350366920742085,0.52973050413068
16,0.4272966476993084,0.19167622822036665,0.48561431834459556
17,0.4108246866805375,0.14644204743604938,0.44119585153832575
18,0.4203452577103011,0.1165028201946371,0.4115746931501217
19,0.4524471155448523,0.09163395280475718,0.40939235636637866
20,0.07019455930075273,0.05756100613787764,0.3578026450703189
21,0.06318169290707347,0.04990463843916035,0.36158317083050073
22,0.050461090892463416,0.05231795123041818,0.37596874807209074
23,0.041784457169933245,0.0589103850810559,0.39282395527932384
24,0.03614433059397073,0.07098587783300986,0.4079743763757508
25,0.03764512160728007,0.08357388657101425,0.416139377781691
26,0.38739236463732835,0.4513871474062646,0.6451633973746609
27,0.4296494386394976,0.4026092373443809,0.6296084504252956
28,0.4535257606803096,0.3164117380614132,0.5857413715337205
29,0.46257082461742727,0.22544626009201282,0.5324277780720059
30,0.4866815910557682,0.15128303241335697,0.47982164379087044
31,0.5194118543645362,0.11412924013478158,0.4448015726453631
32,0.5486325273906876,0.0824612823062514,0.42750056320343777
33,0.5761211897555076,0.055750617027339126,0.40556318577668027
34,0.6058382879731476,0.04519256363367132,0.38717377953791254
35,0.07789834497973386,0.07489841152634384,0.3698923192183587
36,0.06625408779170043,0.07048783472252844,0.37926236285877946
37,0.053899541737994765,0.07150133149495193,0.38996918282335297
38,0.04611886055145346,0.07787083923955586,0.4105649655055123
39,0.04666083832044997,0.09512142105386501,0.4337383225567157
40,0.06429433548298587,0.11507101793457841,0.44894627601024634
41,0.09814475056427158,0.1578525911225222,0.47072981746942666
42,0.2686218273049677,0.39997288133385467,0.6501540428323009
43,0.3212211012191607,0.4589665735133384,0.690421433888797
44,0.37100815857459346,0.44214050602986266,0.7034869458976043
45,0.41022464709165507,0.3596508760856829,0.6728353944033274
46,0.45811513130353176,0.2589174063037102,0.6035118194677933
47,0.5289197833682703,0.16482242616981818,0.5326172957021672
48,0.6021823821854485,0.11135386060922187,0.47867681715755744
49,0.6465490699251926,0.0741250276985068,0.4397906713292556
50,0.6535510551551573,0.04730273840703608,0.40403947030317966
51,0.6552898185776878,0.039990162971915634,0.37125873997473025
52,0.0699622920888495,0.10240602764809684,0.4263349929108998
53,0.06250931109977849,0.099277748068721,0.41279189285642476
54,0.06172904965464132,0.1008035952391567,0.4304503962739583
55,0.07649541630512012,0.11320756235836174,0.45089701816994415
56,0.1037635672794157,0.1363136078527775,0.46450098016522473
57,0.1303326997269951,0.18490813367749362,0.4880766156254138
58,0.16071275330779092,0.27844496864221546,0.5553077842384065
59,0.19529817556030163,0.39314851412024276,0.6600881154601604
60,0.23520594458820265,0.4595274997454271,0.7337233451636052
61,0.296830857012733,0.4760715125488345,0.754515331285244
62,0.36211164176708405,0.3962400228689596,0.7276564918123672
63,0.4384806625375578,0.2817997863675981,0.6555577787355342
64,0.5370415331347634,0.1801957006616027,0.5776156539361217
65,0.6389718457925152,0.1145395568730195,0.5076822180195517
66,0.7132731567074362,0.06981126817267316,0.44291455119274914
67,0.7419571521371807,0.04235744943520059,0.39134311370855834
68,0.7558795525896436,0.0301859512188712,0.35015391890229985
69,0.08280937243996227,0.1449332911384544,0.5884120979241295
70,0.07543594683520954,0.13382727945225897,0.501662387221286
71,0.07401629638291536,0.1202784611637271,0.4517152154805344
72,0.08915378414308865,0.11212937970243571,0.44365523843394405
73,0.11855651652428481,0.11719505956448255,0.45279248778492065
74,0.14399865758551092,0.1385197958049084,0.4643256390757342
75,0.14372105581222017,0.20066918633913458,0.49776737022833817
76,0.12935750205427612,0.2964419086137553,0.570004470987141
77,0.12953227042336599,0.405135960586957,0.6764330300932372
78,0.17071496464893043,0.48859652558326994,0.7531978697150682
79,0.2503981339067166,0.4831463514739064,0.7649964778697541
80,0.3365365114495093,0.39932230954926035,0.7401367741556161
81,0.42353286013280367,0.2876194240012446,0.6810267668012567
82,0.5216199961472961,0.19164087621033207,0.6088247610409814
83,0.6345296805908951,0.12206971663474393,0.5217723241904468
84,0.7319694820936076,0.06870566885239614,0.43157432703703896
85,0.7913296480338806,0.039367670921043,0.3690912102165328
86,0.7940636388647382,0.026637812645546616,0.3438302485046352
87,0.13167635481757217,0.15218195756875014,0.7207747227261495
88,0.10415118273793834,0.15253070456182005,0.6458172533318046
89,0.07971130127675988,0.14120749293500973,0.5573665862108631
90,0.08371765348673732,0.12543707702275456,0.4885362292680376
91,0.1120298883309264,0.10878942845651751,0.45440320111048255
92,0.14391560521792296,0.11123837683854172,0.45758509139098813
93,0.15104012390660004,0.13568611227372937,0.4718588638273469
94,0.12564765543986256,0.2093045480436318,0.5214662789454462
95,0.0940469910178072,0.3271603131977585,0.613188963357333
96,0.0932844012343609,0.45304775573637085,0.7091511232656814
97,0.13899481653916426,0.5139788483438364,0.7580684922728087
98,0.2233140886551707,0.48393986344446777,0.7520097282849393
99,0.3161934490035273,0.39352623648557894,0.7301538487485741
100,0.4037782506347073,0.29506871832726594,0.6961253238296989
101,0.5002039995327191,0.20385606150546878,0.6321667106895726
102,0.6161011249128577,0.12212061526089799,0.5143232637295212
103,0.7136922901452017,0.06423604950775152,0.3889553983996864
104,0.23344925113053824,0.11987113144750713,0.6784596015258697
105,0.15197192913148622,0.13608539284064491,0.6567159191195293
106,0.09452925261817069,0.13564327823291064,0.594089515041608
107,0.08921827107606922,0.12472381684471118,0.5271540761220745
108,0.11557456223085497,0.11345563400381427,0.48280250506062405
109,0.13267933438724216,0.12112377601344258,0.4834173282689935
