Unnamed: 0,fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
151,152,0.496593277,0.5647869695,0.5566526826629999,0.321013819,0.320948196875,0.320634532734,0.07395506,0.04027302025,0.043971453642,0.124421666,0.15512425075,0.151561139592,0.196592153,0.165823946125,0.1690733931419999,0.032757414,0.025273516625,0.026078955717,0.058011734,0.09363500975,0.089587191132,0.271726142,0.2926307045,0.290017667358,3.075372087,2.304691400125,2.387932264968,0.114205568,0.46026403425,0.421391280462
174,175,0.593765162,0.5200947018750001,0.527752028247,0.253350941,0.3541482703749999,0.342605618544,0.055493208,0.042560976625,0.043953893331,0.104933558,0.15145382375,0.146138620428,0.1484173829999999,0.2026944466249999,0.196466998116,0.030379856,0.02633401525,0.026756769558,0.183670827,0.108071670375,0.11635510509,0.206628332,0.209077510125,0.2085965738429999,2.2780897290000004,2.46592238925,2.442607041573,0.372311342,0.435871978625,0.428380875981
200,201,0.259397369,0.419871367,0.401638881855,0.5109109159999999,0.44688433225,0.453544398714,0.0455979,0.03607052825,0.0370919959859999,0.123359737,0.2069487462499999,0.197463417477,0.387551179,0.2399355859999999,0.256080981237,0.027889821,0.03536339675,0.034498466445,0.07011281,0.142014433125,0.133891338525,0.0,0.0507122445,0.045032473116,2.869849593,2.6458488192500003,2.668067056317,0.585602159,0.51391727675,0.521360381403
229,230,0.404728241,0.420368970125,0.4182124802219999,0.471788011,0.43984718625,0.4429527706109999,0.041965923,0.041630596,0.041626186701,0.21657901,0.18489277525,0.188225054532,0.255209001,0.254954411,0.254727716079,0.033019531,0.04430429825,0.043007384787,0.114060592,0.1255329625,0.124133996412,0.001102452,0.005505048625,0.005010855351,2.5279974860000003,3.02525565325,2.967034741032,0.6138793579999999,0.8564408586250001,0.8286600911970001
252,253,0.55738464,0.595051895125,0.5902757779109999,0.376148102,0.29200563775,0.301053445644,0.022140952,0.0609518845,0.056582919108,0.162032443,0.1339830586249999,0.136962557232,0.2141156589999999,0.158022579125,0.164090888412,0.034077403,0.05862108525,0.055838115435,0.207489682,0.193292396125,0.194675002461,0.012327938,0.004475581125,0.005342717157,2.7034013530000003,2.583988272375,2.5946591360520004,1.4906715149999998,0.9733156214999998,1.029768810057
253,254,0.509672084,0.520324000375,0.518621313657,0.368052875,0.357815584875,0.358594108494,0.078921242,0.067987471,0.06913313211,0.1697277,0.18475066275,0.182898363222,0.198325175,0.1730649221249999,0.175695745272,0.092570155,0.067277750125,0.070017929316,0.077067873,0.160243810125,0.1508510372939999,0.0,0.00167879875,0.00149077329,3.096872833,2.6743772278749995,2.718599862816,1.546457498,1.245756834,1.27788885087
271,272,0.599616377,0.79668429275,0.774013069809,0.2652002539999999,0.1370737498749999,0.151158718083,0.079721617,0.04243591225,0.046532189565,0.113320625,0.064344925125,0.069716882886,0.151879629,0.0727288247499999,0.0814418351969999,0.011314336,0.0260744561249999,0.0244100083349999,0.261381619,0.37673022275,0.363549797511,0.018763928,0.031918286625,0.0304262345309999,2.507381809,1.934510158375,1.9961644014360005,0.799885295,1.1865875605,1.142477021469
297,298,0.481450539,0.5861875857500001,0.573975585975,0.314233378,0.3027672835,0.303737252706,0.12562279,0.066843026875,0.073300737555,0.173435007,0.151215782125,0.153530900304,0.140798371,0.1515515013749999,0.150206352402,0.041196193,0.055551856125,0.053902825662,0.110956089,0.2020214825,0.191711202339,0.0,0.0,0.0,1.91183992,2.2490224862499995,2.20934619891,2.154633833,2.0402236411250003,2.050882948782
298,299,0.492982321,0.457167186375,0.4606854991319999,0.341568719,0.3469784208749999,0.346030965546,0.123445313,0.147677257,0.144839833959,0.176969552,0.195973494,0.193668082944,0.164599167,0.151004926875,0.1523628826019999,0.05602711,0.05207885125,0.05246502912,0.193956651,0.126323360625,0.133704332496,0.0,0.0,0.0,2.095519595,2.23109566525,2.213815625787,2.794134439,2.4315120615,2.469331633341
318,319,0.436116947,0.4774264561249999,0.4723636741559999,0.4720871029999999,0.360620112625,0.3726323284439999,0.049934375,0.1148347305,0.107515956309,0.233652723,0.205052258,0.2080218573569999,0.23843438,0.155567854625,0.164610471087,0.047899132,0.0435487465,0.043988090544,0.112837011,0.1491911585,0.145006656969,0.0,0.0,0.0,2.675996536,2.150813527625,2.206958028027,2.317506385,2.751205401125,2.700313604934
338,339,0.597412074,0.4782728864999999,0.491019063426,0.357086598,0.3829218887499999,0.3796712495879999,0.0074665669999999,0.094771544125,0.0849859201199999,0.148245577,0.213958534125,0.20645043735,0.208841021,0.168963354625,0.173220812238,0.064194456,0.044659902125,0.046783577703,0.229796449,0.13814272825,0.148178148525,0.0,0.0,0.0,2.523463295,2.22433115475,2.255310491163,3.729544233,2.682519437625,2.796056670474
358,359,0.594078555,0.523096225,0.530452167405,0.288689862,0.3237782812499999,0.319559688432,0.097375938,0.1171647234999999,0.114851003586,0.088503802,0.187594777,0.1764080839979999,0.20018606,0.1361835042499999,0.143151604434,0.064002166,0.05161410475,0.0529375654439999,0.146341728,0.17394712875,0.170708982138,0.0,0.0,0.0,2.2420516380000004,2.0859565605,2.101197157542,3.113869199,3.217929693875,3.20316104925
400,401,0.444507389,0.4976688569999999,0.491270265195,0.303890226,0.2269355938749999,0.235250622447,0.225765733,0.24997838125,0.247040798913,0.15667139,0.134709207,0.137012300106,0.147218836,0.0922263868749999,0.098238322341,0.033265092,0.03572948225,0.03542020545,0.088616644,0.17574041825,0.16589393889,0.0,0.0,0.0,2.15862944,1.7109685926249998,1.758947978091,4.654493165,3.487414702375,3.613472997024
