fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,0.9794176804661872,0.07858712368071553,0.03413287690726361,0.04468487999239267,0.008856474482424544,0.09421480477339333,0.38840828571073877
2,0.9896099065115594,0.0617244101458776,0.045889530359288444,0.033523025369375105,0.041273933031424535,0.10539006791328986,0.38704230321157146
3,0.9871718644630322,0.06957350879713023,0.03930920228563016,0.040971503751083445,0.03050458033517214,0.09191462502033282,0.3896469698005167
4,0.9863725512000081,0.08027333361275546,0.031774998596450804,0.04677508384875014,0.010207764076735371,0.082710404501575,0.3869683257243251
5,0.987040019192066,0.08600281350382674,0.028466451204122067,0.0527238985869459,0.005949763336791482,0.09038090278299282,0.3870104629282231
6,0.16764545455284408,0.2890579677038788,0.3913401432704905,0.13973887074593183,0.008192764487080662,0.024824357947110017,0.45244767000278185
7,0.1410062400010143,0.2696773336265552,0.3511112436168934,0.11716548285820355,0.004546122236075948,0.019993380314910165,0.40329823101815726
8,0.10965559977116589,0.2535972347159221,0.3747419422816106,0.10455748647035165,0.002592668319149741,0.012789864166370067,0.37053765091682533
9,0.9776433438394093,0.06251686632292472,0.05881602377120999,0.0347773324918732,0.08967354224363172,0.16640311074759118,0.34966834909033023
10,0.9874561236972575,0.06254127924826854,0.05024782594719451,0.033853158956510414,0.06855533733196036,0.14137001151212594,0.3681500269425603
11,0.9923999011841564,0.06755545873715886,0.04355276545490055,0.03730650457395813,0.04759851403602649,0.1090665342200441,0.3859218807271026
12,0.9897799984109149,0.07527788201250578,0.036287621741969193,0.04640279080104708,0.030262994090183667,0.08762636230401469,0.39003388040369275
13,0.990205405835267,0.08705300683581871,0.02906902005348716,0.05306563124061833,0.011405466700596945,0.08305956015397917,0.39068582686374653
14,0.9894355889390262,0.09286199875184893,0.025087883747785724,0.05794409627643724,0.006476729284900856,0.09157378588705158,0.38827236815212873
15,0.17921165284526944,0.3498097304002842,0.4492789341231987,0.237369126643078,0.022672888217752478,0.02261116768922107,0.5337163586555459
16,0.17430463678236052,0.31211440883178854,0.4272966476993084,0.17296319668860638,0.01017883829667064,0.021469927395236125,0.48671524184122444
17,0.15059915095055063,0.28547635167211627,0.4108246866805375,0.13425133617907417,0.004461536596768347,0.01879907948379849,0.44183828708885164
18,0.11399329669158659,0.259342638257851,0.4203452577103011,0.1144284966954024,0.0023887611667256854,0.011198739992472178,0.40139015142016254
19,0.09065133638049731,0.23718794957831163,0.4524471155448523,0.08816295264121006,0.0008946860010251562,0.008236580915467017,0.39986973623742034
20,0.950101433132315,0.06694231171277676,0.07019455930075273,0.04077833114136692,0.12275546762408161,0.17364039120998584,0.3445138057167366
21,0.9702166811893589,0.06742407011839413,0.06318169290707347,0.038480711078814726,0.11182742417416008,0.17748028892881434,0.35612051508829673
22,0.9846951053497159,0.0683633497051427,0.050461090892463416,0.038451413955390576,0.08239241922759573,0.14765798639839844,0.3719603392195054
23,0.9882603714948178,0.08167445918464043,0.041784457169933245,0.054846290645786486,0.051025671100517804,0.12841705051570998,0.39542026914619954
24,0.9787099160563935,0.09947082591683079,0.03614433059397073,0.07170958594529461,0.027059981965482628,0.10956924239408423,0.41176069926404396
25,0.9688878398014727,0.11155557207824617,0.03764512160728007,0.08629514158734074,0.013986324141313962,0.1149809766725143,0.4148523415344741
26,0.2606211180249738,0.47822579467808385,0.38739236463732835,0.48748540819646186,0.1207531943052056,0.06583027283347832,0.6343544015406382
27,0.2009111822340544,0.465678561792108,0.4296494386394976,0.4464925407189102,0.0709703990184187,0.03135347892987424,0.6232935444456289
