rfuid,fid,Target,INDUSTRIAL_AREA_SURR,NAT_AREA_BLOCK,ROADS_SURR
0,1.0,1,0.042500874100030325,0.027238606986533593,0.3815280887209432
1,1.0,1,0.047212810989802484,0.022339209017190956,0.36127759549960725
2,1.0,1,0.050928003747606386,0.0281828110586608,0.3710643927906256
3,1.0,1,0.04275296877597513,0.023988921244586604,0.31050180268971755
4,1.0,1,0.045862248050032875,0.02415093297801746,0.3200349029000263
5,1.0,1,0.04831447734835278,0.02503559078810625,0.3368748124482536
6,1.0,1,0.04264065078867999,0.02548775095296101,0.3439834840706322
7,1.0,1,0.04265442744738986,0.022880176254709072,0.3319762400609215
8,1.0,1,0.04493567495839682,0.02585495981718108,0.36359506648866285
9,1.0,1,0.049191756643471286,0.026152709680736894,0.37106276771697727
10,1.0,1,0.043526852436786015,0.022552205092737913,0.3429655181454002
11,1.0,1,0.051166618519043194,0.026028664019331425,0.3570057711892587
12,1.0,1,0.05194690313643474,0.024570107492090505,0.33158937762785445
13,1.0,1,0.05052804466311743,0.027014917838896337,0.37943902936056867
14,1.0,1,0.04838719873062108,0.024626913549644552,0.3552375013149886
15,1.0,1,0.04311333008091301,0.028200581035916574,0.35780901444388946
16,2.0,1,0.03561196689148782,0.033317877257212296,0.3275017655139258
17,2.0,1,0.0372060322911272,0.03511120095657872,0.3749560695776134
18,2.0,1,0.03776865390819538,0.0358606879077393,0.35212942994461316
19,2.0,1,0.03708429810220257,0.03952690192561948,0.33859802771117903
20,2.0,1,0.03927891057218802,0.03594862699455078,0.3413432610274461
21,2.0,1,0.03705269558894269,0.032256442174901534,0.34923186509883997
22,2.0,1,0.04019615717225923,0.03243107049249237,0.34486613456567156
23,2.0,1,0.04101346012023495,0.03436149357906444,0.36272046288573667
24,2.0,1,0.03977743877580412,0.0349276489059442,0.34139684644604784
25,2.0,1,0.033956290850822864,0.033560858758810076,0.37676244553522553
26,2.0,1,0.03664478639573933,0.03712837062643252,0.3641118803150604
27,2.0,1,0.03447604635823457,0.03475731261138736,0.36582777847831616
28,2.0,1,0.041064244291673296,0.036595324939257025,0.34697797517868195
