fid,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
1,0.9794176804661872,0.07858712368071553,0.03512867287226168,0.04545071670837935,0.008856474482424544,0.09421480477339333,0.3887268503652491
2,0.9896099065115594,0.0617244101458776,0.046633052442480505,0.0346257784465487,0.041273933031424535,0.10539006791328986,0.3874685993494711
3,0.9871718644630322,0.06957350879713023,0.039432725786990724,0.04038629242305123,0.03050458033517214,0.09191462502033282,0.3945771735328006
4,0.9863725512000081,0.08027333361275546,0.03236312805976241,0.047812644064605454,0.010207764076735371,0.082710404501575,0.3864711014417203
5,0.987040019192066,0.08600281350382674,0.026343555301421403,0.052247268777696955,0.005949763336791482,0.09038090278299282,0.385594258711634
6,0.16764545455284408,0.2890579677038788,0.3741341248884063,0.14890405415809269,0.008192764487080662,0.024824357947110017,0.4504243176363132
7,0.1410062400010143,0.2696773336265552,0.3460483209885799,0.11965828702154051,0.004546122236075948,0.019993380314910165,0.39834586149941553
8,0.10965559977116589,0.2535972347159221,0.3342439058338313,0.1089586339818689,0.002592668319149741,0.012789864166370067,0.364352330528537
9,0.9776433438394093,0.06251686632292472,0.05830276384837164,0.03497205884362065,0.08967354224363172,0.16640311074759118,0.3488559358462028
10,0.9874561236972575,0.06254127924826854,0.051325494599812865,0.03582266904940562,0.06855533733196036,0.14137001151212594,0.36580813062945045
11,0.9923999011841564,0.06755545873715886,0.044468655147335494,0.04041701701125326,0.04759851403602649,0.1090665342200441,0.3816284525376174
12,0.9897799984109149,0.07527788201250578,0.036203081424388814,0.049221162325042186,0.030262994090183667,0.08762636230401469,0.39003388040369275
13,0.990205405835267,0.08705300683581871,0.029234680031957803,0.056132882922861484,0.011405466700596945,0.08305956015397917,0.384860852799274
14,0.9894355889390262,0.09286199875184893,0.023400863488856807,0.05914634314812516,0.006476729284900856,0.09157378588705158,0.38647691064179135
15,0.17921165284526944,0.3498097304002842,0.45356890692867113,0.24005787825957636,0.022672888217752478,0.02261116768922107,0.5347520531881145
16,0.17430463678236052,0.31211440883178854,0.42353819680147214,0.1718207522428887,0.01017883829667064,0.021469927395236125,0.5062093830203936
17,0.15059915095055063,0.28547635167211627,0.42260391966119404,0.1326656079938315,0.004461536596768347,0.01879907948379849,0.4418382870888524
18,0.11399329669158659,0.259342638257851,0.40358915407812884,0.10883081190249305,0.0023887611667256854,0.011198739992472178,0.4067154947919496
19,0.09065133638049731,0.23718794957831163,0.45121159418879725,0.08887834495776945,0.0008946860010251562,0.008236580915467017,0.39775696632859003
20,0.950101433132315,0.06694231171277676,0.07577047315244131,0.044680459701609686,0.12275546762408161,0.17364039120998584,0.34451380571673607
21,0.9702166811893589,0.06742407011839413,0.06122471333145114,0.040725072593529275,0.11182742417416008,0.17748028892881434,0.35411692355995544
22,0.9846951053497159,0.0683633497051427,0.0501616957867539,0.04225168546782509,0.08239241922759573,0.14765798639839844,0.37196033921950494
23,0.9882603714948178,0.08167445918464043,0.03866931017598942,0.05379744907825949,0.051025671100517804,0.12841705051570998,0.39542026914619965
24,0.9787099160563935,0.09947082591683079,0.03339556319518783,0.07064911166634345,0.027059981965482628,0.10956924239408423,0.4117606992640442
25,0.9688878398014727,0.11155557207824617,0.030838618952225512,0.08255128875742802,0.013986324141313962,0.1149809766725143,0.4164739548713627
26,0.2606211180249738,0.47822579467808385,0.3922533922890768,0.47871849607778105,0.1207531943052056,0.06583027283347832,0.6287162927304268
27,0.2009111822340544,0.465678561792108,0.45048032765541846,0.4240339741212123,0.0709703990184187,0.03135347892987424,0.6152687664637213
28,0.18613540272066206,0.41167812025676087,0.46554716902317556,0.3094184149341886,0.0319056025778721,0.02442021551212016,0.5650774095534561
29,0.1789625907251819,0.34596196152738146,0.4593452832198255,0.21006165896104526,0.011512245582907938,0.022069087509597306,0.5159845153779815
