fid,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
1,0.9854554517952121,0.07969723985871609,0.0340871505249769,0.17311888194621008,0.007708932897894134,0.09184561051660141
2,0.9914838772813032,0.06515334181699976,0.04384542228220044,0.1754494796743535,0.04471898093489639,0.09887187624864029
3,0.990651475505155,0.0714398717386034,0.03930920228562997,0.17434254801678317,0.028763694070337062,0.08979025701117957
4,0.9888015992214253,0.08101628089051047,0.03256764878258405,0.17322953545054676,0.008847791477118004,0.07581362684833715
5,0.9871237584617822,0.08737275818062279,0.028930308432921114,0.1721129983668763,0.005447745303723934,0.08721095483217964
6,0.16653494124325732,0.30315866651846685,0.39420818967531307,0.1654536197905671,0.0077977993369463365,0.024706879617497436
7,0.14494749622295924,0.2823880207252482,0.3737553588666319,0.1643651622845646,0.004297724425542102,0.02057885534808061
8,0.1181747031277262,0.26997812510039776,0.38130104524309477,0.1632860477531346,0.0024150796547285952,0.013776794770312815
9,0.9796560764705365,0.06461791107393257,0.059008865142039305,0.17792924146419145,0.08536563804480125,0.16701502181125527
10,0.9884608602873377,0.06546081718664105,0.050247825947194444,0.1768003055784545,0.06883432832574005,0.13904337996861732
11,0.989847083262203,0.07065936709621953,0.04331270625544117,0.17565800946844798,0.05015377923748538,0.10801622844592004
12,0.9882675602724746,0.07955276458288815,0.03638000046821269,0.17450588183522758,0.028789993243257206,0.09537634232735377
13,0.9880425961463882,0.08759020469121226,0.02948218322672616,0.173347113534967,0.010763603801834758,0.08555755969467475
14,0.9861318076818109,0.09462567657728016,0.031105965238816598,0.17218458075493384,0.006131234384749256,0.08928384363212548
15,0.17997781938310453,0.36085484963121955,0.4492789341231976,0.16639687530771638,0.02240124791626607,0.0228303916185317
16,0.16894634064820588,0.32098884079217055,0.4272966476993084,0.16525728285776822,0.009813755568023353,0.018106260040524427
17,0.1510269691218424,0.2918524382194927,0.4107033490441292,0.16412704180478935,0.004422781647212042,0.018397651870891183
18,0.11884935444220594,0.26798040202567613,0.42034525771030135,0.1630072499968696,0.0020866902895557093,0.012503658771875073
19,0.09507368926595446,0.24672967200723864,0.4524471155448528,0.16189885983659347,0.0007533980760855192,0.009078441210948198
20,0.9532019030792735,0.07222097376784321,0.06945313686218171,0.17937935868470445,0.12106635471073948,0.17752277364501093
21,0.9699462900038907,0.07018912581731566,0.06318169290707346,0.1782467582823742,0.10561749759186856,0.18228403423413173
22,0.9834502743482078,0.07245333840985614,0.0507328154940053,0.17707159793238658,0.08179246150025231,0.14642126986195975
23,0.9854652457892832,0.08326477329179222,0.04178445716993332,0.17588150609736072,0.051061348583998564,0.13730274267152318
24,0.9770658471344761,0.09898090798859185,0.03690795289413356,0.17468050438317925,0.026018098885976695,0.11400075817020544
25,0.9599678370009173,0.11332776037178517,0.039304055915325535,0.1734722152300093,0.013423392238345863,0.11856811176242749
26,0.27338749751023567,0.4997635454358443,0.37462861430363076,0.16862623079018982,0.11929777453251779,0.07044631281505183
27,0.21497965554391393,0.4805871195075289,0.4296494386394966,0.16742381248188792,0.07174770540493225,0.0345520783008618
28,0.18856832023724615,0.42450847505717204,0.450315998765724,0.1662289881658228,0.030949560434320792,0.026836998853120426
29,0.17801147918300003,0.36623503361655674,0.4625708246174273,0.16504332805282715,0.011180294742339045,0.02252049913810992
30,0.14954865041264642,0.3113512050316911,0.4866815910557678,0.16386820073865518,0.004527982689364106,0.019541195964513317
31,0.11605824957033882,0.27003211755293155,0.5194118543645364,0.16270479193919785,0.0016342720983691084,0.011743882297613665
32,0.08669316289493403,0.22790658136332811,0.549771471912134,0.16155412184691592,0.00017763490790717655,0.008870498443137444
33,0.06033990434361572,0.1765522192813391,0.5761211897555085,0.16041706115572033,0.0,0.0031485495492960943
34,0.0435157838655444,0.1507848648724787,0.608660899232658,0.15929434581186058,0.0,0.0009631834122417204
35,0.9405484112683986,0.08152503462333563,0.07430594011241892,0.17976701167555237,0.13269207868823768,0.18193256633796978
36,0.9531516130251277,0.08498352658802881,0.06629948187561062,0.17858837950075465,0.11774144000436253,0.18709314782329434
37,0.968482932569078,0.08842803679566903,0.053899541737994675,0.17736334641375673,0.08415825042178418,0.16453443792796274
38,0.9689771811234015,0.10257355195341981,0.046118860551453554,0.17612152671243025,0.04819983625517514,0.18479877429243283
39,0.9484130554145263,0.1267273439554956,0.046660838320450086,0.17486753069385144,0.024703152447101476,0.16558671194569533
40,0.8955795584247169,0.15478838092496983,0.06562850743453184,0.17360549372049516,0.02044601935563275,0.17239288962625696
41,0.8251638972869376,0.19721446129051567,0.0981447505642717,0.17233911125608878,0.04039127525106123,0.174718069720219
42,0.43295327462360483,0.46008349704279394,0.26862182730496614,0.1698060961827214,0.1847373651698867,0.15343643175839658
43,0.3233083033094732,0.5277652734242914,0.32122110121916075,0.16854495645352804,0.15282439943010648,0.10473692587324435
44,0.23697661313111898,0.5487706888300253,0.3689807282276798,0.16729051835100506,0.08819008530691134,0.04232752161476613
45,0.1941347074822693,0.5132369605623136,0.410224647091655,0.16604476307603214,0.03532825455649659,0.02364779578174196
46,0.17822529796827555,0.4325878003414898,0.458115131303532,0.16480941481604036,0.012130968016880022,0.020736378737799356
47,0.1527773019317755,0.34449448293850926,0.5289197833682694,0.1635859651769036,0.004263169481147134,0.018147891962541785
48,0.11068665925682376,0.2768398145094671,0.6021823821854484,0.1623756958088533,0.001126883144406986,0.010102332822521494
49,0.07637817219813624,0.2126846519170371,0.6465490699251911,0.1611796992762233,9.393155426920584e-05,0.0075892481517492805
50,0.05706535831267323,0.1607204905814911,0.6538592389579915,0.15999889823927393,0.0,0.0025143461490721207
51,0.04263286033700972,0.12990682553710642,0.6682204677905957,0.1588340630290997,0.0,0.0006807862555879879
52,0.9216169150656258,0.11359531687241983,0.07041513949534454,0.17895671736986843,0.14470409628628067,0.19446688746419818
53,0.9341841871254198,0.1107956034531657,0.06255265156324703,0.1776777689376042,0.09165130318500282,0.20120534788272876
54,0.9367960258416722,0.12576093450341794,0.061729049654641543,0.1763798248701256,0.04463583279097525,0.223379291008601
55,0.8835598272971558,0.15112939149812438,0.07649541630512058,0.17506820423249436,0.027855905437595686,0.21003554063672694
56,0.8257362442244033,0.18280251549844112,0.10376356727941599,0.17374765669468756,0.03604252611840763,0.22865525669977715
57,0.7600402945653645,0.23280774839788085,0.1292438854578404,0.17242240615698226,0.06613524865746906,0.20516259360641287
58,0.6505457081909664,0.32833360245281895,0.16031741719228942,0.17109619331248987,0.16055855884035697,0.24737574258129189
59,0.5018451965578832,0.46877519654051536,0.19440720642936365,0.1697723166386116,0.21154307875989256,0.18228646813275995
60,0.36687454083761756,0.5786452218376554,0.23520594458820313,0.16845367145815404,0.18199498596993438,0.1292249092345085
