fid,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
1,0.03413287690726361,0.04619358299565549,0.389750381587884
2,0.045889530359288444,0.03669096601925013,0.38807922932437156
3,0.03930920228563016,0.04114898125585094,0.3888318467576764
4,0.031774998596450804,0.04797101053563338,0.38706023169200554
5,0.028466451204122067,0.05303054329644009,0.38925612303326346
6,0.3913401432704905,0.1570640325622637,0.45817971247863915
7,0.3511112436168934,0.12761367016733355,0.41541813204341344
8,0.3747419422816106,0.11539341506428322,0.40102084805732974
9,0.05881602377120999,0.03600220445259425,0.35281131216456324
10,0.05024782594719451,0.03720955675760509,0.36992394664242545
11,0.04355276545490055,0.04251930427503434,0.38508291038498704
12,0.036287621741969193,0.0505109555316549,0.39175585014872927
13,0.02906902005348716,0.056395772360079074,0.3909023775833067
14,0.025087883747785724,0.0601708426576899,0.39123055241759475
15,0.4492789341231987,0.250501659674241,0.52973050413068
16,0.4272966476993084,0.17918243752194404,0.48561431834459556
17,0.4108246866805375,0.13770199204031972,0.44119585153832575
18,0.4203452577103011,0.11355155746742204,0.4115746931501217
19,0.4524471155448523,0.09452768663917552,0.40939235636637866
20,0.07019455930075273,0.04621230368224155,0.3578026450703189
21,0.06318169290707347,0.041979654270808145,0.36158317083050073
22,0.050461090892463416,0.043813654866177255,0.37596874807209074
23,0.041784457169933245,0.05552960156911104,0.39282395527932384
24,0.03614433059397073,0.07099082811492044,0.4079743763757508
25,0.03764512160728007,0.08375090540678107,0.416139377781691
26,0.38739236463732835,0.4900594484164602,0.6451633973746609
27,0.4296494386394976,0.4278494879321602,0.6296084504252956
28,0.4535257606803096,0.31693622700535845,0.5857413715337205
29,0.46257082461742727,0.21778921850799038,0.5324277780720059
30,0.4866815910557682,0.14815233753853604,0.47982164379087044
31,0.5194118543645362,0.11218766209859656,0.4448015726453631
32,0.5486325273906876,0.08032236918682044,0.42750056320343777
33,0.5761211897555076,0.04849758965983924,0.40556318577668027
34,0.6058382879731476,0.03460149503322848,0.38717377953791254
35,0.07789834497973386,0.05948695819778222,0.3698923192183587
36,0.06625408779170043,0.06325084529739147,0.37926236285877946
37,0.053899541737994765,0.06620150117915552,0.38996918282335297
38,0.04611886055145346,0.07732011346435222,0.4105649655055123
